,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Cuffe, Aisling",JR-3,Stanford,15:11.13,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
2,"Hall, Marielle",SR-4,Texas,15:19.26,Stanford Invitational,2014-04-04,5000,W
3,"Finn, Erin",FR-1,Michigan,15:26.08,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
4,"Avery, Kate",SO-2,Iona,15:27.90,Stanford Invitational,2014-04-04,5000,W
5,"D'Agostino, Abbey",SR-4,Dartmouth,15:30.93,Mt. SAC Relays,2014-04-17,5000,W
6,"Collins, Sarah",SO-2,Providence,15:31.03,Stanford Invitational,2014-04-04,5000,W
7,"Tonn, Jessica",JR-3,Stanford,15:32.26,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
8,"Bates, Emma",JR-3,Boise State,15:33.42,Mt. SAC Relays,2014-04-17,5000,W
9,"Neer, Waverly",JR-3,Columbia,15:37.85,Stanford Invitational,2014-04-04,5000,W
10,"Johnson, Rachel",JR-3,Baylor,15:39.42,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
11,"Kirk, Elinor",SR-4,UAB,15:42.13,Mt. SAC Relays,2014-04-17,5000,W
12,"Scott, Dominique",SO-2,Arkansas,15:42.42,Mt. SAC Relays,2014-04-17,5000,W
13,"Flood, Katie",JR-3,Washington,15:45.60,Stanford Invitational,2014-04-04,5000,W
14,"Shea, Sheree",SR-4,Loyola Marymount,15:46.62,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
15,"Olson, Mara",JR-3,Butler,15:47.14,Mt. SAC Relays,2014-04-17,5000,W
16,"Robison, Diane",JR-3,Arkansas,15:47.62,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
17,"Pagano, Sarah",SR-4,Syracuse,15:48.87,Stanford Invitational,2014-04-04,5000,W
18,"Nelson, Crystal",SO-2,Iowa State,15:49.90,Mt. SAC Relays,2014-04-17,5000,W
19,"Santisteban, Kelsey",JR-3,California,15:52.94,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
20,"Levene, Abby",SR-4,Colorado,15:53.84,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
21,"Giordano, Dana",SO-2,Dartmouth,15:53.96,Mt. SAC Relays,2014-04-17,5000,W
22,"Kipp, Shalaya",SR-4,Colorado,15:54.13,Mt. SAC Relays,2014-04-17,5000,W
23,"Sorna, Rachel",SR-4,Cornell,15:54.31,Stanford Invitational,2014-04-04,5000,W
24,"Heymsfield, Grace",SR-4,Arkansas,15:55.30,SEC Outdoor Championship,2014-05-15,5000,W
25,"Moen, Katy",JR-3,Iowa State,15:56.53,Stanford Invitational,2014-04-04,5000,W
26,"Balouris, Elaina",SR-4,William and Mary,15:56.85,2014 Colonial Relays,2014-04-03,5000,W
27,"Stites, Emily",SO-2,William and Mary,15:57.04,2014 Colonial Relays,2014-04-03,5000,W
28,"Strausa, Agata",SR-4,Florida,15:58.15,SEC Outdoor Championship,2014-05-15,5000,W
29,"Nagel, Laura",JR-3,Providence,15:58.33,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
30,"Knight, Katie",FR-1,Washington,15:58.42,Stanford Invitational,2014-04-04,5000,W
31,"Accurso, Juli",JR-3,Ohio U.,15:59.12,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
32,"Malone, Margo",SO-2,Syracuse,15:59.13,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
33,"Verdon, Carrie",SO-2,Colorado,15:59.83,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
34,"Juodeskaite, Monika",JR-3,Oklahoma State,16:00.32,Mt. SAC Relays,2014-04-17,5000,W
35,"Soethout, Jana",SR-4,San Francisco,16:00.51,Payton Jordan Cardinal Invitational,2014-05-04,5000,W
36,"Curham, Megan",FR-1,Princeton,16:00.71,Larry Ellis Invitational,2014-04-16,5000,W
37,"Schulist, Rachele",FR-1,Michigan State,16:01.23,Big Ten Outdoor Track & Field Championships,2014-05-16,5000,W
38,"Smith, Kelsey",JR-3,UCLA,16:01.30,Stanford Invitational,2014-04-04,5000,W
39,"McGee, Cory",SR-4,Florida,16:03.06,SEC Outdoor Championship,2014-05-15,5000,W
40,"Eason, Ann",JR-3,Eastern Kentucky,16:03.87,Stanford Invitational,2014-04-04,5000,W
