,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
7,"Boyer, Zibby",JR-3,UCLA,1.86m,"6' 1.25""",UCLA vs. WSU vs. Long Beach,2015-03-24,HJ,W
9,"Glisar, Megan",SR-4,South Dakota,1.85m,"6' 0.75""",2015 Clyde Littlefield Texas Relays,2015-03-25,HJ,W
9,"Bougard, Erica",JR-3,Miss State,1.85m,"6' 0.75""",SEC Championships,2015-05-14,HJ,W
9,"Burke, Taylor",SR-4,Florida,1.85m,"6' 0.75""",UF Tom Jones Memorial,2015-04-24,HJ,W
9,"LaFond, Thea",SR-4,Maryland,1.85m,"6' 0.75""",Florida Relays,2015-04-02,HJ,W
9,"O'Brien, Colleen",SR-4,Kansas,1.85m,"6' 0.75""",Kansas Relays,2015-04-15,HJ,W
14,"Treasure, Alyx",SR-4,Kansas State,1.84m,"6' 0.5""",Rock Chalk Classic,2015-05-02,HJ,W
14,"Melville, Amber",SR-4,Maryland,1.84m,"6' 0.5""",Morgan State Legacy Track & Field Meet,2015-04-17,HJ,W
14,"Hurd , Erika",JR-3,Cincinnati,1.84m,"6' 0.5""",Louisville Twilight,2015-05-08,HJ,W
14,"Bloch-Jones, Kandie",SO-2,Illinois,1.84m,"6' 0.5""",Rankin/Poehlein Invitational,2015-05-01,HJ,W
14,"Porter, Chanice",JR-3,Georgia,1.84m,"6' 0.5""",Georgia Invitational,2015-05-09,HJ,W
14,"Mason, Jailah",FR-1,Morgan State,1.84m,"6' 0.5""",2015 Penn Relays,2015-04-23,HJ,W
20,"Webster, Jazmyn",SR-4,Colorado St.,1.83m,"6' 0""",Tom Benich Invitational,2015-04-04,HJ,W
20,"Tindall, Julisa",SO-2,Col. of Charleston,1.83m,"6' 0""",CAA Outdoor Track and Field Championships,2015-05-01,HJ,W
20,"Wolanin, Kate",SR-4,Eastern Michigan,1.83m,"6' 0""",Ohio State - Jesse Owens Classic,2015-05-01,HJ,W
23,"Gray, Nakita",JR-3,South Carolina,1.82m,"5' 11.5""",2015 Penn Relays,2015-04-23,HJ,W
23,"Crockett, Lauren",SR-4,Oregon,1.82m,"5' 11.5""",Pac-12 Track & Field Championships,2015-05-15,HJ,W
23,"Summers, Chancey",SR-4,Oregon,1.82m,"5' 11.5""",Pac-12 Track & Field Championships,2015-05-15,HJ,W
23,"Williams, Kendell",SO-2,Georgia,1.82m,"5' 11.5""",SEC Championships,2015-05-14,HJ,W
23,"Land, Mimi",JR-3,Clemson,1.82m,"5' 11.5""",Florida Relays,2015-04-02,HJ,W
28,"Vallet, Marine",JR-3,Iowa State,1.81m,"5' 11.25""",Big 12 Outdoor Track & Field Championships,2015-05-15,HJ,W
28,"Bareni, Shahaf",SR-4,North Texas,1.81m,"5' 11.25""",2015 Clyde Littlefield Texas Relays,2015-03-25,HJ,W
28,"Delophont, Dior",JR-3,Kent State,1.81m,"5' 11.25""",Mid-American Outdoor Track & Field Championships,2015-05-14,HJ,W
28,"Walker, Alexis",SR-4,UCLA,1.81m,"5' 11.25""",UCLA vs. WSU vs. Long Beach,2015-03-24,HJ,W
28,"Richardson, Ahmenah",SO-2,Penn State,1.81m,"5' 11.25""",2015 Penn Relays,2015-04-23,HJ,W
28,"Willis, Skyler",SR-4,Akron,1.81m,"5' 11.25""",Mid-American Outdoor Track & Field Championships,2015-05-14,HJ,W
28,"Hagens, Lisanne",SO-2,Arizona,1.81m,"5' 11.25""",Duel in the Desert- ASU vs ARIZONA,2015-05-01,HJ,W
35,"Johonnot, Karli",JR-3,Duke,1.80m,"5' 10.75""",Duke Invitational,2015-04-10,HJ,W
35,"Decoud, Chelsie",FR-1,Texas State,1.80m,"5' 10.75""",Baylor Invitational,2015-04-03,HJ,W
37,"French, Lydia",SR-4,Cal St. Northridge,1.79m,"5' 10.5""",2015 Bulldog Invitational,2015-04-25,HJ,W
37,"Ketcham, Audrey",JR-3,Washington St.,1.79m,"5' 10.5""",2015 UW v. WSU Dual,2015-05-01,HJ,W
37,"Czuth, Reka",FR-1,Nebraska,1.79m,"5' 10.5""",Big Ten Outdoor Track & Field Championships,2015-05-15,HJ,W
37,"Avery, Courtney",SO-2,Lehigh,1.79m,"5' 10.5""",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,HJ,W
37,"Muschamp, Charlotte",SR-4,Washington St.,1.79m,"5' 10.5""",Pac-12 Track & Field Championships,2015-05-15,HJ,W
37,"Wirth, Mary",SR-4,South Dakota St.,1.79m,"5' 10.5""",The Summit League Outdoor Track & Field Championships,2015-05-13,HJ,W
37,"Emde, Jessica",JR-3,UC Santa Barbara,1.79m,"5' 10.5""",2015 Big West Championships,2015-05-15,HJ,W
37,"Flannel, Whitney",SR-4,UTSA,1.79m,"5' 10.5""",Conference USA Outdoor Track & Field Championships,2015-05-14,HJ,W
37,"Thompson, Natalie",JR-3,Texas Tech,1.79m,"5' 10.5""",Big 12 Outdoor Track & Field Championships,2015-05-15,HJ,W
37,"Rath, Chaley",SO-2,Northern Iowa,1.79m,"5' 10.5""",2015 MVC Outdoor Track and Field Championships,2015-05-15,HJ,W
37,"Laws, Nicole",SO-2,BYU,1.79m,"5' 10.5""",2015 BYU Cougar Invitational,2015-05-13,HJ,W
37,"DiPietro, Ellen",FR-1,Michigan State,1.79m,"5' 10.5""",Big Ten Outdoor Track & Field Championships,2015-05-15,HJ,W
49,"Wright-Harmon, Kyaira",JR-3,LIU Brooklyn,1.78m,"5' 10""",Florida Relays,2015-04-02,HJ,W
49,"Hemann, Jena",SR-4,Texas A&M,1.78m,"5' 10""",TCU Horned Frog Invite,2015-05-02,HJ,W
49,"Dailey-Harris, Dakota",JR-3,Miami,1.78m,"5' 10""",ACC Outdoor Track & Field Championships,2015-05-14,HJ,W
49,"Blaut, Loretta",FR-1,Cincinnati,1.78m,"5' 10""",Kentucky Relays (College Division),2015-05-02,HJ,W
49,"Godwin, Emily",SO-2,North Carolina,1.78m,"5' 10""",ACC Outdoor Track & Field Championships,2015-05-14,HJ,W
49,"Caldwell, Nyki",SR-4,Wake Forest,1.78m,"5' 10""",ACC Outdoor Track & Field Championships,2015-05-14,HJ,W
