,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
90,Missouri (A),45.00,"Cody, Jackson, Joseph, Farquharson",Crimson Tide Invitational,2017-04-07,4x100,W
90,UCLA (E),45.00,"Lewis, Moore, Acolatse, Maduka",Jim Bush Collegiate Invitational,2017-04-15,4x100,W
92,Cornell (B),45.01,"Quigley, Jones, Stenekes, Shepard",Ivy League Outdoor Track & Field Championships,2017-05-06,4x100,W
92,Texas State (B),45.01,"Krenek, Hardy, Hicks-Boyce, Hani",Texas State Bobcat Classic,2017-04-28,4x100,W
92,Illinois (C),45.01,"Driver, Rogers, Stewart, Seymour",Houston Alumni Invitational,2017-04-08,4x100,W
95,Long Beach St. (C),45.02,"Chambers, Davis, Golden, Cooks",adidas/Steve Scott Invitational,2017-04-28,4x100,W
96,Oklahoma (E),45.03,"Brazil, Pipi, Van Buren, Buchanan",Penn Relays,2017-04-27,4x100,W
97,Alabama State (B),45.06,"Hackney, Lewis, Howard, Horn",SWAC Outdoor Championship,2017-05-05,4x100,W
97,Northern Colorado (E),45.06,"Pardner, Ayres-Perry, Lishchynsky, Zachary",adidas/Steve Scott Invitational,2017-04-28,4x100,W
99,UC Irvine (C),45.09,"Jones, George, Bushnell, William-Mensah",2017 Big West Track & Field Championships,2017-05-12,4x100,W
99,Missouri State (A),45.09,"Smiley, Cave, Pattie-Belleli, Kurtimah",2017 MVC Outdoor Track and Field Championships,2017-05-12,4x100,W
1,Texas A&M (G),43.11,"Madu, Purvis, Brown, Ekpone",Penn Relays,2014-04-24,4x100,W
2,Texas A&M (C),43.20,"Madu, Purvis, Brown, Collier",SEC Outdoor Championship,2014-05-15,4x100,W
3,USC (A),43.21,"Laarman, Davis, Faulknor, Gaither",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x100,W
4,Kentucky (B),43.25,"Booker, Bryant, Parker, Tyson",SEC Outdoor Championship,2014-05-15,4x100,W
5,Florida (A),43.29,"Reynolds, Sanders, Gause, Eutsey",SEC Outdoor Championship,2014-05-15,4x100,W
6,Oregon (A),43.31,"Sant, Francis, Prandini, Todd",Mt. SAC Relays,2014-04-17,4x100,W
7,Florida (B),43.41,"Reynolds, Sanders, Gause, Jefferson",Florida Relays,2014-04-03,4x100,W
8,Texas A&M (H),43.50,"Brown, Ekpone, Brown, Collier",LSU Invitational,2014-05-03,4x100,W
9,Texas A&M (F),43.51,"Brown, Purvis, Madu, Ekpone",LSU Alumni Gold,2014-04-19,4x100,W
10,Texas (D),43.62,"Snow, Okolo, Akinosun, Spencer",Michael Johnson/Dr. Pepper Classic,2014-04-19,4x100,W
11,Texas (B),43.64,"Snow, Baisden, Akinosun, Spencer",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,W
12,Texas (E),43.66@,"Akinosun, Baisden, Okolo, Spencer",Big 12 Outdoor Track and Field Championships,2014-05-16,4x100,W
13,LSU (B),43.72,"Stowers, Duncan, Martin, Harvey",LSU Alumni Gold,2014-04-19,4x100,W
14,Kentucky (D),43.75,"Booker, Bryant, Pipkin, Tyson",Longhorn Invitational,2014-05-03,4x100,W
15,Oregon (C),43.77,"Sant, Francis, Prandini, Horsley",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x100,W
16,Texas A&M (D),43.87,"Madu, Purvis, Ekpone, Collier",35th Sun Angel Track Classic,2014-04-11,4x100,W
17,USC (B),43.88,"Laarman, Ndipagbor, Faulknor, Gaither",UCLA vs USC,2014-05-04,4x100,W
18,Texas A&M (A),43.97,"Brown, Purvis, Madu, Collier",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,W
19,Alabama (C),44.15,"Burks, Burchell, Kimpel, Thomas",Alabama vs. Mississippi Border Clash,2014-04-11,4x100,W
20,LSU (A),44.17,"Stowers, Duncan, Martin, Pinckney",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,W
