,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
57,UCLA,44.56,"Acolatse, Butler, Lewis, Maduka",Rafer Johnson & Jackie Joyner-Kersee Invitational,2018-04-14,4x100,W
59,Southern Illinois,44.59,"Ewell, Maloney, Eason, Branch",2018 MVC Outdoor Track & Field Championships,2018-05-11,4x100,W
59,LSU (E),44.59,"Payne, Denoon, Hall, Yon",LSU Invitational,2018-04-28,4x100,W
61,Ole Miss (C),44.61,"Henderson, Cameron, Carbo, Ray",Joe Walker Invite,2018-04-13,4x100,W
62,Long Beach St.,44.63,"Hill, Chambers, Golden, Davis",2018 Big West Championships,2018-05-11,4x100,W
62,Ohio State,44.63,"Soleyn, Battle, Richardson, DeLoach",Big Ten Championships,2018-05-11,4x100,W
64,Baylor (B),44.64,"Grant, Bennett, Mainoo, Washington",Roadrunner Invitational,2018-03-22,4x100,W
65,New Mexico St.,44.66,"Tremble, Scott, Nelson, Joiner",2018 Desert Heat Classic,2018-04-28,4x100,W
65,Cincinnati,44.66,"Mbah, Lattimore, Bisiolu, Puopolo",The American Outdoor Track & Field Championships,2018-05-11,4x100,W
67,Ohio State (B),44.67,"Soleyn, Battle, Ray, Barrie",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x100,W
68,Penn State,44.69,"Williams, Albury, Dale, Lester",Big Ten Championships,2018-05-11,4x100,W
68,Virginia Tech,44.69,"Tchume, Blanden, Tate, Dennis",ACC Outdoor Championships,2018-05-10,4x100,W
70,Arizona,44.72,"Christman, Waggoner, White, Andrews",2018 Willie Williams Classic - College/Open,2018-03-16,4x100,W
71,Duke (B),44.73,"Murphy, Campbell, Panton, Lowe",Duke Invitational,2018-04-20,4x100,W
71,Ohio State (C),44.73,"Barrie, Battle, Richardson, Ray",2018 Jim Click Shootout,2018-04-07,4x100,W
73,Illinois,44.75,"Driver, Hargrove, Davis, Rogers",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x100,W
73,Northwestern St.,44.75,"Gordon, Jones, Moore, Jackson",Southland Conference Outdoor Track & Field Championships,2018-05-04,4x100,W
73,Baylor (C),44.75,"Grant, Horton, Mainoo, Washington",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x100,W
76,Bethune-Cookman,44.79,"McCreath-Tardie, Brinson, Nichols, Morrison",UCF Black and Gold Challenge,2018-03-16,4x100,W
77,Mid. Tenn. State,44.8,"Castor, Odia, Francis, Odiong",2018 Conference USA Outdoor Track & Field Championships,2018-05-10,4x100,W
77,Liberty,44.8,"Wilson, Dansbury, Green, Dowling",Big South Conference Outdoor Track and Field Championships,2018-05-09,4x100,W
79,Albany,44.83,"Butterfield, Smith, Santana Rodriguez, Osuji",Penn Relays,2018-04-26,4x100,W
79,Wisconsin,44.83,"Blair, DesRosiers, Detra, McClendon",Big Ten Championships,2018-05-11,4x100,W
79,San Diego St. (D),44.83,"Fletcher, Henderson, Smith, Barrow",Jim Bush / Bob Larsen Invitational,2018-03-31,4x100,W
82,Kansas,44.84,"Mukes, Caldwell, Sanni, Akin-Otiko",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x100,W
83,Clemson (B),44.85,"Robinson, Smith, Williams, Marshall",Penn Relays,2018-04-26,4x100,W
83,Alabama State,44.85,"Jack, Hackney, Lewis, Horn",Tiger Track Classic 2018,2018-04-13,4x100,W
85,Ohio State (D),44.88,"Richardson, Battle, Hannan, Barrie",USC Power 5 Challenge,2018-03-23,4x100,W
86,South Carolina (B),44.9,"Parks, Dendy, Stanley, Pennamon",UCF Black and Gold Challenge,2018-03-16,4x100,W
87,Ohio State (E),44.92,"Barlow, Barrie, Hannan, Battle",Ohio State Univ. - Jesse Owens Track Classic,2018-04-20,4x100,W
88,Georgia Tech,44.93,"Williams, Hayden, Collins, Stewart",ACC Outdoor Championships,2018-05-10,4x100,W
89,Virginia Tech (B),44.94,"Tchume, Blanden, Bush, Dennis",National Relay Championships,2018-04-27,4x100,W
89,Oregon (F),44.94,"Waller, Robinson, Johnson, D'Arpino",40th Annual Aztec Invitational,2018-03-24,4x100,W
91,South Florida,44.96,"Bazile, Francis, Fairley, Massie",UCF Black and Gold Challenge,2018-03-16,4x100,W
92,Alabama (C),44.98,"Washington, Sparling, Fotopoulou, Roberson",UTSA Invitational,2018-03-16,4x100,W
93,Eastern Michigan,44.99,"Harris, Johnston, Mason, Jones",2018 TCU Invitational,2018-03-16,4x100,W
94,Houston (C),45.0,"Sample, Adams, Samuels, Bethel",Penn Relays,2018-04-26,4x100,W
94,Houston (B),45.0,"Adams, Bethel, Sample, Smith",Mt. SAC Relays,2018-04-19,4x100,W
94,Tennessee Tech,45.0,"Tate, Robinson, Jackson, Wickham",Ohio Valley Conference Championship,2018-05-10,4x100,W
97,Colorado St.,45.01,"Sant, Wilson, Ozoude, Rocker",Mountain West Outdoor Track & Field Championships,2018-05-09,4x100,W
98,North Carolina St.,45.03,"Pate, Cunningham, Patillo, Postell",ACC Outdoor Championships,2018-05-10,4x100,W
99,UC Irvine,45.05,"Bushnell, William-Mensah, Sambvani, Scott",BIG West Challenge,2018-04-06,4x100,W
99,Alabama State (B),45.05,"Hudson, Hackney, Whittaker, Horn",SWAC Outdoor Track and Field Championship,2018-05-04,4x100,W
