,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
26,"Nyemah, Dolly",SR-4,Louisville,61.99m,"203' 4""",ACC Outdoor Track & Field Championships,2017-05-12,HT,W
27,"Ingvaldsen, Helene",FR-1,Kansas State,61.94m,"203' 2""",Texas Invitational,2017-04-14,HT,W
28,"Safonova, Ksenia",JR-3,Towson,61.78m,"202' 8""",2017 Delaware Open,2017-04-08,HT,W
29,"Bryant, Ashley",JR-3,Oklahoma,61.76m,"202' 7""",Penn Relays,2017-04-27,HT,W
30,"Detloff, Molli",JR-3,North Dakota,61.72m,"202' 6""",NDSU Tune Up,2017-05-05,HT,W
31,"Nilles, Maddy",SO-2,North Dakota State,61.69m,"202' 5""",NDSU Tune Up,2017-05-05,HT,W
31,"Parker, Destiny",JR-3,California,61.69m,"202' 5""",The Big Meet,2017-04-08,HT,W
33,"Fosam, Andin",JR-3,Pittsburgh,61.67m,"202' 4""",2017 Carnegie Mellon 5 Team Invitational,2017-03-25,HT,W
34,"Esser, Agnes",JR-3,Minnesota,61.66m,"202' 3""",Longhorn Invitational,2017-04-28,HT,W
35,"McClinton, Nakel",SR-4,Indiana,61.65m,"202' 3""",2017 Louisville Invitational,2017-04-14,HT,W
36,"Olatoye, Sade",SO-2,Ohio State,61.47m,"201' 8""",2017 Jesse Owens University Classic,2017-04-21,HT,W
37,"Ogunrinde, Temi",SO-2,Minnesota,61.44m,"201' 7""",Big Ten Outdoor Championships,2017-05-12,HT,W
38,"Chibuogwu, Onyie",JR-3,Washington,61.41m,"201' 6""",Pac-12 Championships,2017-05-13,HT,W
38,"Young, De'Ondra",JR-3,Long Beach St.,61.41m,"201' 6""",Big West Challenge,2017-04-07,HT,W
40,"McConnell, Danielle",JR-3,Alabama,61.33m,"201' 2""",Florida Relays,2017-03-30,HT,W
41,"Covington, Asianna",SR-4,Georgia,61.19m,"200' 9""",Virginia Challenge,2017-04-21,HT,W
42,"Kaaja, Ilse",SR-4,California,61.14m,"200' 7""",Pac-12 Championships,2017-05-13,HT,W
43,"Heilsnis, Brianna",SR-4,Auburn,60.87m,"199' 8""",SEC Outdoor Track & Field Championships,2017-05-11,HT,W
44,"Horvath, Nina",JR-3,Minnesota,60.86m,"199' 8""",Longhorn Invitational,2017-04-28,HT,W
45,"Guenther, Angie",SR-4,Minnesota,60.79m,"199' 5""",USF Bulls Invitational,2017-03-17,HT,W
46,"Szekely, Martha",SR-4,Miami (Ohio),60.52m,"198' 7""",Penn Relays,2017-04-27,HT,W
47,"Kuhn, Ariana",SR-4,Iowa State,60.49m,"198' 5""",Big 12 Outdoor Track & Field Championships,2017-05-12,HT,W
47,"Loesch, Sarah",SO-2,Purdue,60.49m,"198' 5""",Big Ten Outdoor Championships,2017-05-12,HT,W
49,"Figueroa, Gabrielle",JR-3,Kent State,60.48m,"198' 5""",2017 Jesse Owens University Classic,2017-04-21,HT,W
50,"Antill, Kaylee",FR-1,Arizona State,60.45m,"198' 4""",Duel In The Desert- ASU vs Arizona,2017-04-28,HT,W
51,"Smith, Brianna",JR-3,Miss State,60.38m,"198' 1""",Mt. SAC Relays,2017-04-13,HT,W
52,"Gobourne , Chelsea",SR-4,UCF,60.37m,"198' 1""",Florida Relays,2017-03-30,HT,W
53,"Merriweather, Victoria",SR-4,Charlotte,60.33m,"197' 11""",Charlotte Invitational,2017-04-14,HT,W
54,"Akbarizadeh, Natasha",JR-3,Gardner-Webb,60.26m,"197' 8""",Big South Outdoor Track & Field Championships,2017-05-10,HT,W
55,"Lange, Julie",SR-4,Texas State,60.19m,"197' 6""",Texas State Bobcat Twilight,2017-04-21,HT,W
56,"Hazlewood, Micaela",JR-3,Purdue,60.17m,"197' 5""",Rankin/Poehlein Invitational,2017-04-21,HT,W
57,"Malm-Annan, Emelda",SO-2,Wyoming,60.09m,"197' 2""",Mountain West Outdoor Track & Field Championships,2017-05-10,HT,W
58,"Botsis, Chanell",FR-1,Connecticut,60.08m,"197' 1""",UCONN Northeast Challenge,2017-04-15,HT,W
59,"Larson, Dasiana",JR-3,Liberty,59.82m,"196' 3""",Duke Invitational,2017-04-21,HT,W
60,"Nestor, Valerie",SR-4,UC Santa Barbara,59.65m,"195' 8""",2017 Big West Track & Field Championships,2017-05-12,HT,W
61,"Jacobsen, Courtney",FR-1,Michigan,59.64m,"195' 8""",Pac-12 vs Big-10 Invitational,2017-03-24,HT,W
62,"Vukajlovic, Stefani",SO-2,Duke,59.63m,"195' 8""",Duke Invitational,2017-04-21,HT,W
63,"Martin, Mikaila",SO-2,Houston,59.44m,"195' 0""",The American Outdoor Track & Field Championships,2017-05-12,HT,W
64,"Bergeron, Rachel",JR-3,Maine,59.43m,"195' 0""",Penn Relays,2017-04-27,HT,W
64,"Schnuck, Jamie",SR-4,High Point,59.43m,"195' 0""",Big South Outdoor Track & Field Championships,2017-05-10,HT,W
66,"Vaitohi, Siale",JR-3,BYU,59.42m,"194' 11""",Texas State Bobcat Invitational,2017-03-30,HT,W
67,"Butler, Candice",SR-4,Tennessee,59.38m,"194' 10""",Florida Relays,2017-03-30,HT,W
68,"Bahler, Alisha",SR-4,Purdue,59.28m,"194' 6""",Rankin/Poehlein Invitational,2017-04-21,HT,W
69,"van Beek, Carissa",JR-3,Texas A&M,59.26m,"194' 5""",Baldy Castillo Invitational,2017-03-17,HT,W
70,"Dobbelaere, Kylee",SR-4,Central Michigan,59.18m,"194' 2""",2017 Jesse Owens University Classic,2017-04-21,HT,W
71,"Herrington, Amy",FR-1,North Dakota State,59.14m,"194' 0""",Lyle Hokanson Classic,2017-04-21,HT,W
72,"Scaife, Taylor",SO-2,Houston,59.10m,"193' 11""",The American Outdoor Track & Field Championships,2017-05-12,HT,W
73,"Frost, Hannah",SO-2,North Dakota State,59.01m,"193' 7""",Pacific Beach Intercollegiate,2017-04-13,HT,W
74,"Walker, Brandi",SR-4,Kentucky,58.99m,"193' 6""",Texas Invitational,2017-04-14,HT,W
75,"Gunnells, Shelby",SO-2,North Dakota State,58.97m,"193' 6""",NDSU Tune Up,2017-05-05,HT,W
76,"Mann, Brittany",SR-4,USC,58.95m,"193' 5""",USC vs. UCLA,2017-04-29,HT,W
77,"Verlanic, Jacqueline",SR-4,Montana State,58.92m,"193' 4""",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,HT,W
78,"Middlebrooks, Madeline",JR-3,Oregon,58.81m,"192' 11""",Pac-12 Championships,2017-05-13,HT,W
79,"Mundt, Michaela",JR-3,UC Davis,58.73m,"192' 8""",Beach Invitational,2017-04-14,HT,W
80,"Deaton, Kate",SR-4,Ohio State,58.65m,"192' 5""",2017 Jesse Owens University Classic,2017-04-21,HT,W
