,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Okolo, Courtney",SR-4,Texas,49.71,LSU Alumni Gold,2016-04-23,400,W
2,"Ellis-Watson, Taylor",SR-4,Arkansas,50.78,LSU Invitational,2016-04-30,400,W
3,"Wimbley, Shakima",JR-3,Miami,50.90,ACC Championships,2016-05-13,400,W
4,"Stepter, Jaide",SR-4,USC,50.91,Power Conference Cardinal & Gold,2016-03-25,400,W
5,"Gordon, Chrisann",JR-3,Texas,51.03,LSU Alumni Gold,2016-04-23,400,W
6,"Bamgbose, Margaret",SR-4,Notre Dame,51.11,ACC Championships,2016-05-13,400,W
7,"Majors, Felecia",JR-3,Tennessee,51.29,SEC Championships,2016-05-12,400,W
8,"McMillan, Lilla",SR-4,Tulane,51.38,The American Outdoor Track & Field Championships,2016-05-12,400,W
9,"Roberson, Daye Shon",JR-3,Oklahoma,51.42,Payton Jordan Invitational,2016-05-01,400,W
10,"Francis, Claudia",SR-4,Florida,51.55,LSU Invitational,2016-04-30,400,W
11,"Blocker, Jasmine",SR-4,Tulane,51.66,The American Outdoor Track & Field Championships,2016-05-12,400,W
12,"Ellis, Kendall",SO-2,USC,51.82,Mt. SAC Relays,2016-04-14,400,W
13,"Guster, Elexis",JR-3,Iowa,51.85,Jim Click Shootout,2016-04-09,400,W
14,"Reynolds, Robin",SR-4,Florida,52.00,SEC Championships,2016-05-12,400,W
15,"Watson, Sage",JR-3,Arizona,52.01,2016 Duel in the Desert,2016-04-30,400,W
16,"Abrams, Aliyah",FR-1,South Carolina,52.04,SEC Championships,2016-05-12,400,W
17,"Walker, Sonikqua",SR-4,Ohio State,52.08,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400,W
17,"Stiverne, Aiyanna",JR-3,Miami,52.08,ACC Championships,2016-05-13,400,W
19,"Gholston, Alex",JR-3,Alabama,52.11,SEC Championships,2016-05-12,400,W
19,"Kromah, Mariam",SR-4,Southern Miss.,52.11,Conference USA Championship,2016-05-12,400,W
19,"Jefferson, Kyra",JR-3,Florida,52.11,Florida Relays,2016-03-31,400,W
22,"Woodall , Kenya",SR-4,Cincinnati,52.12,Tiger Track Classic,2016-04-08,400,W
23,"Rogers, Raevyn",SO-2,Oregon,52.30,Willie Williams Classic,2016-03-18,400,W
24,"Mitchell, A'Keyla",SO-2,Kansas State,52.34,John McDonnell Invitational,2016-04-22,400,W
25,"Harper, Daina",JR-3,Arkansas,52.36,LSU Invitational,2016-04-30,400,W
26,"Powell, Micha",JR-3,Maryland,52.49,Florida Relays,2016-03-31,400,W
26,"Thomas, Brionna",SO-2,Purdue,52.49,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400,W
28,"Waggoner, Tatum",SO-2,Arizona,52.52,Jim Click Shootout,2016-04-09,400,W
29,"Seymour, Kiah",JR-3,Kentucky,52.63,Florida Relays,2016-03-31,400,W
30,"Jackson, D'Airien",FR-1,Tennessee Tech,52.64,Vanderbilt Black and Gold Invitational,2016-03-25,400,W
31,"Dorsett, Shaquania",FR-1,Florida State,52.67,Seminole Invitational,2016-04-15,400,W
32,"Desrosiers, Briyahna",FR-1,Texas A&M,52.69,37th Annual Sun Angel Classic,2016-04-08,400,W
33,"Gaines, Ayiana",SO-2,Western Michigan,52.70,Mid-American Conference Championship,2016-05-12,400,W
34,"Luckett, Shayla",SR-4,Miss State,52.74,Florida Relays,2016-03-31,400,W
35,"Parrish, Deja",SO-2,Clemson,52.80,ACC Championships,2016-05-13,400,W
36,"Barnett, Sharrika",FR-1,Florida,52.81,UF Tom Jones Memorial,2016-04-22,400,W
36,"Claxton, Grace",SR-4,Albany,52.81,UNF Twilight,2016-05-04,400,W
38,"Garcia, Pariis",SR-4,St. John's,52.86,Georgia Tech Invitational,2016-04-22,400,W
39,"Mitchell, Jasmine",JR-3,Kentucky,52.90,SEC Championships,2016-05-12,400,W
40,"Martin, Jada",JR-3,LSU,52.94,Miami Hurricane Twilight Invitational,2016-03-25,400,W
41,"Barowski, Cecilia",SR-4,Princeton,52.97,Ivy League Outdoor Track & Field Championships,2016-05-07,400,W
42,"Misher, Rachel",FR-1,LSU,52.98,SEC Championships,2016-05-12,400,W
43,"Williams, Kristyn",SR-4,Stanford,52.99,Michael Johnson Classic,2016-04-23,400,W
44,"Haith, Briana",JR-3,South Carolina,53.03,Florida Relays,2016-03-31,400,W
45,"Golden, Zola",FR-1,Texas,53.10,Big 12 Outdoor Track & Field Championships,2016-05-13,400,W
