,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
82,"Barrett, Sancho",JR-3,Penn State,14.13,Big Ten Outdoor Track & Field Championships,2014-05-16,0.8,110H,W
82,"Townsend, Todd",FR-1,N. Carolina A&T,14.13,Florida Relays,2014-04-03,2.0,110H,W
82,"Zellner, Sven",SO-2,UTEP,14.13@,UTEP Invitational,2014-04-12,1.3,110H,W
82,"Bowers, Ben",SO-2,Penn,14.13,Ivy League Outdoor Track & Field Championships,2014-05-10,1.3,110H,W
82,"Cain, Bryan",JR-3,Cincinnati,14.13,Alabama Relays,2014-03-20,1.0,110H,W
82,"Lindsey, Bryce",SO-2,Eastern Michigan,14.13,Mid-American Outdoor Track & Field Championships,2014-05-15,0.9,110H,W
82,"Hines, Koree",SR-4,Long Beach St.,14.13,Beach Invitational,2014-04-19,1.9,110H,W
89,"Samuels, Joseph",SR-4,East Carolina,14.14,Conference USA Outdoor Track & Field Championships,2014-05-15,0.8,110H,W
89,"Abdullah, Bilal",SO-2,Kennesaw State,14.14,War Eagle 2014,2014-04-18,2.7,110H,W
91,"Drozdowski, Filip",FR-1,Rice,14.15,Conference USA Outdoor Track & Field Championships,2014-05-15,0.7,110H,W
91,"Powell, Glenn",JR-3,Western Illinois,14.15,Summit League Outdoor Track & Field Championships,2014-05-15,1.2,110H,W
93,"Pitt, Moriel",SO-2,Florida,14.16,LSU Invitational,2014-05-03,4.0,110H,W
93,"Joynes, Tristan",SR-4,McNeese State,14.16,Longhorn Invitational,2014-05-03,2.8,110H,W
93,"Spencer, Wallace",JR-3,Howard,14.16,2014 ECAC-IC4A Outdoor Championships,2014-05-16,-0.6,110H,W
96,"Williams, David",SR-4,Cal Poly,14.17,Cal Poly/Shareslo.com Invitational,2014-03-29,2.2,110H,W
97,"McDaniel, Donte'",JR-3,Alabama A&M,14.18,2014 SWAC Outdoor Championship,2014-04-25,2.3,110H,W
97,"Curtis, Thaddeus",SR-4,Troy,14.18,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,2.2,110H,W
97,"Jones, Kemar",JR-3,Southern Illinois,14.18,2014 MVC Outdoor Track & Field Championships,2014-05-16,0.8,110H,W
100,"Washington, Herman",SR-4,Michigan,14.19,UNF Spring Break Invitational,2014-03-28,1.4,110H,W
