,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
35,"Bright, Chantoba",FR-1,UTEP,13.01m,"42' 8.25""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,0.7,TJ,W
36,"Cobb, Michelle",SO-2,North Carolina St.,12.99m,"42' 7.5""",ACC Championships,2019-05-09,1.5,TJ,W
37,"Moran, Leah",JR-3,Indiana,12.98m,"42' 7""",Big Ten Championships,2019-05-10,0.3,TJ,W
37,"Nance, Natayla",SR-4,Houston Baptist,12.98m,"42' 7""",Southland Conference Outdoor Track and Field Championship,2019-05-03,1.8,TJ,W
39,"Wilson, Jantsen",SR-4,James Madison,12.97m,"42' 6.75""",CAA Outdoor Track and Field Championships,2019-05-03,0.0,TJ,W
40,"Iloanya, Nicole",SR-4,SMU,12.96m,"42' 6.25""",Houston Spring Break Invitational,2019-03-14,1.7,TJ,W
40,"Blackall, Leah",JR-3,Maryland,12.96m,"42' 6.25""",Big Ten Championships,2019-05-10,0.5,TJ,W
42,"Wahl, Georgia",SR-4,Texas,12.91m,"42' 4.25""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,3.6,TJ,W
42,"Ellis, Lexi",FR-1,Oregon,12.91m,"42' 4.25""",2019 Desert Heat Classic,2019-04-27,0.0,TJ,W
44,"Pryce, Taishia",JR-3,Kansas State,12.90m,"42' 4""",Big 12 Outdoor Track and Field Championships,2019-05-10,1.9,TJ,W
45,"Barreira, Jessica",SR-4,Arizona State,12.89m,"42' 3.5""",2019 Pac-12 Track & Field Championships,2019-05-04,0.0,TJ,W
45,"Charles, Darlene",JR-3,Miami (Fla.),12.89m,"42' 3.5""",ACC Championships,2019-05-09,2.0,TJ,W
47,"Green, Trentorria",FR-1,Florida State,12.88m,"42' 3.25""",ACC Championships,2019-05-09,2.7,TJ,W
48,"Panton, Domonique",SR-4,Duke,12.87m,"42' 2.75""",Virginia Grand Prix,2019-04-26,0.0,TJ,W
49,"Smith, Hannah",SR-4,New Mexico St.,12.82m,"42' 0.75""",WAC Outdoor Track and Field Championships,2019-05-09,0.0,TJ,W
50,"Steels, Jasmyn",JR-3,Northwestern St.,12.81m,"42' 0.5""",Southland Conference Outdoor Track and Field Championship,2019-05-03,1.3,TJ,W
50,"Abire, Mercy",JR-3,LSU,12.81m,"42' 0.5""",Miami Hurricane Alumni Invitational,2019-04-12,2.7,TJ,W
52,"Nott, Myesha",FR-1,Western Kentucky,12.80m,"42' 0""",Florida Relays,2019-03-28,0.0,TJ,W
53,"McNeil, Shamoya",SR-4,West Virginia,12.79m,"41' 11.5""",State Farm Friends of Track and Field Mountaineer Showcase,2019-04-26,2.6,TJ,W
54,"Hobson, Kiara",FR-1,Nebraska,12.78m,"41' 11.25""",Corky/Crofoot Shootout,2019-04-26,4.0,TJ,W
55,"Fajemisin, Simi",JR-3,Harvard,12.76m,"41' 10.5""",LSU Alumni Gold,2019-04-20,3.4,TJ,W
56,"Lee, Allanah",FR-1,Oklahoma,12.75m,"41' 10""",John Jacobs Invitational,2019-04-19,2.5,TJ,W
57,"Clarke, Lauren",FR-1,Northwestern St.,12.73m,"41' 9.25""",Leon Johnson NSU Invitational,2019-04-12,1.6,TJ,W
58,"Seibert, Mikaela",SR-4,Ohio State,12.72m,"41' 8.75""",Jesse Owens Classic - The Ohio State University,2019-04-26,-1.0,TJ,W
58,"Watson, Ariel",SO-2,Northwestern St.,12.72m,"41' 8.75""",2019 TCU Invitational,2019-03-16,3.2,TJ,W
