,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
27,Oklahoma (C),39.50,"Webb, Sheffield, Brown, Martin",2019 TCU Invitational,2019-03-16,4x100,M
27,Kentucky,39.50,"Roberts, St Hillaire, Bann, Smith",SEC Outdoor Track & Field Championships,2019-05-09,4x100,M
29,Illinois,39.51,"Shannon, Rustay, Haight, Quinn",Big Ten Championships,2019-05-10,4x100,M
29,Memphis (B),39.51,"DeMoss, Persiado, Gunnarsson, Bishop",War Eagle Invitational 2019,2019-04-19,4x100,M
29,Northwestern St.,39.51,"Clarke, Larkins, Arrington, Carr",Leon Johnson NSU Invitational,2019-04-12,4x100,M
32,Oregon (B),39.53,"Anderson, Edwards Jr., Henderson, Harvey",2019 Desert Heat Classic,2019-04-27,4x100,M
33,Arizona,39.56,"Volpe, Washington, Austin, Williams",2019 Pac-12 Track & Field Championships,2019-05-04,4x100,M
34,Ohio State (B),39.57,"Mott, Gray, Burke, Johnson",Big Ten Championships,2019-05-10,4x100,M
35,Clemson,39.59,"Sands, Parker, Hewitt, Tolbert",Florida Relays,2019-03-28,4x100,M
35,Iowa,39.59,"Hofacker, Woodard, Lawrence Jr., Bartley",Big Ten Championships,2019-05-10,4x100,M
37,Houston (C),39.60,"Alexander, McDonald, Ware, Sumler IV",2019 TSU Relays (College/University),2019-03-15,4x100,M
38,South Carolina St.,39.63,"Seawright, Kemp, Watson, Rember-Jett",Gamecock Invitational Outdoor,2019-04-13,4x100,M
39,Baylor,39.68,"Braxton, Cunningham, Willis, Barnes",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
40,Tennessee,39.69,"Miller, Williams, McConico, Uzzell",Tennessee Relays,2019-04-11,4x100,M
41,Auburn,39.70,"Schwartz, Shivers, Reese, Tenkiang",War Eagle Invitational 2019,2019-04-19,4x100,M
41,TCU,39.70,"Maloka, Matiyenga, Flowers, Brock Jr",2019 TCU Invitational,2019-03-16,4x100,M
43,Georgia,39.72,"Nicholls, Nance, Raines, Godwin",Spec Towns Invitational,2019-04-05,4x100,M
44,Arizona (B),39.73,"Volpe, Washington, Austin, Egbo",2019 Desert Heat Classic,2019-04-27,4x100,M
45,USC (B),39.74,"Owens, Barnum, Robinson, Allen Jr.",2019 Pac-12 Track & Field Championships,2019-05-04,4x100,M
46,Arkansas (B),39.76,"Oglesby, Woodhall, Hari, Ejiakuekwu",John McDonnell Invitational,2019-04-12,4x100,M
47,Western Kentucky (B),39.77,"Davis, Alexandre, Gates, Owusu-Antwi",Florida Relays,2019-03-28,4x100,M
48,South Carolina St. (B),39.78,"Hammond, Kemp, Watson, Seawright",MEAC Outdoor Track & Field Championships,2019-05-02,4x100,M
48,Florida State (C),39.78,"Timpson, Gay, Matherson, Haraway",FSU Relays (College),2019-03-22,4x100,M
50,Texas A&M,39.80,"Ethridge, Johnson, Deadmon, Comick",Texas A&M Alumni Muster,2019-04-27,4x100,M
50,Auburn (B),39.80,"Parker, Schwartz, Burks, Shivers",Tiger Track Classic 2019,2019-04-05,4x100,M
52,UT-Arlington,39.81,"McBride, Haynes, Mitchell, Aldridge",Texas A&M Alumni Muster,2019-04-27,4x100,M
52,Alabama State,39.81,"Spike, Green, Spraggins, East",2019 SWAC Outdoor T&F Championships,2019-05-03,4x100,M
54,Western Kentucky (C),39.82,"Warren, Owusu-Antwi, Gates, Davis",Tennessee Relays,2019-04-11,4x100,M
55,Texas,39.83,"Ntreh, Harris, Brown, Brown Jr.",Big 12 Outdoor Track and Field Championships,2019-05-10,4x100,M
55,North Carolina St.,39.83,"Dowdy, Charleston, Patterson, Cunningham",UF Tom Jones Memorial,2019-04-26,4x100,M
57,Kentucky (B),39.84,"Roberts, St Hillaire, Smith, Council",Tennessee Relays,2019-04-11,4x100,M
57,Troy,39.84,"Hayes, Likely, Bishop, Allen-McDuffie",Sun Belt Outdoor Track and Field Championships,2019-05-10,4x100,M
57,UCLA,39.84,"Powell, Schrage, Webb, Higgins",2019 Pac-12 Track & Field Championships,2019-05-04,4x100,M
60,UCLA (B),39.85,"Powell, Webb, Holloway, Higgins",Mt. SAC Relays,2019-04-18,4x100,M
61,Stephen F. Austin,39.87,"Ruiz, Bennett, Thomas, Callahan",Michael Johnson Invitational,2019-04-19,4x100,M
62,USC (C),39.88,"Robinson, Stewart, Da Silva, Allen Jr.",Mt. SAC Relays,2019-04-18,4x100,M
63,South Carolina St. (C),39.89,"Kemp, Richard, Seawright, Watson",UNF Invitational,2019-04-05,4x100,M
64,Western Kentucky (D),39.91,"Bush, Hayes, Kelly, Warren",Hilltopper Relays 2019,2019-04-05,4x100,M
64,Ohio State (C),39.91,"Harrison, Gray, Mott",Florida Relays,2019-03-28,4x100,M
64,Miss State,39.91,"Moore, Conwell, Kowalchuk, Crump",Al Schmidt Bulldog Relays Invite,2019-03-22,4x100,M
67,Baylor (B),39.92,"Texada, Cunningham, Willis, Milton",Big 12 Outdoor Track and Field Championships,2019-05-10,4x100,M
68,TCU (B),39.93,"Matiyenga, Brock Jr, Bender, Mokaleng",Big 12 Outdoor Track and Field Championships,2019-05-10,4x100,M
68,Jackson State,39.93,"Felix, Addison, Thomas, Bell",2019 SWAC Outdoor T&F Championships,2019-05-03,4x100,M
68,Auburn (C),39.93,"Parker, Schwartz, Reese, Shivers",Florida Relays,2019-03-28,4x100,M
71,North Texas,39.96,"Porter, Jones, De La Cruz, Cole",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
71,Miss State (B),39.96,"Kowalchuk, Crump, Moore, Miller",LSU Alumni Gold,2019-04-20,4x100,M
73,Southern Miss.,39.97,"Sagesse, West, Johnson, Parker",LSU Alumni Gold,2019-04-20,4x100,M
73,USC (D),39.97,"Robinson, Stewart, Barnum, Da Silva",Jim Click Shootout,2019-04-06,4x100,M
75,UCLA (C),39.99,"Webb, Schrage, Holloway, Powell",Rafer Johnson & Jackie Joyner-Kersee Invitational,2019-04-13,4x100,M
76,Northwestern St. (B),40.00,"Harry, Larkins, Clarke, Carr",2019 TCU Invitational,2019-03-16,4x100,M
76,Miami (Fla.),40.00,"Chambers, Moulton, Knight, Taylor",ACC Championships,2019-05-09,4x100,M
76,Houston (D),40.00,"Lewis III, Ware, Booker, Sumler IV",Drake Relays presented by Hy-Vee,2019-04-24,4x100,M
79,Nebraska,40.03,"Woodyard, Nou, Hericks, Nelson",Big Ten Championships,2019-05-10,4x100,M
79,TCU (C),40.03,"Brock Jr, Matiyenga, Flowers, Mokaleng",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
79,Kennesaw State,40.03,"Hewing, Diaz, Goodwin, Akindele",ASUN Outdoor Track & Field Championships,2019-05-10,4x100,M
82,Nebraska (B),40.06,"Lukz, Nou, Hericks, Nelson",Crimson Tide Invitational,2019-04-11,4x100,M
82,Texas Tech (C),40.06@,"Hall, Shelton, Sutton, Brown",Fearless Champion Open,2019-03-22,4x100,M
82,Ohio State (D),40.06,"Mott, Gray, Seward, Harrison",LSU Battle on the Bayou,2019-04-06,4x100,M
85,Miss State (C),40.08,"Moore, Conwell, Kowalchuk, Miller",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
86,Chicago State,40.10@,"Brown, Sims, Cesalien, McKenzie",WAC Outdoor Track and Field Championships,2019-05-09,4x100,M
86,Clemson (B),40.10,"Sands, Parker, Hewitt, Ledell",ACC Championships,2019-05-09,4x100,M
86,USC (E),40.10,"Stewart, Shinnick, Da Silva, Allen Jr.",USC Trojan Invite,2019-03-15,4x100,M
89,South Dakota St.,40.12,"Phoulom-Smith, Hilton, Clarke, Zenner",Drake Relays presented by Hy-Vee,2019-04-24,4x100,M
89,Kennesaw State (B),40.12,"Diaz, Hewing, Bolden, Akindele",Don McGarey Invitational Track and Field Invitational,2019-04-26,4x100,M
91,Navy,40.14,"Watson, Pierce, Lexo, Lanier",Army vs. Navy Outdoor Star Meet,2019-04-06,4x100,M
91,Coppin State (B),40.14,"Amoah, Opuni, Westcarr, Manu",2019 Morgan State Legacy Track & Field Meet,2019-04-19,4x100,M
91,Miami (Fla.) (B),40.14,"Chambers, Moulton, Taylor, Smart",Miami Hurricane Alumni Invitational,2019-04-12,4x100,M
91,North Carolina St. (B),40.14,"Dowdy, Charleston, Patterson, Alvarez",Tennessee Relays,2019-04-11,4x100,M
95,UT-Arlington (B),40.16,"McBride, Haynes, Mitchell, Gray",2019 TCU Invitational,2019-03-16,4x100,M
95,Iowa (B),40.16,"Williams, Woodard, Hofacker, Harris",Florida Relays,2019-03-28,4x100,M
95,Southern Miss. (B),40.16,"Sagesse, West, Burton, Parker",Al Schmidt Bulldog Relays Invite,2019-03-22,4x100,M
98,Georgia Tech,40.17,"Spears, Simpson, Thomas, Pietsch",Torrin Lawrence Memorial,2019-04-26,4x100,M
99,Houston (E),40.20,"Booker, Ware, Smith, Sumler IV",Houston Alumni Invitational,2019-04-06,4x100,M
100,Coppin State (C),40.21,"Amoah, John, Manu, Lewis",Towson Invitational 2019,2019-04-06,4x100,M
1,Texas A&M (F),38.74,"Jenkins, Hart, Morrow, Lendore",SEC Championships,2015-05-14,4x100,M
2,LSU (A),38.78,"Thompson, Norwood, Acy, Ernest",SEC Championships,2015-05-14,4x100,M
3,Alabama (A),38.87,"Hudson, Gayle, Ali, Pinder",SEC Championships,2015-05-14,4x100,M
4,Texas A&M (D),38.91,"Coleman, Hart, Taplin, Lendore",2015 Clyde Littlefield Texas Relays,2015-03-25,4x100,M
5,USC (B),38.97,"Lee, De Grasse, Thymes, Mercado",Florida Relays,2015-04-02,4x100,M
6,Texas A&M (C),38.98,"Jenkins, Hart, Taplin, Lendore",Baldy Castillo Invitational,2015-03-20,4x100,M
7,Florida (A),39.08,"Wright, Hall, Futch, Dukes",SEC Championships,2015-05-14,4x100,M
8,Arkansas (E),39.12,"McLeod, Lawson, Cotton, Washington",SEC Championships,2015-05-14,4x100,M
9,TCU (A),39.15,"Bozmans, Watts, Baker, Bailey",2015 Clyde Littlefield Texas Relays,2015-03-25,4x100,M
10,TCU (F),39.18,"Echols- Luper, Bailey, Baker, Listenbee",TCU Horned Frog Invite,2015-05-02,4x100,M
11,Baylor (A),39.22,"Wilson, Harris, Grace, Bromell",2015 Clyde Littlefield Texas Relays,2015-03-25,4x100,M
12,Texas A&M (A),39.24,"Jenkins, Hart, Taplin, Coleman",36th Sun Angel Classic,2015-04-09,4x100,M
13,Florida State (C),39.28,"Ramsey, Greene, Williams, Friday",ACC Outdoor Track & Field Championships,2015-05-14,4x100,M
13,TCU (G),39.28,"Bailey, Watts, Baker, Listenbee",Big 12 Outdoor Track & Field Championships,2015-05-15,4x100,M
15,Baylor (C),39.42,"Cannon, Harris, Wilson, Bromell",Big 12 Outdoor Track & Field Championships,2015-05-15,4x100,M
16,Florida State (B),39.46,"Williams, Greene, Moona, Friday",Longhorn Invitational,2015-05-02,4x100,M
17,Western Kentucky (F),39.47@,"Redwine, Sears, Dasor, Parks",Conference USA Outdoor Track & Field Championships,2015-05-14,4x100,M
18,TCU (E),39.53,"Bozmans, Watts, Baker, Listenbee",Michael Johnson Classic,2015-04-18,4x100,M
19,TCU (C),39.54,"Bozmans, Watts, Baker, McSwain",2015 Clyde Littlefield Texas Relays,2015-03-25,4x100,M
20,Illinois (A),39.56,"Maat, Stryganek, Henderson, Zahn",2015 Jim Click Shootout,2015-04-11,4x100,M
20,South Carolina (H),39.56,"Kee, Echols, Winfrey, Walker",SEC Championships,2015-05-14,4x100,M
22,Clemson (C),39.60,"Hester, Cheeks, Lamb, Johnson",ACC Outdoor Track & Field Championships,2015-05-14,4x100,M
22,LIU Brooklyn (F),39.60,"Dukes, Williamson, Cue, Rodney",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x100,M
22,Illinois (B),39.60,"Maat, Stryganek, Watkins, Zahn",Illinois Twilight,2015-04-18,4x100,M
25,Mississippi (C),39.62,"Burdette, Semien, Brown, Miller",SEC Championships,2015-05-14,4x100,M
26,Alabama (B),39.63,"Hudson, Gayle, Ali, Brown",LSU Invitational,2015-05-02,4x100,M
27,Clemson (B),39.64,"Britton, Cheeks, Johnson, Hester",2015 Clyde Littlefield Texas Relays,2015-03-25,4x100,M
27,Oregon (D),39.64,"Brooks-James, Delaney, Thiel, Chambers",Pac-12 Track & Field Championships,2015-05-15,4x100,M
29,Iowa (A),39.66,"Saucer, Thompson, Harrington, Mallett",Musco Invitational,2015-05-02,4x100,M
30,Texas-Arlington (D),39.68,"Vaughn, Newson, Butler, Crear",Sun Belt Outdoor Track and Field Championships,2015-05-08,4x100,M
31,South Carolina (C),39.69,"Echols, Gravesande, Kee, Winfrey",Florida Relays,2015-04-02,4x100,M
32,USC (C),39.74,"Lee, Jackson, Thymes, Mercado",Trojan Invitational,2015-03-20,4x100,M
33,Texas (A),39.75,"Anumnu, Anumnu, Fares, Irvin",Texas Invitational,2015-04-11,4x100,M
34,Eastern Illinois (E),39.79,"Robinson, Edwards, Mohammed, Ilunga-Matthies",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x100,M
34,Western Kentucky (C),39.79,"Swinton, Sears, Dasor, Redwine",Florida Relays,2015-04-02,4x100,M
34,Eastern Illinois (A),39.79,"Boey, Edwards, Robinson, Ilunga-Matthies",Ohio Valley Conference Championships,2015-05-15,4x100,M
34,Eastern Illinois (D),39.79,"Booth, Mohammed, Robinson, Ilunga-Matthies",Illinois Twilight,2015-04-18,4x100,M
38,Auburn (A),39.82,"Campbell, Henderson, Fisher, Smith",SEC Championships,2015-05-14,4x100,M
38,Texas (C),39.82,"Givans, Anumnu, Bilderback, Anumnu",Big 12 Outdoor Track & Field Championships,2015-05-15,4x100,M
40,Arizona (D),39.84,"Johnson, Alhasan, Eichler, Brandt",2015 Jim Click Shootout,2015-04-11,4x100,M
41,Louisiana Tech (B),39.94,"Gotch, Hicks, Henderson, Statham",2015 Clyde Littlefield Texas Relays,2015-03-25,4x100,M
42,Sam Houston St. (C),39.95,"Imagbe, Jenkins, Jones, Jefferson",J Fred Duckett-Rice Twilight,2015-04-25,4x100,M
42,Eastern Michigan (D),39.95,"Snead, Bolton, Williams, Delgado",Mid-American Outdoor Track & Field Championships,2015-05-14,4x100,M
44,Houston (B),39.97,"Floyd, Williams, Arnett, Brown",The American Outdoor Track & Field Championships,2015-05-14,4x100,M
45,N. Carolina A&T (B),39.98,"Eaddy, Quarles, Noble, Gabriel",MEAC Outdoor T&F Championships,2015-04-30,4x100,M
45,Arkansas State (C),39.98,"Meyer, Bacon, Ross, Pienaar",Sun Belt Outdoor Track and Field Championships,2015-05-08,4x100,M
47,Incarnate Word (B),40.02,"Williams, Epps, Williams-Diaz, DeWitt",Bobcat Classic,2015-04-25,4x100,M
48,Florida State (A),40.03,"Madzivire, Moona, Williams, Cherry",Miami Hurricane Alumni Invitational,2015-04-10,4x100,M
49,Cal St. Northridge (F),40.06,"Cape, Jones, Taylor, Horsley",2015 Big West Championships,2015-05-15,4x100,M
49,Sam Houston St. (E),40.06,"Brooks, Jenkins, Jones, Jefferson",Southland Conference Championship,2015-05-08,4x100,M
51,Texas-Arlington (C),40.08,"Clark, Butler, Newson, Vaughn",Bobcat Classic,2015-04-25,4x100,M
52,South Carolina (E),40.09,"Echols, Gravesande, Walker, Winfrey",Bill Carson Invitational,2015-04-10,4x100,M
52,Georgia (D),40.09,"Jenkins, Glover, Evans, Calhoun",SEC Championships,2015-05-14,4x100,M
54,Houston (A),40.10,"Collins, Arnett, Brown, Williams",Mt. SAC Relays,2015-04-16,4x100,M
54,Oklahoma State (C),40.10,"Selph, Jackson, Johnson, Teeters",John McDonnell Invitational,2015-04-10,4x100,M
54,Iowa (C),40.10,"Saucer, Mallett, Harrington, Brown",Big Ten Outdoor Track & Field Championships,2015-05-15,4x100,M
54,Buffalo (F),40.10,"Johnson, Gali, Cummiskey, Billian",Mid-American Outdoor Track & Field Championships,2015-05-14,4x100,M
58,Washington (B),40.11,"Strong, Satterwhite, Spano, Williams",Pac-12 Track & Field Championships,2015-05-15,4x100,M
59,Kent State (D),40.12,"Conkle, Grant, Barnes, Gordon",Mid-American Outdoor Track & Field Championships,2015-05-14,4x100,M
60,Arizona State (A),40.13,"James, Underwood, Middlebrooks, Trotter",36th Sun Angel Classic,2015-04-09,4x100,M
60,Arizona State (B),40.13,"James, Underwood, Middlebrooks, Hall",Duel in the Desert- ASU vs ARIZONA,2015-05-01,4x100,M
60,Akron (A),40.13,"Ruby, Williamson, Young, Cheek",Longhorn Invitational,2015-05-02,4x100,M
63,Oregon (B),40.14,"Thiel, Delaney, Nelson, Chambers",Oregon Relays,2015-04-16,4x100,M
64,Illinois (D),40.17,"Watkins, Stryganek, Henderson, Zahn",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x100,M
64,Nebraska (H),40.17,"Pankins, Hall, Lloyd, Rush",Big Ten Outdoor Track & Field Championships,2015-05-15,4x100,M
64,Baylor (B),40.17,"Wilson, Harris, Grace, Cannon",Michael Johnson Classic,2015-04-18,4x100,M
67,Bethune-Cookman (B),40.18,"Fair, Cabrera, Banks, Martin",4th Annual South Florida Multi-Cultrual Games,2015-04-27,4x100,M
67,SE Louisiana (B),40.18,"Breland, Brown, Minnifield, Williams",J Fred Duckett-Rice Twilight,2015-04-25,4x100,M
67,Arkansas (D),40.18,"Green, Washington, Cotton, Riley",John McDonnell Invitational,2015-04-10,4x100,M
70,Boston U. (C),40.19,"Lagerberg, Prenn, Flynn, Williams",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x100,M
71,Ohio State (E),40.21,"Anderson, Branson, Faust, Jackson",Ohio State - Jesse Owens Classic,2015-05-01,4x100,M
72,Eastern Michigan (B),40.24,"Snead, Bolton, Bolden, Elam",Virginia Challenge,2015-04-17,4x100,M
73,Akron (C),40.25,"Cheek, Williamson, Baldwin, Ruby",Mid-American Outdoor Track & Field Championships,2015-05-14,4x100,M
74,George Mason (B),40.26,"Raymond, Mitchell, Smalls, Freeman",Michael Johnson Classic,2015-04-18,4x100,M
74,Coastal Carolina (A),40.26,"Denmark, Hass, Lipscomb, Styles",Big South Championships,2015-05-14,4x100,M
74,UL-Lafayette (A),40.26,"Hughes, Carter, Ebiweh, Brazil",Louisiana Classic,2015-03-20,4x100,M
74,Georgia (A),40.26,"Okoye, Glover, Evans, Jenkins",Georgia Spec Towns National Team Invitational,2015-04-10,4x100,M
74,Arizona (C),40.26,"Hing, Alhasan, Eichler, Brandt",2015 Arizona State Pac-12 vs Big 10 Invitational,2015-03-27,4x100,M
79,Northeastern (A),40.27,"Henry, Darrow, Wilson, Lane",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x100,M
79,Arkansas (F),40.27,"Green, Riley, Blakely, Hawkins",Arkansas Twilight,2015-05-01,4x100,M
81,USC (A),40.28,"Mercado, Slater, Morgan, Thymes",Cal State LA Invitational,2015-03-07,4x100,M
82,Southern Miss. (C),40.29@,"Johnson, Miller, Wells, Smith",Conference USA Outdoor Track & Field Championships,2015-05-14,4x100,M
82,UNC-Wilmington (A),40.29,"Walton, Ragland, Shaw, McLean",Charlotte Invitational,2015-04-17,4x100,M
82,Oregon (C),40.29,"Brooks-James, Delaney, Nelson, Chambers",Oregon Twilight,2015-05-08,4x100,M
85,Oregon (A),40.30,"Chambers, Moore, Delaney, James",Trojan Invitational,2015-03-20,4x100,M
86,Kansas State (C),40.31,"Steen, Smith, Harrison, Otuonye",36th Sun Angel Classic,2015-04-09,4x100,M
86,Michigan (A),40.31,"Nolan, Spooney, Crenshaw, Maye",Cal-Michigan-Virginia Tri Meet,2015-04-04,4x100,M
86,Miami (C),40.31,"Burns, Johnson, Grant, Cook",ACC Outdoor Track & Field Championships,2015-05-14,4x100,M
89,Coppin State (A),40.32,"Chase, Dorsey, Cowie-Clarke, Green",Coppin State Invitational,2015-05-08,4x100,M
89,Georgia (C),40.32,"Calhoun, Glover, Evans, Okoye",Georgia Invitational,2015-05-09,4x100,M
89,Eastern Michigan (C),40.32,"Snead, Bolden, Bolton, Brown",Ohio State - Jesse Owens Classic,2015-05-01,4x100,M
92,Nebraska (G),40.33,"White, Hall, Lloyd, Rush",Nebraska Invitational,2015-05-09,4x100,M
92,Cal St. Northridge (C),40.33,"Taylor, Horsley, Stone, Johnson",Texas Invitational,2015-04-11,4x100,M
92,Arkansas (A),40.33,"Cotton, Washington, Hawkins, Stephen",Arkansas Spring Invitational,2015-03-27,4x100,M
95,New Mexico (A),40.34,"Hamilton, Jones, Wiggins, Bajere",Baldy Castillo Invitational,2015-03-20,4x100,M
96,UTEP (A),40.35@,"Hinson, Washington, Bias, Mitchell",UTEP Springtime Invitational,2015-03-21,4x100,M
96,Abilene Christian (A),40.35,"Brown, Farquarshon, Allyene-Forte, McBride",Southland Conference Championship,2015-05-08,4x100,M
98,California (B),40.37,"Wethington, Jones, Davis, Muhammad",Cal-Michigan-Virginia Tri Meet,2015-04-04,4x100,M
98,Kennesaw State (A),40.37,"Blassingame, Duggans, Rooks, Singleton",Virginia Challenge,2015-04-17,4x100,M
100,Morgan State (E),40.38,"Thompson, Reid, Howell, Agendia",MEAC Outdoor T&F Championships,2015-04-30,4x100,M
