,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
58,Alabama,39.72,"Ford, Walter, Walters, Allison",UF Tom Jones Memorial,2018-04-13,4x100,M
59,Coppin State,39.73,"Hodges, Amoah, Owusu-Antwi, Lewis",Florida Relays,2018-03-29,4x100,M
59,Tennessee (C),39.73,"Elion, Williams, Harris, Strother",SEC Outdoor Track and Field Championships,2018-05-11,4x100,M
59,Texas A&M (B),39.73,"Williams, Kerley, Deadmon, Johnson",Roadrunner Invitational,2018-03-22,4x100,M
62,Illinois (B),39.74,"Shannon, Henderson, Haight, Quinn",Illinois Twilight,2018-04-14,4x100,M
62,Purdue (B),39.74,"McGee, McLaren, Hollis, Williams",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x100,M
64,Auburn,39.76,"Rubalcaba, Chambers, Coakley, Tenkiang",SEC Outdoor Track and Field Championships,2018-05-11,4x100,M
65,Northeastern,39.77,"Morton, Darrow, O'Connor, Djero",UCONN Northeast Challenge,2018-04-14,4x100,M
66,Texas A&M (C),39.78,"Comick, Page, Williams, Deadmon",Rafer Johnson & Jackie Joyner-Kersee Invitational,2018-04-14,4x100,M
67,Miss State,39.8,"Waters, Jones, Kowalchuk, Spears",SEC Outdoor Track and Field Championships,2018-05-11,4x100,M
68,Memphis (B),39.82,"Bishop, DeMoss, Gunnarsson, Persiado",Memphis Tiger Invitational,2018-04-27,4x100,M
69,Troy,39.85,"Hayes, Delis, Rice, Harris",Sun Belt Outdoor Track and Field Championships,2018-05-11,4x100,M
70,Virginia Tech,39.87,"Harris, Denmark, Tay, Davenport",ACC Outdoor Championships,2018-05-10,4x100,M
70,Jackson State,39.87,"Felix, Addison, Thomas, Bell",SWAC Outdoor Track and Field Championship,2018-05-04,4x100,M
70,Northwestern St. (D),39.87,,Leon Johnson NSU Invitational,2018-04-28,4x100,M
70,TCU (D),39.87,"Maloka, Miller, Flowers, Mokaleng",UF Tom Jones Memorial,2018-04-13,4x100,M
70,Arkansas (D),39.87,"Chattoo, Schrage, Harris, Winn",Arkansas Spring Invitational,2018-03-23,4x100,M
75,Illinois (C),39.88,"Maat, Henderson, Haight, Quinn",Mt. SAC Relays,2018-04-19,4x100,M
76,Texas State,39.89,"Warren, Wilson, Porter, Allen",Sun Belt Outdoor Track and Field Championships,2018-05-11,4x100,M
76,Illinois (D),39.89,"Shannon, Henderson, Haight, Maat",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x100,M
78,Princeton,39.9,"Volker, Daniels, Carbone, Akosa",IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,4x100,M
78,Miss State (B),39.9,"Waters, James, Conwell, Kowalchuk",Mississippi State Bulldog Relays,2018-03-23,4x100,M
80,Penn State (C),39.91,"Henderson, Laird, Smith, Moffett",LSU Battle on the Bayou,2018-04-07,4x100,M
81,Western Kentucky (B),39.92,"Gates, Hayes, Minor, Villaman",Mt. SAC Relays,2018-04-19,4x100,M
82,N.C. Central,39.94,"Roberts, Williams, Hartsfield, Lewis",Penn Relays,2018-04-26,4x100,M
82,Oregon (C),39.94,"Webb, Shellmire, Gillespie, Canady",40th Annual Aztec Invitational,2018-03-24,4x100,M
84,Oregon (D),39.95,"Canady, Schmidt, Emilien, Stone",2018 Desert Heat Classic,2018-04-28,4x100,M
85,Navy,39.96,"Watson, Enslen, Lexo, Lanier",Patriot League Outdoor Track & Field Championships,2018-05-04,4x100,M
