,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Kerr, Josh",SO-2,New Mexico,3:35.99,Bryan Clay Invite,2017-04-13,1500,M
2,"Engels, Craig",SR-4,Ole Miss,3:37.75,Bryan Clay Invite,2017-04-13,1500,M
3,"Thompson, Joshua",SR-4,Oklahoma State,3:38.21,Bryan Clay Invite,2017-04-13,1500,M
4,"Saarel, Ben",JR-3,Colorado,3:40.24,Stanford Cardinal Classic,2017-04-21,1500,M
5,"Nowak, Craig",SR-4,Oklahoma State,3:40.41,Stanford Cardinal Classic,2017-04-21,1500,M
6,"Rogers, Alex",SO-2,Texas,3:40.85,Stanford Cardinal Classic,2017-04-21,1500,M
7,"Prakel, Sam",JR-3,Oregon,3:40.87,Bryan Clay Invite,2017-04-13,1500,M
8,"Rockhold, Cole",SO-2,Colorado St.,3:41.04,Bryan Clay Invite,2017-04-13,1500,M
9,"Thies, Jeff",JR-3,Portland,3:41.11,Bryan Clay Invite,2017-04-13,1500,M
10,"Koech, Jonah",SO-2,UTEP,3:41.22@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1500,M
11,"Tamagno, Austin",FR-1,Oregon,3:41.33,Bryan Clay Invite,2017-04-13,1500,M
12,"Rutto, Eliud",SR-4,Mid. Tenn. State,3:41.38,War Eagle Invititaional,2017-04-21,1500,M
13,"Bruce, Jack",JR-3,Arkansas,3:41.45,John McDonnell Invitational,2017-04-21,1500,M
14,"Farnham-Rose, Robbie",SR-4,Alabama,3:41.64,Bryan Clay Invite,2017-04-13,1500,M
15,"Horrocks, Chase",SR-4,BYU,3:41.68,Bryan Clay Invite,2017-04-13,1500,M
16,"Klecker, Joe",SO-2,Colorado,3:41.69,Oregon State University High Performance,2017-04-28,1500,M
17,"Villarreal, Carlos",FR-1,Arizona,3:41.75,Payton Jordan Invitational,2017-05-05,1500,M
18,"Knevelbaard, Kasey",SO-2,Southern Utah,3:41.76,Stanford Invitational,2017-03-31,1500,M
19,"Beamish, Geordie",FR-1,Northern Arizona,3:41.87,Bryan Clay Invite,2017-04-13,1500,M
20,"Arroyo, Andres",SR-4,Florida,3:41.95,UF Tom Jones Memorial,2017-04-28,1500,M
21,"Knight, Justyn",JR-3,Syracuse,3:42.11,Virginia Challenge,2017-04-21,1500,M
22,"Maggard, Dillon",JR-3,Utah State,3:42.15,Stanford Cardinal Classic,2017-04-21,1500,M
23,"Paulson, William",JR-3,Princeton,3:42.23,2017 Larry Ellis Invitational,2017-04-21,1500,M
24,"Randon, James",SR-4,Yale,3:42.33,Raleigh Relays,2017-03-24,1500,M
25,"George, Alex",SO-2,Arkansas,3:42.34,Bryan Clay Invite,2017-04-13,1500,M
26,"Kiprotich, Justine",SO-2,Michigan State,3:42.36,Virginia Challenge,2017-04-21,1500,M
27,"Reiser, Jesse",SO-2,Illinois,3:42.37,Bryan Clay Invite,2017-04-13,1500,M
28,"Perrin, Zach",JR-3,Colorado,3:42.42@,Colorado Invitational,2017-04-07,1500,M
29,"DeLago, Christian",SR-4,Iowa State,3:42.46,Bryan Clay Invite,2017-04-13,1500,M
30,"Burdick, Kyle",SO-2,South Dakota St.,3:42.52,Bryan Clay Invite,2017-04-13,1500,M
30,"Cheruiyot, Geoffry",JR-3,Mid. Tenn. State,3:42.52,War Eagle Invititaional,2017-04-21,1500,M
32,"Sotomayor , Arturo",SO-2,UCLA,3:42.60,Rafer/JJK Invitational,2017-04-08,1500,M
32,"Wynne, Henry",SR-4,Virginia,3:42.60,Virginia Challenge,2017-04-21,1500,M
34,"Palamar, Adam",SR-4,Syracuse,3:42.70,Payton Jordan Invitational,2017-05-05,1500,M
35,"Saruni, Michael",FR-1,UTEP,3:42.71@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1500,M
36,"Manahan, Ryan",JR-3,Ole Miss,3:42.79,Bryan Clay Invite,2017-04-13,1500,M
37,"Streich, Shane",SO-2,Minnesota,3:42.81,Bryan Clay Invite,2017-04-13,1500,M
38,"Gourley, Neil",JR-3,Virginia Tech,3:42.82,Virginia Challenge,2017-04-21,1500,M
39,"Haney, Blake",JR-3,Oregon,3:42.86,Bryan Clay Invite,2017-04-13,1500,M
39,"O'Neil, Austin",SR-4,UCLA,3:42.86,Rafer/JJK Invitational,2017-04-08,1500,M
41,"Hatler, Chris",SR-4,Penn,3:42.89,Stanford Invitational,2017-03-31,1500,M
42,"Adams, Ryan",SO-2,Furman,3:42.90,Raleigh Relays,2017-03-24,1500,M
42,"Gowans, James",SR-4,Cornell,3:42.90(1),Bob Larsen Distance Carnival/UCLA Legends Invite,2017-03-31,1500,M
44,"Timlin, David",SR-4,Indiana State,3:42.93,Indiana State University Twilight,2017-05-06,1500,M
45,"Abbey, Jefferson",SR-4,Colorado St.,3:42.95,Bryan Clay Invite,2017-04-13,1500,M
45,"Linkletter, Rory",SO-2,BYU,3:42.95@(1),2017 BYU Robison Invitational,2017-04-27,1500,M
47,"Nicklason, Hugh",SO-2,San Francisco,3:43.01,Bryan Clay Invite,2017-04-13,1500,M
48,"Oakley, Julian",SR-4,Providence,3:43.04,2017 Larry Ellis Invitational,2017-04-21,1500,M
49,"Gagne, Daniel",JR-3,Bradley,3:43.08,Bryan Clay Invite,2017-04-13,1500,M
50,"Stanovsek, Mick",FR-1,Oregon,3:43.22,Stanford Invitational,2017-03-31,1500,M
50,"Heppenstall, Robert",SO-2,Wake Forest,3:43.22,Charlotte Invitational,2017-04-14,1500,M
52,"Dorsey, Matt",SR-4,Air Force,3:43.26@,Mountain West Outdoor Track & Field Championships,2017-05-10,1500,M
52,"Hirsch, Carl",JR-3,Wisconsin,3:43.26,John McDonnell Invitational,2017-04-21,1500,M
54,"Seal, Alexander",SO-2,Boston U.,3:43.29,Bryan Clay Invite,2017-04-13,1500,M
55,"Gorman, Tim",SR-4,Oregon,3:43.31,Bryan Clay Invite,2017-04-13,1500,M
56,"Wiebke, Derek",JR-3,Minnesota,3:43.45,Bryan Clay Invite,2017-04-13,1500,M
57,"Hoare, Oliver",FR-1,Wisconsin,3:43.48,John McDonnell Invitational,2017-04-21,1500,M
58,"Napolitano, Rob",SR-4,Columbia,3:43.50,Florida Relays,2017-03-30,1500,M
59,"Guyton, Jack",SO-2,Florida,3:43.63,Florida Relays,2017-03-30,1500,M
60,"Curts, Dan",SO-2,Iowa State,3:43.67,Stanford Cardinal Classic,2017-04-21,1500,M
61,"Chemadi, Kigen",SO-2,Mid. Tenn. State,3:43.69@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1500,M
62,"Hall, Michael",JR-3,Florida State,3:43.70,Stanford Cardinal Classic,2017-04-21,1500,M
63,"Piazza, Drew",SR-4,Virginia Tech,3:43.82,Tennessee Relays,2017-04-06,1500,M
64,"Nelson, Blake",SR-4,Washington,3:43.89,Bryan Clay Invite,2017-04-13,1500,M
65,"Marco, Christopher",JR-3,Notre Dame,3:43.98,Stanford Invitational,2017-03-31,1500,M
66,"Tate, Mike",JR-3,Southern Utah,3:44.09,Mt. SAC Relays,2017-04-13,1500,M
67,"Homan, Ethan",SR-4,Boston U.,3:44.12,Bryan Clay Invite,2017-04-13,1500,M
68,"Blunt, John Carter",FR-1,UCLA,3:44.13(1),Bob Larsen Distance Carnival/UCLA Legends Invite,2017-03-31,1500,M
68,"Heslington, Jacob",FR-1,BYU,3:44.13@(1),2017 BYU Robison Invitational,2017-04-27,1500,M
68,"Young, Clayton",SO-2,BYU,3:44.13@(1),2017 BYU Robison Invitational,2017-04-27,1500,M
71,"Duffey, Paul",SR-4,Northeastern,3:44.17,Stanford Invitational,2017-03-31,1500,M
72,"Mau, Kyle",FR-1,Indiana,3:44.22,Big Ten Outdoor Championships,2017-05-12,1500,M
73,"Murphy, Joseph",SO-2,Indiana,3:44.30,Indiana State University Twilight,2017-05-06,1500,M
73,"Curles, Wesley",JR-3,Auburn,3:44.30,War Eagle Invititaional,2017-04-21,1500,M
75,"Rafla, Andrew",SO-2,Boise State,3:44.36@,Mountain West Outdoor Track & Field Championships,2017-05-10,1500,M
76,"Gutierrez, Derek",JR-3,Ole Miss,3:44.39,Florida Relays,2017-03-30,1500,M
77,"Franco, Talem",FR-1,BYU,3:44.44@(1),2017 BYU Robison Invitational,2017-04-27,1500,M
78,"Reinhart, Trevor",SO-2,Yale,3:44.52,West Point Twilight,2017-05-11,1500,M
78,"Parsons, George",SR-4,North Carolina St.,3:44.52,Raleigh Relays,2017-03-24,1500,M
80,"Scott, Parker",FR-1,Ole Miss,3:44.55,Bryan Clay Invite,2017-04-13,1500,M
81,"Joyce, Thomas",SR-4,California,3:44.56(1),Brutus Hamilton Challenge,2017-04-28,1500,M
82,"Davis, Jonathan",FR-1,Illinois,3:44.67,Illinois Twilight,2017-04-22,1500,M
83,"Stahl, Tyler",JR-3,North Florida,3:44.79,UF Tom Jones Memorial,2017-04-28,1500,M
84,"Reeder, Troy",JR-3,Furman,3:44.83,Raleigh Relays,2017-03-24,1500,M
84,"Muhammad, Kendall",SO-2,Kentucky,3:44.83,Florida Relays,2017-03-30,1500,M
86,"Crimmins, Brian",SR-4,Buffalo,3:44.94,Jim Thorpe,2017-05-05,1500,M
87,"Young, Benjamin",FR-1,Kentucky,3:44.97,Florida Relays,2017-03-30,1500,M
88,"Laari, Sampson",SR-4,Mid. Tenn. State,3:45.02@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1500,M
89,"Bartelsmeyer, Amos",JR-3,Georgetown,3:45.03,Virginia Challenge,2017-04-21,1500,M
90,"Kauppila, Noah",JR-3,Princeton,3:45.06,2017 Larry Ellis Invitational,2017-04-21,1500,M
91,"Dusing, Andrew",SR-4,Miami (Ohio),3:45.07,Virginia Challenge,2017-04-21,1500,M
92,"Wetzel, Logan",FR-1,Villanova,3:45.11,2017 Larry Ellis Invitational,2017-04-21,1500,M
93,"Morton, Kramer",FR-1,BYU,3:45.15@(1),2017 BYU Robison Invitational,2017-04-27,1500,M
93,"Hardt, Sherod",SR-4,Michigan State,3:45.15,Spartan Invitational,2017-03-31,1500,M
95,"Zarate, Diego",SO-2,Virginia Tech,3:45.26,ACC Outdoor Track & Field Championships,2017-05-12,1500,M
95,"Hardy, Joe",JR-3,Wisconsin,3:45.26,Wisconsin Alumni Classic,2017-05-05,1500,M
97,"Baxter, Matthew",SR-4,Northern Arizona,3:45.27,Bryan Clay Invite,2017-04-13,1500,M
98,"Dinger, Tai",SO-2,Stanford,3:45.35,Stanford Cardinal Classic,2017-04-21,1500,M
99,"Ciattei, Vincent",JR-3,Virginia Tech,3:45.38,Virginia Challenge,2017-04-21,1500,M
100,"Willig, Ned",SR-4,Michigan,3:45.44,2017 Jesse Owens University Classic,2017-04-21,1500,M
1,"Noelle, Chad",JR-3,Oklahoma State,3:38.35,Payton Jordan Invitational,2015-05-02,1500,M
2,"Creese, Robby",JR-3,Penn State,3:39.02,Payton Jordan Invitational,2015-05-02,1500,M
3,"Erassa, Kirubel",SR-4,Oklahoma State,3:39.05,Payton Jordan Invitational,2015-05-02,1500,M
4,"Joyce, Thomas",JR-3,California,3:39.43,Big Meet: Cal vs. Stanford,2015-04-11,1500,M
5,"Williamsz, Jordan",JR-3,Villanova,3:39.53,Larry Ellis (College),2015-04-17,1500,M
5,"Jenkins, Eric",SR-4,Oregon,3:39.53(1),Oregon Twilight,2015-05-08,1500,M
7,"Soratos, Cristian",SR-4,Montana State,3:39.65@,Weber State Open,2015-04-11,1500,M
8,"Knight, Justyn",FR-1,Syracuse,3:39.66,Virginia Challenge,2015-04-17,1500,M
9,"Winn, Daniel",SR-4,Oregon,3:39.76,Payton Jordan Invitational,2015-05-02,1500,M
10,"Geoghegan, Will",SR-4,Oregon,3:39.93(1),Oregon Twilight,2015-05-08,1500,M
