,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
56,"Makevic, Dusan",SR-4,UTSA,8:52.86,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,3000S,M
57,"Quattlebaum, James",SO-2,Clemson,8:53.02,ACC Championships,2016-05-13,3000S,M
58,"Delvo, Eric",SR-4,Bradley,8:53.64,2016 MVC Outdoor Track and Field Championships,2016-05-13,3000S,M
59,"Moore, Nate",JR-3,Texas,8:54.10,Payton Jordan Invitational,2016-05-01,3000S,M
60,"Sivill, Eric",SR-4,Alabama,8:54.53,SEC Championships,2016-05-12,3000S,M
61,"Tomlin, Duncan",SR-4,Yale,8:54.59,Virginia Challenge,2016-04-22,3000S,M
62,"Tuitoek, Evans",SR-4,Texas Tech,8:54.75,Mt. SAC Relays,2016-04-14,3000S,M
63,"Mutz, Mark",SR-4,Florida,8:54.88,SEC Championships,2016-05-12,3000S,M
64,"Carpenter, Scott",SO-2,Georgetown,8:54.94,Virginia Challenge,2016-04-22,3000S,M
64,"Chouati, Oussama",SO-2,Maryland-Eastern Shore,8:54.94,IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,3000S,M
66,"Annelli, Jonathan",SR-4,Fordham,8:55.30,IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,3000S,M
67,"Claxton, Eric",SO-2,Indiana,8:55.35,Penn Relays,2016-04-28,3000S,M
68,"Dunderdale, Haran",SO-2,Bradley,8:55.68,San Francisco State Distance Carnival,2016-04-01,3000S,M
69,"Coleman, Jamaine",SO-2,Eastern Kentucky,8:55.82,Stanford Invitational,2016-04-01,3000S,M
70,"Timm, Fynn",FR-1,North Florida,8:55.98,Florida Relays,2016-03-31,3000S,M
71,"Roth, Bailey",FR-1,Arizona,8:56.10,Stanford Invitational,2016-04-01,3000S,M
72,"Benoit, Max",SO-2,Michigan State,8:56.20,Virginia Challenge,2016-04-22,3000S,M
73,"Cummings, Tim",SR-4,Northern Arizona,8:56.22@,Big Sky Outdoor Track & Field Championships,2016-05-11,3000S,M
74,"Murphy, Robert",JR-3,IUPUI,8:56.24,Mt. SAC Relays,2016-04-14,3000S,M
75,"Matelong, Shadrack",SR-4,Mid. Tenn. State,8:56.25,Conference USA Championship,2016-05-12,3000S,M
76,"Visokay, Adam",JR-3,Virginia,8:56.39,ACC Championships,2016-05-13,3000S,M
77,"Zupan, Daniel",JR-3,Akron,8:56.41,Mid-American Conference Championship,2016-05-12,3000S,M
78,"Herr, Connor",SR-4,Cornell,8:56.47,Ivy League Outdoor Track & Field Championships,2016-05-07,3000S,M
79,"Firth, Will",SR-4,Rice,8:56.67,2016 Oxy Invitational (College/University),2016-05-07,3000S,M
80,"Driscoll, Ryan",JR-3,San Francisco,8:56.77,Mt. SAC Relays,2016-04-14,3000S,M
81,"Matko, Csaba",SO-2,Eastern Michigan,8:57.01,Mid-American Conference Championship,2016-05-12,3000S,M
82,"Linkletter, Rory",FR-1,BYU,8:57.02,Trojan Invitational,2016-03-18,3000S,M
83,"Spevacek, Steven",SR-4,Georgia,8:57.07,SEC Championships,2016-05-12,3000S,M
84,"Rohr, Patrick",SR-4,South Alabama,8:57.19,Mt. SAC Relays,2016-04-14,3000S,M
85,"Crofts, Tyler",SO-2,BYU,8:57.39@,2016 BYU Robison Invitational,2016-04-21,3000S,M
86,"Gilbert, Matt",JR-3,Nebraska,8:57.42,San Francisco State Distance Carnival,2016-04-01,3000S,M
87,"Dickson, Nolan",SR-4,UCLA,8:57.66,Mt. SAC Relays,2016-04-14,3000S,M
88,"Manley, Kellen",SO-2,Gonzaga,8:57.75,2016 West Coast Invitational,2016-05-12,3000S,M
89,"Collier, Chris",SR-4,Michigan State,8:57.97,Virginia Challenge,2016-04-22,3000S,M
90,"McInerney, Riley",SO-2,Eastern Illinois,8:58.00,Gibson Invitational,2016-04-09,3000S,M
91,"Jocis, Ugis",JR-3,Wichita State,8:58.10,2016 MVC Outdoor Track and Field Championships,2016-05-13,3000S,M
92,"Preisner, Benjamin",FR-1,Tulsa,8:58.21,The American Outdoor Track & Field Championships,2016-05-12,3000S,M
93,"Hrycay, Spencer",SO-2,Kentucky,8:58.34,Florida Relays,2016-03-31,3000S,M
94,"King, Xavier",SR-4,Iona,8:58.38,Metro Atlantic Outdoor Track & Field Championships,2016-05-07,3000S,M
95,"Bowman, Andrew",JR-3,Oakland,8:58.83,Hillsdale Last Chance Meet,2016-05-11,3000S,M
95,"Wilson, Ross",SO-2,Penn,8:58.83,IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,3000S,M
97,"Coughler, Jeremy",SO-2,Indiana,8:58.86,2016 Indiana - Purdue Duals,2016-04-23,3000S,M
98,"DiSilvio, Ean",SO-2,Penn State,8:58.88,Pepsi Invitational,2016-04-09,3000S,M
99,"Abfall, Caleb",JR-3,Wis.-Milwaukee,8:59.34,NCC Dr. Keeler Track & Field Meet - 2016,2016-05-12,3000S,M
100,"Jaskowak, Daniel",JR-3,Virginia Tech,8:59.40,ACC Championships,2016-05-13,3000S,M
1,"Uchikoshi, Yusuke",SR-4,Boise State,8:38.32,Stanford Invitational,2018-03-30,3000S,M
2,"Owens, Matt",FR-1,BYU,8:39.41,Stanford Invitational,2018-03-30,3000S,M
3,"Grannetia, Simon",JR-3,Portland,8:40.07,Payton Jordan Invitational,2018-05-03,3000S,M
4,"Rotich, Emmanuel",JR-3,Tulane,8:40.66,Payton Jordan Invitational,2018-05-03,3000S,M
5,"Carney, Daniel",JR-3,BYU,8:41.22,Payton Jordan Invitational,2018-05-03,3000S,M
6,"Shumway, Clayson",SO-2,BYU,8:41.49,Payton Jordan Invitational,2018-05-03,3000S,M
7,"Barraza, Brian",SR-4,Houston,8:41.58,Victor Lopez Classic,2018-03-22,3000S,M
8,"Coleman, Jamaine",SR-4,Eastern Kentucky,8:42.21,Stanford Invitational,2018-03-30,3000S,M
9,"Heslington, Jacob",SO-2,BYU,8:43.41,Stanford Invitational,2018-03-30,3000S,M
10,"Ali, Obsa",JR-3,Minnesota,8:44.77,Big Ten Championships,2018-05-11,3000S,M
11,"Tooker, Aidan",SO-2,Syracuse,8:45.79,Virginia Challenge,2018-04-20,3000S,M
12,"Affolder, Noah",FR-1,Syracuse,8:46.22,ACC Outdoor Championships,2018-05-10,3000S,M
13,"Rice, John",SO-2,Texas,8:46.52,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3000S,M
14,"Benoit, Max",SR-4,Michigan State,8:47.10,Big Ten Championships,2018-05-11,3000S,M
15,"Schutte, Noah",JR-3,Portland,8:47.53,Mt. SAC Relays,2018-04-19,3000S,M
16,"Hodgson, Dylan",JR-3,Kansas,8:47.81,Stanford Invitational,2018-03-30,3000S,M
17,"Gardner, Andrew",SR-4,Washington,8:48.52,Oregon Pepsi Invitational,2018-04-07,3000S,M
18,"Mylenek, Nathan",SO-2,Iowa,8:48.66,Stanford Invitational,2018-03-30,3000S,M
19,"Fahy, Steven",JR-3,Stanford,8:48.79,2018 Cardinal Classic,2018-04-20,3000S,M
20,"Fehlberg, Spencer",SR-4,Utah State,8:48.80,Mt. SAC Relays,2018-04-19,3000S,M
21,"Seyoum, Fitsum",SO-2,Virginia Tech,8:49.26,ACC Outdoor Championships,2018-05-10,3000S,M
22,"Coulter, Mihret",JR-3,Charlotte,8:49.79,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,3000S,M
23,"Dunderdale, Haran",JR-3,Bradley,8:50.90,Bryan Clay Invitational,2018-04-19,3000S,M
24,"Kirui, Wesley",FR-1,Hampton,8:51.00,Virginia Challenge,2018-04-20,3000S,M
25,"Manley, Kellen",JR-3,Gonzaga,8:51.26,Stanford Invitational,2018-03-30,3000S,M
26,"Reeder, Troy",SR-4,Furman,8:51.32,Payton Jordan Invitational,2018-05-03,3000S,M
27,"Berriatua, Joey",SR-4,Santa Clara,8:52.04,Payton Jordan Invitational,2018-05-03,3000S,M
28,"Roberts, Simeon",SR-4,East Tenn. St.,8:52.26,Virginia Challenge,2018-04-20,3000S,M
29,"Bowman, Andrew",SR-4,Oakland,8:52.64,Raleigh Relays,2018-03-30,3000S,M
30,"Osen, Riley",FR-1,Portland,8:52.70,Stanford Invitational,2018-03-30,3000S,M
30,"Ewing, Harry",FR-1,Wyoming,8:52.70,Mt. SAC Relays,2018-04-19,3000S,M
32,"Reddish, Porter",SO-2,BYU,8:53.00,Sacramento State Open,2018-05-05,3000S,M
