,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
95,"Sauer, Alek",JR-3,Columbia,1:49.77,2018 West Point Twilight,2018-05-10,800,M
97,"Manternach, Matt",SO-2,Iowa,1:49.80,Florida Relays,2018-03-29,800,M
98,"Purcell, Harry",JR-3,Villanova,1:49.81,Florida Relays,2018-03-29,800,M
99,"Espino, George",JR-3,Southern Utah,1:49.85,Bryan Clay Invitational,2018-04-19,800,M
100,"Torpy, Sean",SO-2,Miami (Ohio),1:49.87,2018 Billy Hayes Invitational,2018-05-04,800,M
1,"Kidder, Brannon",JR-3,Penn State,1:45.58,Payton Jordan Invitational,2015-05-02,800,M
2,"Walker, Shaquille",SO-2,BYU,1:45.78,36th Sun Angel Classic,2015-04-09,800,M
3,"McBride, Brandon",JR-3,Miss State,1:45.87,SEC Championships,2015-05-14,800,M
4,"Amankwah, Alex",SR-4,Alabama,1:45.91,Florida Relays,2015-04-02,800,M
5,"Engels, Craig",SO-2,Mississippi,1:46.13,LSU Invitational,2015-05-02,800,M
6,"Parker, Julian",SR-4,LSU,1:46.17,SEC Championships,2015-05-14,800,M
6,"Kemboi, Edward",SR-4,Iowa State,1:46.17,Payton Jordan Invitational,2015-05-02,800,M
8,"Jorgensen, Jesse",SR-4,Washington St.,1:46.49,Pac-12 Track & Field Championships,2015-05-15,800,M
8,"Arroyo, Andres",SO-2,Florida,1:46.49,SEC Championships,2015-05-14,800,M
10,"Lahbi, Jacopo",SO-2,Alabama,1:46.79,SEC Championships,2015-05-14,800,M
11,"Kibet, Collins",SO-2,Arizona,1:46.87,2015 Arizona State Pac-12 vs Big 10 Invitational,2015-03-27,800,M
12,"Schnulle, Ryan",JR-3,Florida,1:46.89,Florida Relays,2015-04-02,800,M
13,"Henderson, Blair",SO-2,LSU,1:47.03,LSU Invitational,2015-05-02,800,M
13,"Garn, Jesse",JR-3,Binghamton,1:47.03,Larry Ellis (College),2015-04-17,800,M
15,"Capwell, Dylan",SO-2,Monmouth,1:47.24,MAAC Outdoor Track & Field Championships,2015-05-02,800,M
16,"Neal, Keffri",SR-4,Kentucky,1:47.38,SEC Championships,2015-05-14,800,M
16,"Lasater, Brandon",SR-4,Georgia Tech,1:47.38,Florida Relays,2015-04-02,800,M
18,"Sherrer, Holland",JR-3,Mississippi,1:47.47,SEC Championships,2015-05-14,800,M
19,"Grethen, Charles",SR-4,Georgia,1:47.53,SEC Championships,2015-05-14,800,M
20,"Low, Chris",SR-4,Long Beach St.,1:47.56,Stanford Invitational,2015-04-03,800,M
21,"White, Joseph",FR-1,Georgetown,1:47.57,Florida Relays,2015-04-02,800,M
22,"Faure, Ricky",FR-1,Wyoming,1:47.59@,Cowpoke Open,2015-05-01,800,M
23,"Ledder, Billy",SR-4,Georgetown,1:47.62,Kehoe Twilight Meet,2015-05-01,800,M
24,"Piazza, Drew",SO-2,New Hampshire,1:47.66,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,M
25,"Hartle, Nick",JR-3,UCLA,1:47.68,UCLA vs. WSU vs. Long Beach,2015-03-24,800,M
