,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Brown, Felicia",SR-4,Tennessee,22.19,SEC Championships,2016-05-12,2.6,200,W
2,"Carter , Destiny",JR-3,Kentucky,22.41,SEC Championships,2016-05-12,2.6,200,W
3,"Henderson, Ashley",SO-2,San Diego St.,22.44,Mountain West Championships,2016-05-11,2.3,200,W
4,"Ellis-Watson, Taylor",SR-4,Arkansas,22.48,SEC Championships,2016-05-12,-1.3,200,W
5,"Cunliffe, Hannah",SO-2,Oregon,22.49,Pac-12 Outdoor Track & Field Championships,2016-05-14,-1.1,200,W
6,"Jefferson, Kyra",JR-3,Florida,22.56,SEC Championships,2016-05-12,1.6,200,W
6,"Wimbley, Shakima",JR-3,Miami,22.56,ACC Championships,2016-05-13,0.9,200,W
8,"Martin, Jada",JR-3,LSU,22.60,SEC Championships,2016-05-12,-1.3,200,W
9,"Stevens, Deajah",SO-2,Oregon,22.61,Mt. SAC Relays,2016-04-14,1.2,200,W
10,"Roberson, Daye Shon",JR-3,Oklahoma,22.65,Payton Jordan Invitational,2016-05-01,1.0,200,W
11,"Hill, Deanna",SO-2,USC,22.71,Pepsi Invitational,2016-04-09,0.9,200,W
11,"Bennett, Taylor",FR-1,Baylor,22.71,2016 Baylor Invitational,2016-04-09,-1.0,200,W
13,"Gaither, Tynia",SR-4,USC,22.74,UCLA vs. USC Dual Meet,2016-05-01,1.0,200,W
14,"Thomas, Gabrielle",FR-1,Harvard,22.75,Florida Relays,2016-03-31,0.6,200,W
14,"Johnson, Latessa",FR-1,SMU,22.75,Texas State Bobcat Invitational,2016-03-31,3.7,200,W
16,"Sanders, Shayla",JR-3,Florida,22.77,Power Conference Cardinal & Gold,2016-03-25,0.1,200,W
17,"Johnson, Kortnei",FR-1,LSU,22.78,SEC Championships,2016-05-12,1.9,200,W
18,"Akinosun, Morolake",SR-4,Texas,22.83,Power Conference Cardinal & Gold,2016-03-25,0.1,200,W
19,"Majors, Felecia",JR-3,Tennessee,22.85,SEC Championships,2016-05-12,1.9,200,W
20,"Gray, Kianna",FR-1,Kentucky,22.86,Florida Relays,2016-03-31,0.3,200,W
20,"Davis-White, Kali",JR-3,Tennessee,22.86,Seminole Invitational,2016-04-15,0.4,200,W
22,"Gause, Diamond",JR-3,Alabama,22.93,SEC Championships,2016-05-12,2.6,200,W
22,"Camacho-Quinn, Jasmine",FR-1,Kentucky,22.93,SEC Championships,2016-05-12,1.9,200,W
24,"Mitchell, A'Keyla",SO-2,Kansas State,22.94,LSU Battle on the Bayou,2016-04-09,0.9,200,W
25,"Guillory, Briana",FR-1,Iowa,22.95,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,0.7,200,W
26,"Washington, Ariana",FR-1,Oregon,22.97,Pac-12 Outdoor Track & Field Championships,2016-05-14,-1.1,200,W
27,"McMillan, Lilla",SR-4,Tulane,23.00,The American Outdoor Track & Field Championships,2016-05-12,-0.4,200,W
28,"Cavin, Aisha",SR-4,Ohio State,23.01,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,0.7,200,W
28,"Okolo, Courtney",SR-4,Texas,23.01,Big 12 Outdoor Track & Field Championships,2016-05-13,1.2,200,W
30,"Sparling, Krystal",FR-1,Texas A&M,23.02,SEC Championships,2016-05-12,1.5,200,W
30,"Horton, Kiana",FR-1,Baylor,23.02,Michael Johnson Classic,2016-04-23,-0.1,200,W
32,"Guster, Elexis",JR-3,Iowa,23.03,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,1.1,200,W
33,"Farquharson, Gabrielle",SR-4,Rutgers,23.07,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,0.7,200,W
34,"Parrish, Deja",SO-2,Clemson,23.08,ACC Championships,2016-05-13,0.9,200,W
35,"Woodall , Kenya",SR-4,Cincinnati,23.09,The American Outdoor Track & Field Championships,2016-05-12,-0.4,200,W
36,"Jackson, LaQuisha",JR-3,Missouri,23.10,Florida Relays,2016-03-31,1.4,200,W
37,"Kurtimah, Marissa",JR-3,Missouri State,23.12,Missouri State Invitational,2016-04-22,2.7,200,W
37,"Husbands, Shavonne",SR-4,Missouri State,23.12,Missouri State Invitational,2016-04-22,2.7,200,W
39,"Cox, Carmiesha",JR-3,Purdue,23.16,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,1.1,200,W
40,"Misher, Rachel",FR-1,LSU,23.17,LSU Battle on the Bayou,2016-04-09,0.9,200,W
40,"Little, Shamier",JR-3,Texas A&M,23.17,Michael Johnson Classic,2016-04-23,-0.1,200,W
40,"Kwaza, Lake",SR-4,Iowa,23.17,Jim Click Shootout,2016-04-09,0.0,200,W
43,"Brown, Aaliyah",JR-3,Texas A&M,23.18,UCLA vs. Texas A&M Dual Meet,2016-04-16,0.2,200,W
44,"Thompson, Brenessa",FR-1,Texas A&M,23.19,SEC Championships,2016-05-12,1.9,200,W
45,"Harvey, Rushell",JR-3,LSU,23.21,LSU Battle on the Bayou,2016-04-09,0.9,200,W
46,"Stiverne, Aiyanna",JR-3,Miami,23.22,ACC Championships,2016-05-13,0.9,200,W
47,"Stepter, Jaide",SR-4,USC,23.23,Trojan Invitational,2016-03-18,-1.2,200,W
48,"Annelus, Anglerne",FR-1,UCLA,23.24,UCLA vs. Texas A&M Dual Meet,2016-04-16,0.2,200,W
49,"Hitchcock, Precious",JR-3,Kentucky,23.26,Spec Towns Invitational 2016,2016-04-08,2.3,200,W
49,"Suleman, Khadijah",SR-4,Mississippi,23.26,SEC Championships,2016-05-12,2.6,200,W
49,"Brown, India",SO-2,N. Carolina A&T,23.26,Florida Relays,2016-03-31,0.6,200,W
