,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
57,"Okwaraji, Caleb",FR-1,Bethune-Cookman,51.55,Miami Hurricane Collegiate Invitational,2018-04-14,400H,M
57,"Cody, Jamal",JR-3,UMBC,51.55,America East Outdoor Track & Field Championships,2018-05-05,400H,M
59,"Davis, Stanley",SR-4,Hampton,51.56,MEAC Outdoor Track & Field Championships,2018-05-03,400H,M
60,"Pirog, Andrew",SO-2,UTSA,51.58,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,400H,M
61,"Leacock, Rivaldo",FR-1,South Carolina,51.60,Weems Baskin Relays,2018-03-23,400H,M
62,"Franklin, Adam",JR-3,Rhode Island,51.62,A-10 Championships,2018-05-05,400H,M
62,"Bonham, Chase",FR-1,N. Carolina A&T,51.62,Mount Olive Final Qualifier,2018-05-13,400H,M
64,"Thomas, Dewitt",SO-2,Texas A&M,51.63,Home Depot Clyde Littlefield Texas Relays,2018-03-28,400H,M
65,"Poe, Isaac",SR-4,Wichita State,51.64,The American Outdoor Track & Field Championships,2018-05-11,400H,M
66,"White, Chip",SR-4,Air Force,51.67,Mt. SAC Relays,2018-04-19,400H,M
67,"Olige, Isaiah",SR-4,Tennessee St.,51.68,Ohio Valley Conference Championship,2018-05-10,400H,M
68,"Walker, Noah",SO-2,USC Upstate,51.71,ASUN Outdoor Track & Field Championships,2018-05-11,400H,M
69,"Williams, Logan",SR-4,Prairie View,51.72,SWAC Outdoor Track and Field Championship,2018-05-04,400H,M
70,"Amarteifio, Roland",SO-2,Michigan,51.73,Big Ten Championships,2018-05-11,400H,M
70,"McDonald, Myles",SR-4,UC Santa Barbara,51.73,Bryan Clay Invitational,2018-04-19,400H,M
72,"Johnson, Cody",SO-2,Kansas,51.74,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,400H,M
73,"Visser, Henry",FR-1,Tulsa,51.77,2018 Drake Relays presented by Hy-Vee,2018-04-25,400H,M
74,"Moore, Martice",JR-3,Louisville,51.78,Home Depot Clyde Littlefield Texas Relays,2018-03-28,400H,M
75,"Okolo, Anthony",SO-2,Penn,51.79,Ivy League Outdoor Track & Field Championships,2018-05-05,400H,M
76,"Dow , Raymonte",FR-1,Iowa,51.84,2018 Willie Williams Classic - College/Open,2018-03-16,400H,M
77,"Kimmet, Jason",SR-4,Memphis,51.85,The American Outdoor Track & Field Championships,2018-05-11,400H,M
78,"Larrison, Noah",JR-3,Iowa,51.86,LSU Battle on the Bayou,2018-04-07,400H,M
79,"McCoy, Aaron",FR-1,Colorado,51.87,2018 Pac-12 Track & Field Championships,2018-05-12,400H,M
80,"Yardley, Colten",FR-1,BYU,51.88@,2018 BYU Cougar Invitational,2018-05-11,400H,M
81,"Chohan, Paramveer",SO-2,California,51.89,2018 Pac-12 Track & Field Championships,2018-05-12,400H,M
81,"Foster, Azariah",JR-3,Jackson State,51.89,Home Depot Clyde Littlefield Texas Relays,2018-03-28,400H,M
83,"Williams , Tre",SO-2,Alabama A&M,51.91,War Eagle Invitational 2018,2018-04-20,400H,M
84,"Clarke , Raymund",JR-3,Iowa,51.92,Big Ten Championships,2018-05-11,400H,M
85,"Grant, Christapherson",JR-3,Washington St.,51.94,2018 Pac-12 Track & Field Championships,2018-05-12,400H,M
86,"Smith, Shakeem",SO-2,UTEP,51.95,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,400H,M
87,"Easter, Anthony",FR-1,UC Davis,51.96,USC Trojan Invitational,2018-03-16,400H,M
88,"Session, William",SO-2,Indiana,51.97,Big Ten Championships,2018-05-11,400H,M
89,"Moore, Mitchell",SR-4,Buffalo,51.98,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,400H,M
90,"Green, Chris",SR-4,Texas State,51.99,Sun Belt Outdoor Track and Field Championships,2018-05-11,400H,M
91,"Dundun , Ryan",SO-2,Wisconsin,52.00,National Relay Championships,2018-04-27,400H,M
92,"Body, Julian",SO-2,Stanford,52.02,2018 Pac-12 Track & Field Championships,2018-05-12,400H,M
92,"Baker, Matthew",SO-2,Minnesota,52.02,39th Sun Angel Classic,2018-04-05,400H,M
94,"Seged, Maor",JR-3,Western Kentucky,52.06,Mt. SAC Relays,2018-04-19,400H,M
95,"Rolle, Branson",FR-1,Liberty,52.10,Big South Conference Outdoor Track and Field Championships,2018-05-09,400H,M
96,"Frye, Max",FR-1,Dartmouth,52.11,Ivy League Outdoor Track & Field Championships,2018-05-05,400H,M
97,"Schneider, Drake",FR-1,Montana State,52.13@,Tom Gage Classic,2018-05-04,400H,M
98,"Thiara, Bikram",FR-1,Cal Poly,52.14,2018 Big West Championships,2018-05-11,400H,M
98,"Eschholz, Alec",JR-3,Dartmouth,52.14,Ivy League Outdoor Track & Field Championships,2018-05-05,400H,M
100,"Adams, David",SO-2,Northeastern,52.19,UCONN Northeast Challenge,2018-04-14,400H,M
1,"Stigler, Michael",SR-4,Kansas,48.44,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,M
2,"Hearn, Scottie",JR-3,Miss State,49.39,SEC Championships,2015-05-14,400H,M
3,"Palmer, Desmond",SO-2,Pittsburgh,49.41,ACC Outdoor Track & Field Championships,2015-05-14,400H,M
4,"Futch, Eric",SO-2,Florida,49.45,UF Tom Jones Memorial,2015-04-24,400H,M
5,"Hayes, Keyunta",SR-4,UTSA,49.48,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,M
6,"Branch, Drew",SR-4,Georgia,49.53,SEC Championships,2015-05-14,400H,M
7,"Selmon, Kenny",FR-1,North Carolina,49.60,ACC Outdoor Track & Field Championships,2015-05-14,400H,M
8,"Downing, Quincy",SR-4,LSU,49.63,SEC Championships,2015-05-14,400H,M
9,"Andrade, Jordin",SR-4,Boise State,49.64,Border Clash 2015,2015-05-01,400H,M
10,"Lipsey, Javonte",JR-3,North Carolina,49.65,ACC Outdoor Track & Field Championships,2015-05-14,400H,M
11,"Kanervo, Jussi",SO-2,South Carolina,49.78,Bill Carson Invitational,2015-04-10,400H,M
12,"Viney, Cam",JR-3,Illinois,49.92,2015 Jim Click Shootout,2015-04-11,400H,M
13,"Alowonle, Rilwan",JR-3,North Carolina,50.02,ACC Outdoor Track & Field Championships,2015-05-14,400H,M
14,"Taylor, Josh",SR-4,Stephen F. Austin,50.03,Southland Conference Championship,2015-05-08,400H,M
15,"Davis, Javon",SR-4,Miss State,50.14,SEC Championships,2015-05-14,400H,M
16,"Coleman, Gregory",SR-4,Texas A&M,50.22,36th Sun Angel Classic,2015-04-09,400H,M
17,"Thiel, Ben",SO-2,Oregon,50.32,Pac-12 Track & Field Championships,2015-05-15,400H,M
18,"Kendziera, David",SO-2,Illinois,50.42,Big Ten Outdoor Track & Field Championships,2015-05-15,400H,M
18,"Blanks, Antonio",JR-3,Ohio State,50.42,Virginia Challenge,2015-04-17,400H,M
18,"Robinson, Byron",SO-2,Texas,50.42,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,M
21,"Shelvin, Jurmarcus",JR-3,UTSA,50.46,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,M
22,"Pugh, Dennis",JR-3,Florida A&M,50.63,MEAC Outdoor T&F Championships,2015-04-30,400H,M
23,"Petit-Homme, Mica-Jonathan",JR-3,LIU Brooklyn,50.69,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,M
24,"Smith, JW",SO-2,Texas Tech,50.73,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,M
25,"Koroknai, Mate",SO-2,Nebraska,50.80,Michael Johnson Classic,2015-04-18,400H,M
26,"Ikpefan, Obokhare",SO-2,Purdue,50.81,2015 Jim Click Shootout,2015-04-11,400H,M
27,"Allen, CJ",SO-2,Washington St.,50.83,Mt. SAC Relays,2015-04-16,400H,M
28,"Viverette, Matthew",SR-4,Sam Houston St.,50.88,Southland Conference Championship,2015-05-08,400H,M
29,"Carlson, Mark",JR-3,BYU,50.90@,2015 BYU Robison Invitational,2015-04-22,400H,M
30,"Duvall, Jonathan",SO-2,Wichita State,50.91,John Jacobs Invitational,2015-04-17,400H,M
