,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
38,"Zagre, Anne",JR-3,Florida State,11.44,FSU Twilight,2014-05-09,2.0,100,W
41,"Kalu, Stephanie",JR-3,SMU,11.45@,TTU Outdoor Open,2014-04-05,2.6,100,W
41,"Booker, Dominique",JR-3,Kentucky,11.45,Longhorn Invitational,2014-05-03,3.1,100,W
41,"Kimbers, Amanda",SR-4,Georgetown,11.45,BIG EAST Outdoor Track & Field Championships,2014-05-09,3.7,100,W
44,"Sant, Marybeth",FR-1,Oregon,11.46,Pac-12 Outdoor Track and Field Championships,2014-05-17,0.6,100,W
44,"Robinson, V'alonee",SR-4,Auburn,11.46,War Eagle 2014,2014-04-18,2.2,100,W
44,"Martin, Shekara",FR-1,Auburn,11.46,SEC Outdoor Championship,2014-05-15,3.3,100,W
44,"Minkins, Tania",SR-4,East Carolina,11.46,Conference USA Outdoor Track & Field Championships,2014-05-15,2.4,100,W
48,"Yarnell, Emily",SO-2,Tennessee,11.47,Tennessee Relays,2014-04-10,2.5,100,W
48,"Hawkins, Tyshonda",JR-3,East Carolina,11.47,Conference USA Outdoor Track & Field Championships,2014-05-15,2.0,100,W
48,"Collier, Ashley",SR-4,Texas A&M,11.47,2014 Clyde Littlefield Texas Relays,2014-03-26,2.7,100,W
48,"Evans, Gayon",SR-4,Maryland-Eastern Shore,11.47,MEAC Outdoor Track & Field Championships,2014-05-01,2.2,100,W
48,"Laarman, Loudia",SR-4,USC,11.47,Mt. SAC Relays,2014-04-17,0.9,100,W
48,"Ugen, Lorraine",SR-4,TCU,11.47@,Big 12 Outdoor Track and Field Championships,2014-05-16,3.8,100,W
54,"Udoh, Christy",SR-4,Texas,11.49,Longhorn Invitational,2014-05-03,4.0,100,W
55,"Johnson, Ahty",JR-3,South Carolina,11.50,Georgia Invitational,2014-05-10,1.0,100,W
56,"Barber, Jade",JR-3,Notre Dame,11.51,Border Battle,2014-04-12,3.1,100,W
57,"Burks, Quanesha",FR-1,Alabama,11.52,Alabama Relays,2014-03-20,1.7,100,W
57,"Blakney, Joann",JR-3,Charlotte,11.52,Conference USA Outdoor Track & Field Championships,2014-05-15,2.0,100,W
57,"Ferebee, Alexis",SO-2,Alabama State,11.52,2014 SWAC Outdoor Championship,2014-04-25,3.0,100,W
60,"Jackson, Janice",SR-4,UTEP,11.53,Conference USA Outdoor Track & Field Championships,2014-05-15,1.1,100,W
60,"Jones, Kehri",JR-3,Baylor,11.53,Longhorn Invitational,2014-05-03,2.8,100,W
60,"Scott, Anna",FR-1,Campbell,11.53,FSU Twilight,2014-05-09,2.0,100,W
63,"Jackson, Cam'ree",SO-2,Florida Int'l,11.54,Conference USA Outdoor Track & Field Championships,2014-05-15,2.4,100,W
63,"Ruth, Asha",SR-4,Rutgers,11.54,USF Bulls Invitational,2014-03-20,3.1,100,W
65,"Bellamy, J'Nea",FR-1,UCF,11.55,North Florida Invitational,2014-04-26,1.8,100,W
65,"McClure, Alyssa",JR-3,Miami,11.55,Miami Hurricane Invitational,2014-03-21,2.5,100,W
67,"Harrison, Shaina",SO-2,Syracuse,11.56,Florida Relays,2014-04-03,2.5,100,W
67,"Price, Kylie",JR-3,UCLA,11.56,Rafer / JJK Collegiate Invitational,2014-04-12,0.6,100,W
67,"Poston, Germe",SR-4,Arizona,11.56,2014 Double Dual Meet UA/ASU/NAU,2014-05-03,0.0,100,W
67,"Harvey, Rushell",FR-1,LSU,11.56,LSU Alumni Gold,2014-04-19,2.3,100,W
67,"Akachukwu, Sandra",FR-1,Western Kentucky,11.56,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.6,100,W
67,"Brown, Rashan",SO-2,Georgia,11.56,Georgia Invitational,2014-05-10,0.2,100,W
67,"Twiss, Erica",SR-4,Kansas State,11.56,2014 Jim Click Shootout,2014-04-12,3.7,100,W
74,"Veale, Marie",SO-2,Cal St. Northridge,11.57,Bulldog Invitational,2014-04-26,2.2,100,W
74,"Norman, Breana",SR-4,Hampton,11.57,MEAC Outdoor Track & Field Championships,2014-05-01,1.0,100,W
74,"Thomas, Kereston",SO-2,Wyoming,11.57@,Mountain West Outdoor Track & Field Championships,2014-05-14,0.7,100,W
77,"Johnson, Brittany",SR-4,St. Francis (Pa.),11.58,Northeast Conference Championship,2014-05-03,0.7,100,W
77,"Williams, Meritzer",SR-4,San Diego St.,11.58@,Mountain West Outdoor Track & Field Championships,2014-05-14,0.7,100,W
77,"Woodall , Kenya",SO-2,Cincinnati,11.58,Louisville Twilight Classic,2014-05-16,2.1,100,W
80,"Sylvester, Toshika",SR-4,LSU,11.59,SEC Outdoor Championship,2014-05-15,2.1,100,W
80,"Ofili, Cindy",SO-2,Michigan,11.59,adidas/Steve Scott Invit. (college),2014-05-02,-0.2,100,W
80,"Gilbert, Ravin",SO-2,Georgia State,11.59,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.5,100,W
80,"Pipkin, Tamyah",JR-3,Kentucky,11.59,Longhorn Invitational,2014-05-03,3.1,100,W
84,"Stinson, Asia",JR-3,Savannah State,11.60,MEAC Outdoor Track & Field Championships,2014-05-01,2.2,100,W
84,"Tucker, Erin",SR-4,East Carolina,11.60,Conference USA Outdoor Track & Field Championships,2014-05-15,2.6,100,W
84,"Jacobs, Myasia",SO-2,Georgia,11.60,Alabama Relays,2014-03-20,1.7,100,W
84,"Farquharson, Gabrielle",JR-3,Rutgers,11.60,USF Bulls Invitational,2014-03-20,3.1,100,W
84,"Jackson, Mercedes",JR-3,UMBC,11.60,America East Outdoor Track & Field Championships,2014-05-03,1.6,100,W
84,"Powell, Caprice",JR-3,Sacramento St.,11.60,Causeway Classic,2014-05-02,3.4,100,W
84,"Romero, Shapri",SR-4,Arizona,11.60,2014 Arizona State Invitational,2014-03-28,0.0,100,W
91,"Brown, Brittany",FR-1,Iowa,11.61,Big Ten Outdoor Track & Field Championships,2014-05-16,-0.4,100,W
91,"Owens, Antavia",JR-3,South Carolina St.,11.61,Florida Relays,2014-04-03,2.8,100,W
91,"Acheampong, Gemma",JR-3,Boston U.,11.61,Patriot League Outdoor Track & Field Championships,2014-05-02,2.0,100,W
91,"Price, Charnell",SR-4,California,11.61,Cal Opener,2014-03-08,1.4,100,W
91,"Pettigrew, Jeanette",SR-4,Bowling Green,11.61,"48th Annual Hillsdale College ""GINA"" Relays",2014-04-24,0.9,100,W
91,"Walker, Courtney",JR-3,Jacksonville,11.61,North Florida Invitational,2014-04-26,1.8,100,W
97,"Francis, Kim",SR-4,Louisiana Tech,11.62,Bobcat Classic,2014-04-25,3.2,100,W
98,"Barbian, Danielle",JR-3,Harvard,11.63,LSU Alumni Gold,2014-04-19,2.3,100,W
98,"Iheukwumere, Marvellous",SR-4,Columbia,11.63,Ivy League Outdoor Track & Field Championships,2014-05-10,0.4,100,W
98,"Carter, Bria",FR-1,Houston,11.63,2014 Clyde Littlefield Texas Relays,2014-03-26,0.6,100,W
