,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
23,"McMichael, Drew",JR-3,Texas Tech,5.38m,"17' 7.75""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,PV,M
23,"Bray, Brandon",SO-2,Texas Tech,5.38m,"17' 7.75""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,PV,M
25,"Courtois, Cole",FR-1,Louisiana Tech,5.37m,"17' 7.25""",2018 Conference USA Outdoor Track & Field Championships,2018-05-10,PV,M
26,"Bell, David",JR-3,South Florida,5.36m,"17' 7""",UF Tom Jones Memorial,2018-04-13,PV,M
27,"Meyer, Nick",SR-4,Kansas,5.35m,"17' 6.5""",National Relay Championships,2018-04-27,PV,M
27,"Marshall, Scott",SR-4,Grand Canyon,5.35m,"17' 6.5""",Adidas Steve Scott Invitational,2018-04-27,PV,M
27,"Toney, Marc",SR-4,UC Davis,5.35m,"17' 6.5""",Beach Invitational,2018-04-20,PV,M
27,"David, Jake",JR-3,South Dakota,5.35m,"17' 6.5""",Howard Wood Dakota Relays,2018-05-04,PV,M
27,"Riddle, Cole",FR-1,Arizona State,5.35m,"17' 6.5""",39th Sun Angel Classic,2018-04-05,PV,M
27,"Larson, Garrett",SR-4,Sam Houston St.,5.35m,"17' 6.5""",Beach Invitational,2018-04-20,PV,M
33,"Bares, Lee",SR-4,Army West Point,5.32m,"17' 5.5""",Patriot League Outdoor Track & Field Championships,2018-05-04,PV,M
34,"Waters, Carson",SR-4,Liberty,5.31m,"17' 5""",Mount Olive Final Qualifier,2018-05-13,PV,M
34,"Richards, Riley",FR-1,Baylor,5.31m,"17' 5""",Michael Johnson Invitational,2018-04-21,PV,M
34,"Cobb, Coty",JR-3,Ohio State,5.31m,"17' 5""",Big Ten Championships,2018-05-11,PV,M
37,"Loontjer, Tyler",JR-3,Nebraska,5.30m,"17' 4.5""",John McDonnell Invitational,2018-04-13,PV,M
37,"Slater, Tristan",SO-2,Tennessee,5.30m,"17' 4.5""",SEC Outdoor Track and Field Championships,2018-05-11,PV,M
37,"Fritsch, Clayton",FR-1,Sam Houston St.,5.30m,"17' 4.5""",Southland Conference Outdoor Track & Field Championships,2018-05-04,PV,M
