,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
77,"Menchaca, Zach",FR-1,Cornell,10.41,Ivy League Outdoor Track & Field Championships,2016-05-07,1.7,100,M
77,"Wilson, Malik",SO-2,Baylor,10.41,Big 12 Outdoor Track & Field Championships,2016-05-13,3.3,100,M
77,"Hudson, Andrew",FR-1,Texas Tech,10.41,Big 12 Outdoor Track & Field Championships,2016-05-13,3.3,100,M
77,"Girodat, Nicholas",JR-3,Oakland,10.41,Oakland University Invite,2016-04-16,2.0,100,M
84,"Harris III, Robert",JR-3,Albany,10.42,2016 America East Outdoor Track & Field Championships,2016-05-07,2.9,100,M
84,"Harrington, James",SR-4,Iowa,10.42,Texas Invitational,2016-04-16,1.0,100,M
84,"James, Jamol",SR-4,Arizona State,10.42,2016 Duel in the Desert,2016-04-30,-0.6,100,M
84,"Hines, Nyheim",FR-1,North Carolina St.,10.42,ACC Championships,2016-05-13,2.4,100,M
84,"Maat, Molefi",SO-2,Illinois,10.42,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,2.7,100,M
84,"Strickland, Cornelius",SR-4,Indiana,10.42,2016 Billy Hayes Invitational,2016-05-06,1.7,100,M
84,"Quinn, Devin",FR-1,Illinois,10.42,Stanford Invitational,2016-04-01,2.9,100,M
91,"Brissett, Christian",FR-1,Iowa,10.43,Baldy Castillo Invitational,2016-03-18,1.6,100,M
91,"chitambira, Tashinga",SR-4,Campbell,10.43,Big South Outdoor Track & Field Championships,2016-05-10,1.9,100,M
91,"Tchenawou, Kossi",SO-2,Northern Arizona,10.43@,Big Sky Outdoor Track & Field Championships,2016-05-11,1.6,100,M
91,"Addison, Jonathan",SR-4,North Carolina St.,10.43,ACC Championships,2016-05-13,2.4,100,M
91,"Sims, Ben",FR-1,Army West Point,10.43,Patriot League Outdoor Track & Field Championships,2016-05-06,2.0,100,M
96,"Gordon, Wayne",SR-4,Kent State,10.44,Akron NE Ohio Quad,2016-04-15,2.8,100,M
96,"Charles, Ja'Maun",FR-1,Washington St.,10.44,WSU-UW Dual Meet,2016-04-23,-0.6,100,M
98,"Smith, Brian",JR-3,Kent State,10.45,Akron NE Ohio Quad,2016-04-15,2.8,100,M
98,"Brewer-Johnson, Arlando",SO-2,Oklahoma State,10.45,Big 12 Outdoor Track & Field Championships,2016-05-13,3.3,100,M
98,"Dotson, Malcolm",FR-1,Purdue,10.45,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,0.9,100,M
