,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
60,"Sheppard, Nati",JR-3,Duke,4.05m,"13' 3.5""",Duke Invitational,2018-04-20,PV,W
60,"Smith, Britainy",SR-4,Alabama,4.05m,"13' 3.5""",UF Tom Jones Memorial,2018-04-13,PV,W
60,"Lofstead, Caleigh",SO-2,Vanderbilt,4.05m,"13' 3.5""",Tennessee Relays,2018-04-12,PV,W
60,"Gray, Meagan",JR-3,Oklahoma,4.05m,"13' 3.5""",John Jacobs Invitational,2018-04-20,PV,W
60,"Helminiak, Abby",FR-1,Akron,4.05m,"13' 3.5""",LSU Invitational,2018-04-28,PV,W
60,"Glynn, Jessica",SR-4,Liberty,4.05m,"13' 3.5""",FSU Relays,2018-03-23,PV,W
60,"Kemp, Landon",FR-1,South Dakota,4.05m,"13' 3.5""",Sioux City Relays,2018-04-12,PV,W
60,"Horrigan, Maria",SO-2,Kent State,4.05m,"13' 3.5""",2018 Drake Relays presented by Hy-Vee,2018-04-25,PV,W
60,"Schwartz, Alyson",FR-1,Grand Canyon,4.05m,"13' 3.5""",Western Athletic Conference Outdoor Track and Field Champion,2018-05-09,PV,W
60,"Leon, Gabriela",FR-1,Louisville,4.05m,"13' 3.5""",ACC Outdoor Championships,2018-05-10,PV,W
60,"Thompson, Alexandra",FR-1,Kent State,4.05m,"13' 3.5""",Tennessee Relays,2018-04-12,PV,W
60,"McAuley, Katy",JR-3,Ole Miss,4.05m,"13' 3.5""",SEC Outdoor Track and Field Championships,2018-05-11,PV,W
60,"ASHMORE, Bailey",SO-2,North Texas,4.05m,"13' 3.5""",Texas State Bobcat Classic,2018-04-27,PV,W
60,"Knight, Sommer",FR-1,East Carolina,4.05m,"13' 3.5""",Duke Invitational,2018-04-20,PV,W
60,"Ramos Mata, Elizabeth",FR-1,Arkansas,4.05m,"13' 3.5""",SEC Outdoor Track and Field Championships,2018-05-11,PV,W
60,"Clark, Erin",SR-4,Eastern Washington,4.05m,"13' 3.5""",Beach Pacific Coast Intercollegiate,2018-04-19,PV,W
76,"Holland, Madeline",FR-1,Nebraska,4.03m,"13' 2.5""",2018 Nebraska Invitational,2018-05-05,PV,W
76,"Mayr, Dakota",JR-3,Stephen F. Austin,4.03m,"13' 2.5""",Michael Johnson Invitational,2018-04-21,PV,W
78,"Bailey, Ashley",JR-3,Delaware,4.02m,"13' 2.25""",Towson Invitational,2018-04-14,PV,W
78,"Franzen, Tori",SR-4,Washington,4.02m,"13' 2.25""",2018 Pac-12 Track & Field Championships,2018-05-12,PV,W
78,"Hartsell, Morgan",JR-3,Arkansas,4.02m,"13' 2.25""",National Relay Championships,2018-04-27,PV,W
78,"Sheets, Tessa",FR-1,Purdue,4.02m,"13' 2.25""",Big Ten Championships,2018-05-11,PV,W
78,"Mather, Rachel",SR-4,Indiana,4.02m,"13' 2.25""",Big Ten Championships,2018-05-11,PV,W
78,"Finfrock, Sara",SR-4,West Virginia,4.02m,"13' 2.25""",Bison Outdoor Classic,2018-04-14,PV,W
78,"Spencer, Calie",JR-3,Texas,4.02m,"13' 2.25""",National Relay Championships,2018-04-27,PV,W
85,"Elliott, Nathalie",FR-1,High Point,4.01m,"13' 1.75""",Phoenix Invitational 2018,2018-04-14,PV,W
85,"Berry, Marissa",JR-3,San Diego St.,4.01m,"13' 1.75""",Mountain West Outdoor Track & Field Championships,2018-05-09,PV,W
85,"Macco, Nicole",JR-3,Penn,4.01m,"13' 1.75""",Ivy League Outdoor Track & Field Championships,2018-05-05,PV,W
85,"Freix, Katie",JR-3,Virginia,4.01m,"13' 1.75""",Virginia Challenge,2018-04-20,PV,W
85,"Lassalle, Margaret",JR-3,Sam Houston St.,4.01m,"13' 1.75""",Bryan Clay Invitational,2018-04-19,PV,W
90,"Johnson, Jennifer",SR-4,Grand Canyon,4.00m,"13' 1.5""",Western Athletic Conference Outdoor Track and Field Champion,2018-05-09,PV,W
90,"Ollinger, Margaret",SO-2,Vanderbilt,4.00m,"13' 1.5""",Tennessee Relays,2018-04-12,PV,W
90,"Valenti, Julia",SO-2,Dartmouth,4.00m,"13' 1.5""",NEICAAA Outdoor Track & Field Championships,2018-05-11,PV,W
90,"Thomason, Augusta",SR-4,Texas A&M,4.00m,"13' 1.5""",Tom Tellez Invitational,2018-05-04,PV,W
90,"Beyar, Samantha",SO-2,Binghamton,4.00m,"13' 1.5""",Big Red Outdoor Invitational 2018,2018-04-29,PV,W
90,"Wagner, Greta",JR-3,UCLA,4.00m,"13' 1.5""",John Jacobs Invitational,2018-04-20,PV,W
90,"Breske, Nicole",SO-2,Florida State,4.00m,"13' 1.5""",Tiger Track Classic 2018,2018-04-13,PV,W
97,"Jefcoat, Hannah",FR-1,Tennessee,3.98m,"13' 0.75""",Tennessee Challenge,2018-05-05,PV,W
97,"Centanaro, Gardenia",SR-4,Cal St. Northridge,3.98m,"13' 0.75""",2018 Desert Heat Classic,2018-04-28,PV,W
99,"Brandon, Danielle",SR-4,Sacramento St.,3.97m,"13' 0.25""",Big Sky Outdoor Track & Field Championships,2018-05-08,PV,W
99,"Self, Jerni",JR-3,Air Force,3.97m,"13' 0.25""",Air Force Twilight Open,2018-05-04,PV,W
