,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Brown, Stephanie",SR-4,Arkansas,4:11.40,Mt. SAC Relays,2014-04-17,1500,W
2,"McGee, Cory",SR-4,Florida,4:12.50,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
3,"Strausa, Agata",SR-4,Florida,4:12.54,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
4,"Houlihan, Shelby",JR-3,Arizona State,4:13.56,35th Sun Angel Track Classic,2014-04-11,1500,W
5,"Scott, Dominique",SO-2,Arkansas,4:14.33,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
6,"Hall, Marielle",SR-4,Texas,4:14.88(1),Penn Relays,2014-04-24,1500,W
7,"O'Connor, Leah",JR-3,Michigan State,4:15.13,Big Ten Outdoor Track & Field Championships,2014-05-16,1500,W
8,"Peare, Allison",SR-4,Kentucky,4:15.14,SEC Outdoor Championship,2014-05-15,1500,W
9,"Klebe, Marta",SR-4,Penn State,4:15.20,Big Ten Outdoor Track & Field Championships,2014-05-16,1500,W
10,"Hanson, Molly",SO-2,Wisconsin,4:15.55,Big Ten Outdoor Track & Field Championships,2014-05-16,1500,W
11,"Hamilton, Carly",JR-3,Georgia,4:15.62,Mt. SAC Relays,2014-04-17,1500,W
12,"Handler, Brook",JR-3,Michigan,4:15.82,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
13,"Kirk, Elinor",SR-4,UAB,4:15.93,Conference USA Outdoor Track & Field Championships,2014-05-15,1500,W
14,"Quigley, Colleen",JR-3,Florida State,4:16.04,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
15,"Price, Rhianwedd",FR-1,Miss State,4:16.11,Mt. SAC Relays,2014-04-17,1500,W
16,"Hall, Linden",JR-3,Florida State,4:16.42,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
17,"Legg, Kirsty",SR-4,Butler,4:16.72,BIG EAST Outdoor Track & Field Championships,2014-05-09,1500,W
18,"Schneider, Rachel",SR-4,Georgetown,4:17.04,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
19,"Osika, Shannon",SO-2,Michigan,4:17.27,Big Ten Outdoor Track & Field Championships,2014-05-16,1500,W
20,"Greene, Rebekah",FR-1,Florida,4:17.36,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
21,"Piccirillo, Angel",SO-2,Villanova,4:17.63,BIG EAST Outdoor Track & Field Championships,2014-05-09,1500,W
21,"Keklak, Andrea",JR-3,Georgetown,4:17.63,BIG EAST Outdoor Track & Field Championships,2014-05-09,1500,W
23,"Mehra, Rebecca",FR-1,Stanford,4:17.82,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
24,"Penney, Sarah",SR-4,Oregon,4:17.85,Payton Jordan Cardinal Invitational,2014-05-04,1500,W
25,"Whelan, Elizabeth",SO-2,North Carolina,4:18.00,Stanford Invitational,2014-04-04,1500,W
26,"Leblanc, Annie",SO-2,Oregon,4:18.05,Oregon Twilight,2014-05-09,1500,W
27,"Cuffe, Aisling",JR-3,Stanford,4:18.29,Pac-12 Outdoor Track and Field Championships,2014-05-17,1500,W
