,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Zienasellassie, Futsum",SR-4,Northern Arizona,27:52.70,Payton Jordan Invitational,2016-05-01,10000,M
2,"Ronoh, Andrew",SO-2,Arkansas,28:36.20,Payton Jordan Invitational,2016-05-01,10000,M
3,"Peterson, Erik",JR-3,Butler,28:44.18,Payton Jordan Invitational,2016-05-01,10000,M
4,"Thompson, Shaun",SR-4,Duke,28:47.48,Mt. SAC Relays,2016-04-14,10000,M
5,"Murphy, Pierce",SR-4,Colorado,28:48.79,Payton Jordan Invitational,2016-05-01,10000,M
6,"Bennie, Colin",SO-2,Syracuse,28:52.72,Payton Jordan Invitational,2016-05-01,10000,M
7,"Nelson, Aaron",SR-4,Washington,28:53.70,Stanford Invitational,2016-04-01,10000,M
8,"Terer, Amon",SR-4,Campbell,28:54.42,Mt. SAC Relays,2016-04-14,10000,M
9,"Reichow, Joel",JR-3,South Dakota St.,28:55.84,Stanford Invitational,2016-04-01,10000,M
10,"Goehler, Timo",SR-4,Portland,28:57.27,Stanford Invitational,2016-04-01,10000,M
11,"Landes, Evan",SR-4,Kansas,28:58.43,Stanford Invitational,2016-04-01,10000,M
12,"Cheserek, Edward",JR-3,Oregon,28:58.57,Pac-12 Outdoor Track & Field Championships,2016-05-14,10000,M
13,"Thomson, Jacob",SO-2,Kentucky,29:01.34,Raleigh Relays,2016-03-25,10000,M
14,"Gonzalez, Gabe",SR-4,Arkansas,29:01.62,Stanford Invitational,2016-04-01,10000,M
15,"Stewart, Joseph",SR-4,Miami (Ohio),29:03.79,Stanford Invitational,2016-04-01,10000,M
16,"Barraza, Brian",JR-3,Houston,29:04.11,Stanford Invitational,2016-04-01,10000,M
17,"Germano, Philo",SO-2,Syracuse,29:04.60,Stanford Invitational,2016-04-01,10000,M
18,"Fink, Willy",JR-3,Eastern Michigan,29:04.92,Raleigh Relays,2016-03-25,10000,M
19,"Melancon, Matthew",SR-4,Oregon,29:05.34,Stanford Invitational,2016-04-01,10000,M
20,"Dillard, Alex",JR-3,Portland,29:05.98,Stanford Invitational,2016-04-01,10000,M
21,"Day, Tyler",FR-1,Northern Arizona,29:06.85,Stanford Invitational,2016-04-01,10000,M
22,"Schubert, Dan",SR-4,Oklahoma,29:06.90,Stanford Invitational,2016-04-01,10000,M
23,"Werley, Lane",SR-4,UCLA,29:07.23,Pac-12 Outdoor Track & Field Championships,2016-05-14,10000,M
24,"King, Tyler",SR-4,Washington,29:09.15,Pac-12 Outdoor Track & Field Championships,2016-05-14,10000,M
25,"Williams, Michael",SO-2,Washington St.,29:09.28,Stanford Invitational,2016-04-01,10000,M
26,"Fischer, Reed",SO-2,Drake,29:09.86,Mt. SAC Relays,2016-04-14,10000,M
27,"Traynor, Luke",JR-3,Tulsa,29:10.19,Stanford Invitational,2016-04-01,10000,M
28,"Barnett, Ian",SR-4,Illinois,29:10.83,Stanford Invitational,2016-04-01,10000,M
29,"Rackers, Tim",SR-4,Tulsa,29:10.99,Stanford Invitational,2016-04-01,10000,M
30,"Kipkoech, Lawrence",SO-2,Campbell,29:11.00,Raleigh Relays,2016-03-25,10000,M
31,"Parsons, George",JR-3,North Carolina St.,29:11.87,Raleigh Relays,2016-03-25,10000,M
32,"Glines, Cory",SO-2,Northern Arizona,29:11.99,Stanford Invitational,2016-04-01,10000,M
33,"Gallagher, Wes",JR-3,Mississippi,29:13.67,Stanford Invitational,2016-04-01,10000,M
34,"Flanagan, Ben",SO-2,Michigan,29:13.72,Mt. SAC Relays,2016-04-14,10000,M
35,"Keelan, Jack",SO-2,Stanford,29:13.92,Pac-12 Outdoor Track & Field Championships,2016-05-14,10000,M
36,"Taylor, David",JR-3,Cornell,29:14.07,Bison Outdoor Classic,2016-04-16,10000,M
37,"Leach, Matt",SR-4,San Francisco,29:14.36,Stanford Invitational,2016-04-01,10000,M
38,"Halsted, Trevor",SR-4,UC Davis,29:14.73,Stanford Invitational,2016-04-01,10000,M
39,"McMillan, Connor",SO-2,BYU,29:15.02,Stanford Invitational,2016-04-01,10000,M
40,"Sweatt, Garrett",JR-3,Stanford,29:15.67,Pac-12 Outdoor Track & Field Championships,2016-05-14,10000,M
41,"Rutherford, Ryan",SR-4,Illinois State,29:15.86,Stanford Invitational,2016-04-01,10000,M
42,"Whelan, John",JR-3,Washington St.,29:15.94,Stanford Invitational,2016-04-01,10000,M
43,"Lennon, Dan",SR-4,Syracuse,29:16.13,Stanford Invitational,2016-04-01,10000,M
44,"Vargas, Luis",SR-4,North Carolina St.,29:16.20,Charlotte Invitational,2016-04-15,10000,M
45,"Armstrong, Hugh",JR-3,Providence,29:16.73,Stanford Invitational,2016-04-01,10000,M
46,"Buchanan, Reid",SR-4,Portland,29:18.74,2016 West Coast Invitational,2016-05-12,10000,M
47,"McClintock, Matt",SR-4,Purdue,29:18.79,Mt. SAC Relays,2016-04-14,10000,M
48,"Baxter, Matthew",JR-3,Northern Arizona,29:19.45,Mt. SAC Relays,2016-04-14,10000,M
49,"Short, Alex",JR-3,San Francisco,29:19.55,Stanford Invitational,2016-04-01,10000,M
50,"Kosgei, Antibahs",JR-3,Alabama,29:19.63,Stanford Invitational,2016-04-01,10000,M
51,"Visokay, Adam",JR-3,Virginia,29:19.84,Virginia Challenge,2016-04-22,10000,M
52,"Ruiz, Clark",JR-3,Michigan State,29:20.21,Raleigh Relays,2016-03-25,10000,M
53,"Dressel, John",FR-1,Colorado,29:20.97,Pac-12 Outdoor Track & Field Championships,2016-05-14,10000,M
54,"Hanson, Spencer",SO-2,BYU,29:22.04,Stanford Invitational,2016-04-01,10000,M
55,"Hillery, Liam",SR-4,Providence,29:22.38,Penn Relays,2016-04-28,10000,M
56,"Chemoiywo, Calvin",JR-3,Louisville,29:22.91,Raleigh Relays,2016-03-25,10000,M
57,"Mathenge, Charles",SR-4,Stephen F. Austin,29:23.59,Stanford Invitational,2016-04-01,10000,M
58,"Mulherin, Stephen",SR-4,North Carolina,29:23.75,Raleigh Relays,2016-03-25,10000,M
59,"Lusignan, Trent",SR-4,South Dakota St.,29:24.33,Stanford Invitational,2016-04-01,10000,M
60,"Demarest, Brent",SO-2,Virginia,29:24.80,Virginia Challenge,2016-04-22,10000,M
61,"Boit, Gilbert",FR-1,Tennessee Tech,29:25.41,Raleigh Relays,2016-03-25,10000,M
62,"Harper, Jonathan",JR-3,BYU,29:26.52,Stanford Invitational,2016-04-01,10000,M
63,"Martinez, Danny",JR-3,Portland,29:27.29,2016 West Coast Invitational,2016-05-12,10000,M
64,"Rhynard, Caleb",SR-4,Michigan State,29:27.55,Raleigh Relays,2016-03-25,10000,M
