,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
75,"Cash, Alli",SO-2,Oregon,10:25.94,Pac-12 Track & Field Championships,2015-05-15,3000S,W
76,"Zieve, Sarah",FR-1,Michigan,10:26.28,Cal-Michigan-Virginia Tri Meet,2015-04-04,3000S,W
77,"Leiher, Sydney",SO-2,Syracuse,10:27.10,Payton Jordan Invitational,2015-05-02,3000S,W
78,"Eberhardt, Elizabeth",SR-4,Central Connecticut,10:27.55,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,3000S,W
79,"Skatteboe, Karoline",JR-3,SMU,10:27.64,Mt. SAC Relays,2015-04-16,3000S,W
80,"Callahan, Molly",JR-3,Arizona,10:27.83,Pac-12 Track & Field Championships,2015-05-15,3000S,W
81,"Constien, Val",FR-1,Colorado,10:28.08,Pac-12 Track & Field Championships,2015-05-15,3000S,W
82,"Darlington, Amy",JR-3,Penn,10:28.16,Ivy League Outdoor Track & Field Championships,2015-05-09,3000S,W
83,"Wedekind, Morgan",SO-2,Kansas State,10:28.61,Brutus Hamilton Challenge,2015-04-25,3000S,W
84,"Mahoney, Katie",JR-3,Eastern Washington,10:28.68,Stanford Invitational,2015-04-03,3000S,W
85,"Borchers, Claire",FR-1,Michigan,10:29.06,Payton Jordan Invitational,2015-05-02,3000S,W
86,"Fulton, Eleanor",SR-4,Washington,10:29.30,Pac-12 Track & Field Championships,2015-05-15,3000S,W
87,"Christen, Hannah",FR-1,North Carolina,10:29.48,Duke Twilight,2015-05-06,3000S,W
88,"Kelto, Abbey",SR-4,Central Michigan,10:29.67,Ohio State - Jesse Owens Classic,2015-05-01,3000S,W
88,"Stover, Rebecca",SO-2,Alabama,10:29.67,Florida Relays,2015-04-02,3000S,W
90,"Austin, Taylor",FR-1,Indiana State,10:29.80,2015 Drake Relays presented by Hy-Vee,2015-04-22,3000S,W
91,"Zimmerman, Amber",SR-4,New Mexico,10:30.11,Mountain West Outdoor Track & Field Championships,2015-05-13,3000S,W
92,"Hirsch, Sidney",SO-2,Wichita State,10:30.27,2015 MVC Outdoor Track and Field Championships,2015-05-15,3000S,W
93,"Mikkalson, Taylor",SO-2,Minnesota,10:30.64,UW - La Crosse Eagle Open,2015-05-08,3000S,W
94,"Wood, Courtney",SR-4,Missouri,10:30.81,2015 Drake Relays presented by Hy-Vee,2015-04-22,3000S,W
95,"Petrey, Britten",JR-3,Illinois,10:30.84,Big Ten Outdoor Track & Field Championships,2015-05-15,3000S,W
96,"Roberts, Nicole",SR-4,New Mexico,10:31.09,Payton Jordan Invitational,2015-05-02,3000S,W
97,"Parkinson, Tori",SO-2,Utah State,10:31.15,Stanford Invitational,2015-04-03,3000S,W
98,"Holland, Sanne",FR-1,Colorado St.,10:31.22,Mountain West Outdoor Track & Field Championships,2015-05-13,3000S,W
99,"Ramsey, Erika",JR-3,Georgia,10:31.40,Florida Relays,2015-04-02,3000S,W
100,"McCaslin, Caroline",SO-2,Kentucky,10:31.63,UF Tom Jones Memorial,2015-04-24,3000S,W
1,"Ostrander, Allie",JR-3,Boise State,9:45.66,Payton Jordan Invitational,2019-05-02,3000S,W
2,"Cohen, Adva",SO-2,New Mexico,9:45.71,Payton Jordan Invitational,2019-05-02,3000S,W
3,"Prouse, Charlotte",JR-3,New Mexico,9:47.43,Mountain West Outdoor Track & Field Championship,2019-05-08,3000S,W
4,"Ilarda, Brianna",SR-4,Providence,9:50.42,Stanford Invitational,2019-03-29,3000S,W
5,"Stoner, Paige",SR-4,Syracuse,9:51.24,ACC Championships,2019-05-09,3000S,W
6,"Steelman , Hannah",SO-2,Wofford,9:52.71,UNF Invitational,2019-04-05,3000S,W
7,"King, Rachel",SR-4,South Dakota St.,9:54.44,Stanford Invitational,2019-03-29,3000S,W
8,"Birk, Erica",JR-3,BYU,9:55.57,Bryan Clay Invitational,2019-04-17,3000S,W
9,"Clark, Devin",JR-3,Arkansas,9:55.86,SEC Outdoor Track & Field Championships,2019-05-09,3000S,W
10,"Simmons, Cierra",SR-4,Utah State,9:56.58,Mountain West Outdoor Track & Field Championship,2019-05-08,3000S,W
11,"Jennings, Gabrielle",JR-3,Furman,9:57.41,Cardinal Classic,2019-04-19,3000S,W
12,"Gear, Kristlin",SO-2,Furman,9:57.85,Cardinal Classic,2019-04-19,3000S,W
13,"Kimeli, Joyce",SO-2,Auburn,10:00.94,SEC Outdoor Track & Field Championships,2019-05-09,3000S,W
14,"Constien, Val",SR-4,Colorado,10:01.19,2019 Pac-12 Track & Field Championships,2019-05-04,3000S,W
15,"Crosby, Nell",SR-4,North Carolina St.,10:04.39,125th Penn Relays,2019-04-25,3000S,W
16,"Hill, Alice",SO-2,Michigan,10:04.58,Cardinal Classic,2019-04-19,3000S,W
17,"Brumley, Briar",SR-4,Cornell,10:04.64,IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,3000S,W
18,"Sickler, Lindsey",SR-4,Nevada,10:04.66,Mountain West Outdoor Track & Field Championship,2019-05-08,3000S,W
19,"Hamlin, Emily",SR-4,Washington,10:05.79,Payton Jordan Invitational,2019-05-02,3000S,W
20,"Niggemann, Alissa",SO-2,Wisconsin,10:05.96,Stanford Invitational,2019-03-29,3000S,W
