,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
91,"Meyer, Michaela",JR-3,Delaware,2:07.02,Raleigh Relays,2019-03-29,800,W
92,"Bustamante, Reagan",JR-3,Vanderbilt,2:07.06,Raleigh Relays,2019-03-29,800,W
93,"Arteaga, Carlyn",JR-3,Michigan State,2:07.07,Big Ten Championships,2019-05-10,800,W
94,"King, Mallory",JR-3,Iowa,2:07.08,Florida Relays,2019-03-28,800,W
95,"Barnes, Kristoni",JR-3,N. Carolina A&T,2:07.18,MEAC Outdoor Track & Field Championships,2019-05-02,800,W
95,"Tanaka , Melissa",SO-2,Penn,2:07.18,Ivy League Outdoor Track & Field Championships,2019-05-04,800,W
97,"Friborg, Samantha",FR-1,Yale,2:07.23,IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,800,W
98,"Carruth, Maggie",SR-4,Northern Arizona,2:07.34,40th Sun Angel Track Classic,2019-04-05,800,W
99,"Mulzer, Mallory",SO-2,Indiana,2:07.38,2019 Billy Hayes Invitational,2019-05-03,800,W
100,"Sargent, Cammy",SR-4,Northern Colorado,2:07.42,adidas/Steve Scott Invitational,2019-04-26,800,W
1,"Rogers, Raevyn",JR-3,Oregon,1:59.10,Mt. SAC Relays,2017-04-13,800,W
2,"Green, Hanna",SR-4,Virginia Tech,2:01.28,ACC Outdoor Track & Field Championships,2017-05-12,800,W
3,"Fray, Jazmine",SO-2,Texas A&M,2:01.43,Jim Bush Collegiate Invitational,2017-04-15,800,W
4,"Collinsworth, Shea",SR-4,BYU,2:01.51,38th Sun Angel Classic,2017-04-06,800,W
5,"Rivers, Danae",FR-1,Penn State,2:02.53,Virginia Challenge,2017-04-21,800,W
6,"Pocratsky, Rachel",SO-2,Virginia Tech,2:02.67,ACC Outdoor Track & Field Championships,2017-05-12,800,W
7,"Abu, Agnes",SR-4,Mid. Tenn. State,2:02.70,Mt. SAC Relays,2017-04-13,800,W
8,"Cleirigh Buttner, Siofra",JR-3,Villanova,2:03.07,Florida Relays,2017-03-30,800,W
9,"Harris, Jessica",SO-2,Notre Dame,2:03.23,Virginia Challenge,2017-04-21,800,W
10,"Baker, Olivia",JR-3,Stanford,2:03.45,Stanford Cardinal Classic,2017-04-21,800,W
11,"Henderson, Sadi",SO-2,Boise State,2:03.56@,Mountain West Outdoor Track & Field Championships,2017-05-10,800,W
12,"Kopp, Madeline",SR-4,Duke,2:03.69,ACC Outdoor Track & Field Championships,2017-05-12,800,W
13,"Stauber, Ruby",FR-1,LSU,2:03.77,Mt. SAC Relays,2017-04-13,800,W
14,"Weber, Rachel",SR-4,Ohio State,2:03.90,Big Ten Outdoor Championships,2017-05-12,800,W
15,"Egbeniyi, Abike",JR-3,Mid. Tenn. State,2:03.96,Mt. SAC Relays,2017-04-13,800,W
