,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
54,"Cox, Melia",JR-3,USC,13.46,Mt. SAC Relays,2014-04-17,2.7,100H,M
57,"Barber, Kaila",JR-3,Notre Dame,13.47,Border Battle,2014-04-12,3.0,100H,M
58,"Stewart, Carmelia",JR-3,Indiana State,13.48,2014 MVC Outdoor Track & Field Championships,2014-05-16,1.8,100H,M
59,"Reaser, Allison",SR-4,San Diego St.,13.49@,Mountain West Outdoor Track & Field Championships,2014-05-14,2.2,100H,M
59,"Jean, Mulern",JR-3,Charleston Southern,13.49,FSU Twilight,2014-05-09,2.7,100H,M
59,"Stephen, Chelsea",SR-4,Texas State,13.49,Texas Invitational,2014-04-12,3.9,100H,M
59,"Caston, LaDonna",SO-2,SIU-Edwardsville,13.49,2014 SIUE Gateway Invite,2014-04-19,-0.8,100H,M
63,"John, Deborah",SR-4,North Dakota St.,13.50,Beach Invitational,2014-04-19,0.7,100H,M
63,"Hall, Lindsey",SR-4,Montana,13.50@,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,3.1,100H,M
63,"Larch-Miller, Nikki",SO-2,Wichita State,13.50,2014 MVC Outdoor Track & Field Championships,2014-05-16,1.8,100H,M
66,"Littleton, Danielle",JR-3,UC Riverside,13.51,Big West Outdoor Track and Field Championship,2014-05-16,0.9,100H,M
66,"Hartfield, Taryn",JR-3,Mississippi,13.51,Beach Invitational,2014-04-19,0.7,100H,M
66,"Broadnax, Tershauna",JR-3,Southern,13.51,LSU Alumni Gold,2014-04-19,1.4,100H,M
66,"Paramore, Jalisa",SR-4,Eastern Illinois,13.51,2014 OVC Outdoor T&F Championships,2014-05-02,3.1,100H,M
70,"McNeil, Ste'yce",SO-2,Miss State,13.53,Alabama vs. Mississippi Border Clash,2014-04-11,1.6,100H,M
71,"Franklin, Autumne",SO-2,Harvard,13.56,2014 TSU Relays (Open/Individual),2014-03-21,2.8,100H,M
71,"Morris, Erin",SR-4,UNLV,13.56@,Mountain West Outdoor Track & Field Championships,2014-05-14,1.7,100H,M
71,"Griffin, Sydney",SO-2,Elon,13.56,Wolfpack Last Chance,2014-05-16,3.2,100H,M
74,"Hawkins, Chari",JR-3,Utah State,13.57@,Mountain West Outdoor Track & Field Championships,2014-05-14,1.4,100H,M
75,"Logan, Shaquana",SR-4,Washington St.,13.58,Pac-12 Outdoor Track and Field Championships,2014-05-17,0.4,100H,M
75,"Mann, Jenna",SR-4,Wyoming,13.58@,Tom Benich Invitational,2014-04-04,2.5,100H,M
75,"Ballard, Anthonia",SR-4,N.C. Central,13.58,MEAC Outdoor Track & Field Championships,2014-05-01,3.1,100H,M
78,"STEWART, Chastity",JR-3,North Texas,13.59,Conference USA Outdoor Track & Field Championships,2014-05-15,1.7,100H,M
78,"Noel, Alicia",SR-4,SE Louisiana,13.59,Southland Conference Track & Field Championship,2014-05-09,2.6,100H,M
80,"Yeager, Sarah",SR-4,Drake,13.60,2014 MVC Outdoor Track & Field Championships,2014-05-16,1.8,100H,M
81,"Jackson, Cecelia",FR-1,Portland State,13.61@,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,3.1,100H,M
81,"Stafford, DeOna",SR-4,Texas-Arlington,13.61,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.2,100H,M
81,"Brockington, Tyler",SO-2,South Carolina,13.61,Bill Carson Invitational,2014-04-11,0.3,100H,M
81,"Vollmer, Lindsay",JR-3,Kansas,13.61@,Big 12 Outdoor Track and Field Championships,2014-05-16,0.3,100H,M
85,"Ross-Ransom, Skylar",FR-1,Florida,13.62,LSU Invitational,2014-05-03,0.4,100H,M
85,"Gochenour, Alex",SO-2,Arkansas,13.62,2014 Clyde Littlefield Texas Relays,2014-03-26,2.6,100H,M
87,"Rose, Lauren",JR-3,Michigan State,13.63,"48th Annual Hillsdale College ""GINA"" Relays",2014-04-24,3.1,100H,M
87,"Pearson, Jallycia",JR-3,UTEP,13.63@,UTEP Springtime Invitational,2014-03-22,3.0,100H,M
89,"Auzenne, Micha",FR-1,Arizona State,13.64,Pac-12 Outdoor Track and Field Championships,2014-05-17,0.4,100H,M
90,"Springall, Shaye",SR-4,Southern Utah,13.66,UCR Spring Break Invitational,2014-03-27,0.0,100H,M
90,"Willis, Skyler",JR-3,Akron,13.66,All-Ohio Track & Field Champs,2014-04-12,-0.3,100H,M
90,"Busbee, Erin",SR-4,Michigan,13.66,LSU Alumni Gold,2014-04-19,1.4,100H,M
93,"Kemp, Ivanique",SR-4,Arkansas,13.67,2014 Drake Relays presented by Hy-Vee,2014-04-23,-0.4,100H,M
93,"Richards, Kayann",FR-1,Miami,13.67,Miami Invitational,2014-03-29,3.0,100H,M
95,"Brady, Nikko",SR-4,Boston U.,13.68,Patriot League Outdoor Track & Field Championships,2014-05-02,2.1,100H,M
95,"Clark, Amber",SR-4,Long Beach St.,13.68,Big West Outdoor Track and Field Championship,2014-05-16,0.9,100H,M
97,"Charlton, Devynne",FR-1,Purdue,13.69,Border Battle,2014-04-12,3.0,100H,M
97,"Brown, Sashel",FR-1,Auburn,13.69,War Eagle 2014,2014-04-18,3.2,100H,M
99,"Veale, Marie",SO-2,Cal St. Northridge,13.70,Big West Outdoor Track and Field Championship,2014-05-16,1.7,100H,M
99,"Mbeng, Merryl",SR-4,Kansas State,13.70,Ward Haylett Invitational,2014-05-03,1.2,100H,M
1,"Brown, Janeek",SO-2,Arkansas,12.55,SEC Outdoor Track & Field Championships,2019-05-09,1.3,100H,M
2,"Brissett, Chanel",SO-2,USC,12.70,2019 Pac-12 Track & Field Championships,2019-05-04,0.7,100H,M
2,"Chadwick, Payton",SR-4,Arkansas,12.70,SEC Outdoor Track & Field Championships,2019-05-09,1.3,100H,M
4,"Jones, Cortney",JR-3,Florida State,12.72,ACC Championships,2019-05-09,1.4,100H,M
4,"Williams, Jeanine",SR-4,Georgia Tech,12.72,ACC Championships,2019-05-09,1.8,100H,M
6,"Marshall, Tonea",JR-3,LSU,12.74,LSU Invitational,2019-04-27,3.9,100H,M
