,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
92,"Usgaard, Tori",SO-2,UC Santa Barbara,4968,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
93,"Dent, Lacey",SO-2,Alabama,4967,SEC Outdoor Championship,2014-05-15,Hep,M
94,"Bigby, Latesha",JR-3,Northern Illinois,4954,Mid-American Outdoor Track & Field Championships,2014-05-15,Hep,M
95,"Muri, Danielle",SO-2,Montana State,4953,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,Hep,M
96,"Wolanin, Kate",JR-3,Eastern Michigan,4951,Mid-American Outdoor Track & Field Championships,2014-05-15,Hep,M
97,"Jackson, Rose",FR-1,North Dakota St.,4950,Summit League Outdoor Track & Field Championships,2014-05-15,Hep,M
98,"Krause, Kerry",SO-2,Princeton,4937,Ivy League Outdoor Track & Field Championships,2014-05-10,Hep,M
99,"Crockett, Lauren",JR-3,Oregon,4930,Oregon Relays,2014-04-17,Hep,M
100,"Laws, Nicole",FR-1,BYU,4924,2014 Cal Multi,2014-03-20,Hep,M
1,"Ellenwood, Georgia",SR-4,Wisconsin,6173,Big Ten Championships,2018-05-11,Hep,M
2,"Gittens, Tyra",FR-1,Texas A&M,6074,SEC Outdoor Track and Field Championships,2018-05-11,Hep,M
3,"Schultz, Nina",SO-2,Kansas State,6018,Roadrunner Invitational,2018-03-22,Hep,M
4,"Brooks-Johnson, Alissa",SR-4,Washington St.,5977,Pac-12 Combined Events Championships,2018-05-05,Hep,M
5,"Holmberg, Madeline",JR-3,Penn State,5976,Big Ten Championships,2018-05-11,Hep,M
6,"Brooks, Taliyah",SR-4,Arkansas,5946,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Hep,M
7,"Grauvogel, Louisa",SO-2,Georgia,5887,Spec Towns Invitational,2018-04-06,Hep,M
8,"Gustafson, Kendall",SR-4,UCLA,5886,Pac-12 Combined Events Championships,2018-05-05,Hep,M
9,"Siefring, Jaclyn",SR-4,Akron,5872,Bryan Clay Invitational,2018-04-19,Hep,M
10,"Champagnie, Ayesha",JR-3,Minnesota,5821,Big Ten Championships,2018-05-11,Hep,M
11,"Atherley, Michelle",SO-2,Miami,5816,Bryan Clay Invitational,2018-04-19,Hep,M
12,"Hinton, Kaylee",JR-3,Texas Tech,5793,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Hep,M
13,"Ortega, Patricia",SR-4,Akron,5782,Bryan Clay Invitational,2018-04-19,Hep,M
14,"Thompson, Alyssa",SR-4,Arizona,5761,Pac-12 Combined Events Championships,2018-05-05,Hep,M
15,"Burns, Shaina",SR-4,Texas A&M,5743,SEC Outdoor Track and Field Championships,2018-05-11,Hep,M
16,"Bender, Hope",JR-3,UC Santa Barbara,5725,Bryan Clay Invitational,2018-04-19,Hep,M
17,"Lopes, Lyndsey",JR-3,USC,5719,Pac-12 Combined Events Championships,2018-05-05,Hep,M
18,"Froeynes, Amanda",FR-1,Florida,5663,SEC Outdoor Track and Field Championships,2018-05-11,Hep,M
19,"Zamzow, Ashtin",SR-4,Texas,5662,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Hep,M
20,"Neal, Maya",JR-3,Tennessee,5650,SEC Outdoor Track and Field Championships,2018-05-11,Hep,M
21,"Berge, Emile",SO-2,South Alabama,5632,Sun Belt Outdoor Track and Field Championships,2018-05-11,Hep,M
21,"Okorie, Ariel",SO-2,Kansas State,5632,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Hep,M
23,"McKenzie, Grace",SO-2,McNeese State,5619,Southland Conference Outdoor Track & Field Championships,2018-05-04,Hep,M
24,"Whisby, Aliyah",FR-1,Kennesaw State,5590,Bryan Clay Invitational,2018-04-19,Hep,M
25,"Howell, Aaron",SR-4,Michigan,5541,Bryan Clay Invitational,2018-04-19,Hep,M
26,"Hankenson, Holly",JR-3,Louisville,5526,ACC Outdoor Championships,2018-05-10,Hep,M
27,"Kimbro, Jenny",SO-2,Iowa,5523,Bryan Clay Invitational,2018-04-19,Hep,M
27,"Mokrasova, Lucia",SR-4,UTEP,5523,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,Hep,M
29,"Wade, Peyton",SR-4,Maryland,5522,Big Ten Championships,2018-05-11,Hep,M
30,"Mattson, Jestena",JR-3,Fresno State,5511,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
31,"Paul, Carly",JR-3,Brown,5509,Tiger Track Classic 2018,2018-04-13,Hep,M
32,"Taubert, Lauren",SO-2,Kansas State,5491,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Hep,M
33,"Lemmons, Jaida",JR-3,Duke,5462,ACC Outdoor Championships,2018-05-10,Hep,M
34,"Beattie, Erinn",JR-3,UC Davis,5458,Big West Multi Championships,2018-05-04,Hep,M
35,"Henry, Alexus",JR-3,UT-Arlington,5454,Bryan Clay Invitational,2018-04-19,Hep,M
36,"Muraskaite, Migle",FR-1,Lamar,5437,Southland Conference Outdoor Track & Field Championships,2018-05-04,Hep,M
37,"Wichhart-Donzo, Maja",JR-3,Colorado,5433,Bryan Clay Invitational,2018-04-19,Hep,M
38,"Sims, Kolbi",JR-3,San Jose St.,5402,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
39,"Seawater-Simmons, Tria",JR-3,Iowa,5398,Bryan Clay Invitational,2018-04-19,Hep,M
40,"Mohns, Kyra",SR-4,New Mexico,5391,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
41,"White, Lauren",SR-4,SIU Edwardsville,5383,Ohio Valley Conference Championship,2018-05-10,Hep,M
42,"Thorss, Frida",SR-4,Florida Atlantic,5377,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,Hep,M
43,"Roberts, Khemani",JR-3,Tennessee Tech,5353,Virginia Challenge,2018-04-20,Hep,M
44,"Schwietz, Riley",SR-4,Troy,5352,Sun Belt Outdoor Track and Field Championships,2018-05-11,Hep,M
45,"Brooks, Kieshonna",SO-2,Ole Miss,5338,SEC Outdoor Track and Field Championships,2018-05-11,Hep,M
46,"Clemens, Stella",JR-3,UNLV,5289,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
47,"Popp, Selena",JR-3,Samford,5283,Tiger Track Classic 2018,2018-04-13,Hep,M
48,"O'Connor, Kylee",SR-4,Oregon,5271,Pac-12 Combined Events Championships,2018-05-05,Hep,M
49,"Gray, Jordan",JR-3,Kennesaw State,5266,Bryan Clay Invitational,2018-04-19,Hep,M
50,"Wenning, Michaela",JR-3,Colorado,5247,Bryan Clay Invitational,2018-04-19,Hep,M
51,"Ramacher, Ashley",FR-1,Minnesota,5231,Bryan Clay Invitational,2018-04-19,Hep,M
52,"Sullivan, Holly",SR-4,Virginia,5218,ACC Outdoor Championships,2018-05-10,Hep,M
53,"Lara, Baylee",SO-2,Sam Houston St.,5213,Southland Conference Outdoor Track & Field Championships,2018-05-04,Hep,M
54,"Meyer, Madison",SO-2,Southern Illinois,5203,2018 MVC Outdoor Track & Field Championships,2018-05-11,Hep,M
55,"Abdullah-Muhammad, Qetuwrah",SR-4,Mid. Tenn. State,5198,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,Hep,M
56,"Dunderdale, Hannah",SR-4,Arkansas State,5189,Sun Belt Outdoor Track and Field Championships,2018-05-11,Hep,M
57,"Lord, Courtney",SR-4,Sam Houston St.,5184,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Hep,M
57,"Marsh, Erin",FR-1,Duke,5184,ACC Outdoor Championships,2018-05-10,Hep,M
59,"Huggins, Dallyssa",SO-2,Maryland,5180,Virginia Challenge,2018-04-20,Hep,M
60,"Kirby, Kaitlyn",FR-1,South Florida,5163,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Hep,M
61,"McCarrell, Keira",FR-1,Oregon,5161,Bryan Clay Invitational,2018-04-19,Hep,M
62,"McNairy, Saskia",JR-3,Oregon State,5150,Pac-12 Combined Events Championships,2018-05-05,Hep,M
62,"Ader, Nicola",FR-1,Nevada,5150,Bryan Clay Invitational,2018-04-19,Hep,M
64,"Banks, Jordan",SR-4,Wake Forest,5149,ACC Outdoor Championships,2018-05-10,Hep,M
65,"Pyles, Alexus",SO-2,Ohio State,5148,Big Ten Championships,2018-05-11,Hep,M
66,"Lane, Vanessa",SR-4,South Dakota St.,5146,2018 Summit League Championships,2018-05-10,Hep,M
67,"Albrechtsen, Sofie",JR-3,Minnesota,5143,Bryan Clay Invitational,2018-04-19,Hep,M
68,"Torres, Gabby",JR-3,UTSA,5117,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,Hep,M
69,"Garman, Maria",JR-3,Dartmouth,5112,NEICAAA Outdoor Track & Field Championships,2018-05-11,Hep,M
70,"Smith, Asia",FR-1,San Diego St.,5110,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
71,"Vanvleet, Ashley",FR-1,Idaho State,5105,Big Sky Outdoor Track & Field Championships,2018-05-08,Hep,M
72,"Preiss, Virginia",SO-2,Texas,5092,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Hep,M
73,"Smith, Gabby",JR-3,Colorado St.,5082,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
74,"Stephens, Nikki",FR-1,Florida,5080,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Hep,M
75,"Chenault, Christina",JR-3,UCLA,5072,Pac-12 Combined Events Championships,2018-05-05,Hep,M
76,"Broughton, Shayla",SO-2,Miss State,5059,Tennessee Relays,2018-04-12,Hep,M
77,"Bonds, Talie",FR-1,Utah State,5049,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
78,"Deveau, Bridget",JR-3,UMass Amherst,5044,A-10 Championships,2018-05-05,Hep,M
79,"Tillman, Zaria",JR-3,Miss State,5043,SEC Outdoor Track and Field Championships,2018-05-11,Hep,M
80,"Stieler, Ashlee",FR-1,Illinois State,5028,2018 MVC Outdoor Track & Field Championships,2018-05-11,Hep,M
80,"Alvin, Ed'Quisha",SO-2,Florida A&M,5028,MEAC Outdoor Track & Field Championships,2018-05-03,Hep,M
82,"Smith, Kylah",JR-3,Texas State,5022,Sun Belt Outdoor Track and Field Championships,2018-05-11,Hep,M
83,"Wahl, Georgia",JR-3,Texas,5019,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Hep,M
84,"Henry, Kendra",FR-1,Wichita State,5018,The American Outdoor Track & Field Championships,2018-05-11,Hep,M
85,"Lanovaz, Caice",SO-2,Cal Poly,5011,SAM ADAMS COMBINED EVENTS INVITATIONAL,2018-04-06,Hep,M
86,"Beachy, Jaelin",SR-4,North Dakota State,5007,2018 Summit League Championships,2018-05-10,Hep,M
87,"Rhodes, Rachel",JR-3,Notre Dame,5000,ACC Outdoor Championships,2018-05-10,Hep,M
88,"Ott, Olivia",JR-3,Missouri State,4998,2018 MVC Outdoor Track & Field Championships,2018-05-11,Hep,M
89,"Sand, Kennedi",SO-2,North Dakota State,4989,2018 Summit League Championships,2018-05-10,Hep,M
90,"Russell, Zinedine",SO-2,Rice,4987,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,Hep,M
90,"Mutter, Linda",SR-4,Louisville,4987,ACC Outdoor Championships,2018-05-10,Hep,M
92,"Lennon, Caitlin",SO-2,Stephen F. Austin,4981,Southland Conference Outdoor Track & Field Championships,2018-05-04,Hep,M
93,"Jordan , Natosha",SO-2,UCF,4980,The American Outdoor Track & Field Championships,2018-05-11,Hep,M
94,"Lust , Amber",JR-3,Wofford,4966,Southern Conference Outdoor Track & Field Championships,2018-05-10,Hep,M
95,"Inoussa, Farydah",SR-4,New Orleans,4965,Southland Conference Outdoor Track & Field Championships,2018-05-04,Hep,M
96,"Lorenz, Brooke",SO-2,Northern Iowa,4964,2018 MVC Outdoor Track & Field Championships,2018-05-11,Hep,M
97,"Marquez, Talia",SR-4,Colorado St.,4963,Bryan Clay Invitational,2018-04-19,Hep,M
97,"Morrison, Gillian",SO-2,Boston U.,4963,Tiger Track Classic 2018,2018-04-13,Hep,M
99,"Xydona, Niki",SO-2,Utah State,4962,Mountain West Outdoor Track & Field Championships,2018-05-09,Hep,M
100,"Schauble, Lindsey",JR-3,Washington St.,4952,Pac-12 Combined Events Championships,2018-05-05,Hep,M
1,"Bougard, Erica",JR-3,Miss State,6250,SEC Championships,2015-05-14,Hep,M
2,"Chapman, Quintunya",SR-4,Georgia,6146,Georgia Bulldog Decathlon/Heptathlon,2015-04-08,Hep,M
3,"Rahn, Xenia",SR-4,North Carolina,6057,ACC Outdoor Track & Field Championships,2015-05-14,Hep,M
4,"Jones, Akela",JR-3,Kansas State,6049,2015 Jim Click Combined Events,2015-04-09,Hep,M
5,"Gochenour, Alex",JR-3,Arkansas,6027,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
6,"Herauf, Jess",JR-3,Minnesota,6014,Big Ten Outdoor Track & Field Championships,2015-05-15,Hep,M
7,"Williams, Kendell",SO-2,Georgia,6003,SEC Championships,2015-05-14,Hep,M
8,"Hemann, Jena",SR-4,Texas A&M,6002,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
9,"Latham, Deanna",SR-4,Wisconsin,5914,Big Ten Outdoor Track & Field Championships,2015-05-15,Hep,M
10,"Larch-Miller, Nikki",JR-3,Wichita State,5812,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
11,"Brooks-Johnson, Alissa",SO-2,Washington St.,5803,Pac-12 Combined Events Championships,2015-05-09,Hep,M
12,"Souza, Tatum",SR-4,UCLA,5771,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
13,"Vollmer, Lindsay",SR-4,Kansas,5767,Kansas Relays,2015-04-15,Hep,M
14,"McDonald, Fabia",SR-4,Mississippi,5736,Virginia Challenge,2015-04-17,Hep,M
15,"Hawkins, Chari",SR-4,Utah State,5732,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
16,"Ellenwood, Georgia",SO-2,Wisconsin,5714,Big Ten Outdoor Track & Field Championships,2015-05-15,Hep,M
17,"Maslowski, Teddi",JR-3,Duke,5706,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
18,"Sadeiko, Grete",SO-2,Florida State,5682,Georgia Bulldog Decathlon/Heptathlon,2015-04-08,Hep,M
19,"Brooks, Taliyah",FR-1,Arkansas,5681,SEC Championships,2015-05-14,Hep,M
20,"Chauchard, Sarah",SR-4,Eastern Michigan,5667,Mid-American Outdoor Track & Field Championships,2015-05-14,Hep,M
21,"Iuel, Amalie",SO-2,USC,5610,Pac-12 Combined Events Championships,2015-05-09,Hep,M
22,"Torres, Abrianna",JR-3,Colorado,5545,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
23,"Kelly, Brittany",FR-1,Mississippi,5531,SEC Championships,2015-05-14,Hep,M
24,"Pearson, Jallycia",SR-4,UTEP,5527,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
25,"Moore, Ashlee",FR-1,Oregon,5512,Pac-12 Combined Events Championships,2015-05-09,Hep,M
26,"Hansen, Madison",JR-3,Harvard,5506,Ivy League Outdoor Track & Field Championships,2015-05-09,Hep,M
27,"Loeffel, Carly",JR-3,Notre Dame,5501,ACC Outdoor Track & Field Championships,2015-05-14,Hep,M
28,"Zamzow, Ashtin",FR-1,Texas A&M,5482,SEC Championships,2015-05-14,Hep,M
29,"Johonnot, Karli",JR-3,Duke,5474,ACC Outdoor Track & Field Championships,2015-05-14,Hep,M
30,"Brown, Leigha",SO-2,Arkansas,5473,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
31,"McCutchen, Carley",SR-4,Montana State,5461,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
32,"Thompson, Natalie",JR-3,Texas Tech,5440,Big 12 Outdoor Track & Field Championships,2015-05-15,Hep,M
33,"Cvitanovic, Lucija",JR-3,SMU,5427,The American Outdoor Track & Field Championships,2015-05-14,Hep,M
34,"Peth, Rachel",JR-3,Northern Iowa,5425,2015 MVC Outdoor Track and Field Championships,2015-05-15,Hep,M
35,"Stumbaugh, Payton",FR-1,Oklahoma,5422,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
36,"Borman, Breanne",SO-2,Wichita State,5406,2015 MVC Outdoor Track and Field Championships,2015-05-15,Hep,M
37,"Good, Kaitlyn",SR-4,Cincinnati,5403,The American Outdoor Track & Field Championships,2015-05-14,Hep,M
38,"Thorss, Frida",FR-1,Florida Atlantic,5396,Conference USA Outdoor Track & Field Championships,2015-05-14,Hep,M
38,"Dameus, Clairwin",JR-3,Tennessee St.,5396,Ohio Valley Conference Championships,2015-05-15,Hep,M
40,"Siefring, Jaclyn",FR-1,Akron,5377,Mid-American Outdoor Track & Field Championships,2015-05-14,Hep,M
41,"Godwin, Emily",SO-2,North Carolina,5367,ACC Outdoor Track & Field Championships,2015-05-14,Hep,M
42,"Green, Jessica",JR-3,Colorado St.,5350,Mountain West Outdoor Track & Field Championships,2015-05-13,Hep,M
43,"Thompson, Alyssa",SO-2,Arizona,5343,Pac-12 Combined Events Championships,2015-05-09,Hep,M
44,"Stephens, Makayla",FR-1,Oklahoma,5336,Big 12 Outdoor Track & Field Championships,2015-05-15,Hep,M
45,"Wadden, Nicole",SO-2,Nevada,5317,Mountain West Outdoor Track & Field Championships,2015-05-13,Hep,M
46,"Siuciak, Emma",SR-4,Buffalo,5271,Mid-American Outdoor Track & Field Championships,2015-05-14,Hep,M
47,"Pfeiffer, Jenna",JR-3,Baylor,5256,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
48,"Inoussa, Farydah",SO-2,New Orleans,5248,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
49,"Bonds, Tiana",FR-1,Arizona,5242,2015 Jim Click Combined Events,2015-04-09,Hep,M
50,"Jancewicz, Noel",SO-2,Penn,5208,Ivy League Outdoor Track & Field Championships,2015-05-09,Hep,M
51,"Walker, Alexis",SR-4,UCLA,5201,Pac-12 Combined Events Championships,2015-05-09,Hep,M
52,"Morgan, Taylor",JR-3,Princeton,5181,Ivy League Outdoor Track & Field Championships,2015-05-09,Hep,M
53,"Denger, Amanda",SR-4,George Mason,5170,Atlantic 10 Championships,2015-05-02,Hep,M
54,"Bigby, Latesha",SR-4,Northern Illinois,5146,Penn Relays Combined Events,2015-04-21,Hep,M
55,"Fusilier, Jasmin",JR-3,UL-Lafayette,5137,Sun Belt Outdoor Track and Field Championships,2015-05-08,Hep,M
56,"Klinger, Rachel",SR-4,South Florida,5122,2015 Clyde Littlefield Texas Relays,2015-03-25,Hep,M
56,"Bye, Martine",FR-1,Memphis,5122,The American Outdoor Track & Field Championships,2015-05-14,Hep,M
58,"Bowe, Samantha",JR-3,New Mexico,5115,Mountain West Outdoor Track & Field Championships,2015-05-13,Hep,M
59,"Slay, Catika",SO-2,Marshall,5098,Conference USA Outdoor Track & Field Championships,2015-05-14,Hep,M
60,"Pattie-Belleli, Holly",JR-3,Missouri State,5094,2015 MVC Outdoor Track and Field Championships,2015-05-15,Hep,M
61,"Norton, Kami",FR-1,Texas Tech,5093,David Noble ASU Multi Meet,2015-04-09,Hep,M
62,"Beckman, Alex",JR-3,Minnesota,5088,Big Ten Outdoor Track & Field Championships,2015-05-15,Hep,M
63,"Hallock, Kara",JR-3,Oregon State,5087,Oregon Relays,2015-04-16,Hep,M
64,"Littleton, Danielle",SR-4,UC Riverside,5074,UCR Spring Classic Invitational,2015-03-26,Hep,M
65,"Goodale, Sarah",SO-2,Vanderbilt,5065,SEC Championships,2015-05-14,Hep,M
66,"Laws, Nicole",SO-2,BYU,5059,UNLV Spring Invitational,2015-03-21,Hep,M
67,"Bartosch, Nicole",SO-2,Sacred Heart,5054,Sam Adams Combined Events Invitational,2015-04-03,Hep,M
68,"Muri, Danielle",JR-3,Montana State,5052,Big Sky Conference Outdoor Track & Field Championships,2015-05-13,Hep,M
69,"Day, Claudette",SO-2,Northern Illinois,5050,Penn Relays Combined Events,2015-04-21,Hep,M
70,"Mutter, Linda",FR-1,Louisville,5038,ACC Outdoor Track & Field Championships,2015-05-14,Hep,M
70,"Phillips, Stormm",SO-2,Jacksonville,5038,Atlantic Sun Outdoor Track & Field Championships,2015-05-15,Hep,M
72,"Arnold, Lindsay",JR-3,South Florida,5037,The American Outdoor Track & Field Championships,2015-05-14,Hep,M
73,"Rath, Chaley",SO-2,Northern Iowa,5031,2015 MVC Outdoor Track and Field Championships,2015-05-15,Hep,M
74,"Roderick, Sara",SR-4,Vermont,5029,2015 America East Outdoor Championships,2015-05-02,Hep,M
75,"Barker, Shelby",SR-4,UAB,5020,Conference USA Outdoor Track & Field Championships,2015-05-14,Hep,M
76,"Jenrette, Nicole",JR-3,Sam Houston St.,5017,Southland Conference Championship,2015-05-08,Hep,M
77,"Corrigan, Kassandra",JR-3,Sacramento St.,5006,37th SDSU Aztec Invitational,2015-03-26,Hep,M
78,"Kolmer, Sarah",SR-4,Kansas State,5004,Kansas Relays,2015-04-15,Hep,M
79,"Murphy, Erin",JR-3,BYU,5003,2015 BYU Robison Invitational,2015-04-22,Hep,M
80,"Taintor, Amy",FR-1,Miami,4997,ACC Outdoor Track & Field Championships,2015-05-14,Hep,M
81,"Childs, Jade",JR-3,San Jose St.,4991,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
82,"Jewett, Olympia",SR-4,Cal St. Northridge,4981,2015 Big West Championships,2015-05-15,Hep,M
83,"Barnes, Shawnta",SR-4,Cal St. Northridge,4980,2015 Big West Championships,2015-05-15,Hep,M
84,"Smith, C.J.",JR-3,Washington,4978,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Hep,M
85,"Morrison, Allison",JR-3,Harvard,4972,Virginia Challenge,2015-04-17,Hep,M
86,"Zamzow, Avery",FR-1,Sam Houston St.,4956,Southland Conference Championship,2015-05-08,Hep,M
87,"Jackson, Rose",SO-2,North Dakota State,4945,UCR Spring Classic Invitational,2015-03-26,Hep,M
88,"Ben-Artzi, Tal",SO-2,Penn State,4937,Big Ten Outdoor Track & Field Championships,2015-05-15,Hep,M
89,"Wade, Peyton",FR-1,Maryland,4932,Big Ten Outdoor Track & Field Championships,2015-05-15,Hep,M
90,"Wolanin, Kate",SR-4,Eastern Michigan,4931,Mid-American Outdoor Track & Field Championships,2015-05-14,Hep,M
91,"Vandenberg, Kylee",SO-2,UNLV,4921,Mountain West Outdoor Track & Field Championships,2015-05-13,Hep,M
91,"Dixon, Emily",FR-1,Elon,4921,CAA Outdoor Track and Field Championships,2015-05-01,Hep,M
93,"Mohns, Kyra",FR-1,New Mexico,4913,Mountain West Outdoor Track & Field Championships,2015-05-13,Hep,M
94,"Petruzzelis, Katherine",SR-4,Villanova,4907,Penn Relays Combined Events,2015-04-21,Hep,M
95,"Thompson, Angelica",JR-3,Houston,4887,The American Outdoor Track & Field Championships,2015-05-14,Hep,M
96,"Logsdon, Bailee",FR-1,Houston,4886,The American Outdoor Track & Field Championships,2015-05-14,Hep,M
97,"Beckman, Amanda",JR-3,Minnesota,4879,Virginia Challenge,2015-04-17,Hep,M
98,"Kenney, Tiffany",JR-3,Tulane,4871,The American Outdoor Track & Field Championships,2015-05-14,Hep,M
99,"Jackson, Erika",JR-3,Liberty,4869,Big South Championships,2015-05-14,Hep,M
100,"Grandcolas, Carlyn",SO-2,Baylor,4866,Big 12 Outdoor Track & Field Championships,2015-05-15,Hep,M
