,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
22,"Lester, Sterling",FR-1,Georgia,5562,Spec Towns Invitational,2019-04-05,Hep,M
23,"Reynolds, Asya",JR-3,Michigan State,5520,Big Ten Championships,2019-05-10,Hep,M
24,"Okorie, Ariel",JR-3,Kansas State,5516,Jim Click Shootout,2019-04-06,Hep,M
25,"Juskeviciute, Beatrice",FR-1,Cornell,5504,Tennessee Relays,2019-04-11,Hep,M
26,"Roberts, Khemani",SR-4,Tennessee Tech,5482,Virginia Challenge,2019-04-19,Hep,M
27,"Sims, Kolbi",SR-4,Utah,5477,2019 Pac-12 Track & Field Championships,2019-05-04,Hep,M
28,"McLeod, Erika",SR-4,Montana,5425,Big Sky Outdoor Track & Field Championships,2019-05-08,Hep,M
29,"Chapman, Timara",FR-1,North Carolina St.,5412,ACC Championships,2019-05-09,Hep,M
30,"Jordan, Natosha",JR-3,Auburn,5389,SEC Outdoor Track & Field Championships,2019-05-09,Hep,M
31,"Sieben, Skylar",FR-1,Arizona,5383,2019 Pac-12 Track & Field Championships,2019-05-04,Hep,M
32,"Meyer, Madison",JR-3,Southern Illinois,5380,MVC Championship,2019-05-10,Hep,M
33,"McNairy, Saskia",SR-4,Oregon State,5379,2019 Pac-12 Track & Field Championships,2019-05-04,Hep,M
34,"Hirsbrunner, Jordan",FR-1,Wisconsin,5369,Bryan Clay Invitational,2019-04-17,Hep,M
35,"Nwofor, Emma",JR-3,Arkansas State,5361,Spec Towns Invitational,2019-04-05,Hep,M
36,"McCarrell, Keira",SO-2,Oregon,5336,Bryan Clay Invitational,2019-04-17,Hep,M
37,"Polsgrove, Kylie",SR-4,Liberty,5333,Tennessee Relays,2019-04-11,Hep,M
38,"Deveau, Bridget",SR-4,UMass Amherst,5324,Virginia Challenge,2019-04-19,Hep,M
39,"Hankenson, Holly",SR-4,Louisville,5313,ACC Championships,2019-05-09,Hep,M
40,"Clemens, Stella",SR-4,UNLV,5311,Mountain West Outdoor Track & Field Championship,2019-05-08,Hep,M
41,"Smith, Asia",SO-2,San Diego St.,5309,Mountain West Outdoor Track & Field Championship,2019-05-08,Hep,M
42,"Coffman, Morgan",SR-4,Kansas State,5295,Big 12 Outdoor Track and Field Championships,2019-05-10,Hep,M
43,"Stephens, Makayla",SR-4,Oklahoma,5274,Big 12 Outdoor Track and Field Championships,2019-05-10,Hep,M
44,"Rhodes, Kiara",SO-2,Tennessee,5271,Tennessee Relays,2019-04-11,Hep,M
45,"Vanvleet Sturgis, Ashley",SO-2,Idaho State,5261,Big Sky Outdoor Track & Field Championships,2019-05-08,Hep,M
45,"Jones, Callie",SO-2,Southern Miss.,5261,Conference USA Outdoor Championships,2019-05-09,Hep,M
47,"Abbott , Calli Ann",JR-3,Hawaii,5258,2019 Big West Multi Championships,2019-05-03,Hep,M
48,"John, Safiya",FR-1,Arkansas-Pine Bluff,5257,2019 SWAC Outdoor T&F Championships,2019-05-03,Hep,M
49,"Muraskaite, Migle",SO-2,Lamar,5252,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Hep,M
50,"Henry, Kendra",SO-2,Wichita State,5249,The American Outdoor Track & Field Championships,2019-05-10,Hep,M
51,"Brooks, Kieshonna",JR-3,Ole Miss,5248,SEC Outdoor Track & Field Championships,2019-05-09,Hep,M
52,"Awuruonye, Amaka",JR-3,Charlotte,5237,Conference USA Outdoor Championships,2019-05-09,Hep,M
53,"Felix, Monique",JR-3,Minnesota,5228,Jim Click Shootout,2019-04-06,Hep,M
54,"Harvey, Amelia",JR-3,Colorado St.,5222,Mountain West Outdoor Track & Field Championship,2019-05-08,Hep,M
55,"Rojo, Claudia",JR-3,Wichita State,5219,The American Outdoor Track & Field Championships,2019-05-10,Hep,M
56,"Tillman, Zaria",SR-4,Miss State,5209,SEC Outdoor Track & Field Championships,2019-05-09,Hep,M
57,"Hanson, Sashane",SR-4,Texas A&M-CC,5201,Southland Conference Outdoor Track and Field Championship,2019-05-03,Hep,M
58,"Njoku, Rose",JR-3,Texas Tech,5195,Jim Click Shootout,2019-04-06,Hep,M
59,"Turner, Jillian",SR-4,Stephen F. Austin,5188,Southland Conference Outdoor Track and Field Championship,2019-05-03,Hep,M
60,"Amarasekara, Dilini",JR-3,UC Riverside,5157,2019 Big West Multi Championships,2019-05-03,Hep,M
61,"Sportoletti, Giulia",JR-3,Rice,5152,Conference USA Outdoor Championships,2019-05-09,Hep,M
62,"Gerads, Allison",FR-1,Minnesota,5150,Big Ten Championships,2019-05-10,Hep,M
63,"Preiss, Virginia",JR-3,Texas,5146,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Hep,M
64,"Bonds, Talie",SO-2,Utah State,5145,Bryan Clay Invitational,2019-04-17,Hep,M
65,"Floyd, Brittany",SO-2,UAB,5142,Conference USA Outdoor Championships,2019-05-09,Hep,M
66,"Eelma, Parl",FR-1,Lamar,5138,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Hep,M
67,"Lanovaz, Caice",JR-3,Cal Poly,5123,2019 Big West Multi Championships,2019-05-03,Hep,M
68,"VanVleet, Brianna",SO-2,Idaho State,5121,2019 BYU Robison Invitational,2019-04-25,Hep,M
69,"Kutzer, Kate",SO-2,Duke,5106,ACC Championships,2019-05-09,Hep,M
69,"Wilson, Sydney",SO-2,Wichita State,5106,The American Outdoor Track & Field Championships,2019-05-10,Hep,M
71,"Poe, Asia",FR-1,Miss State,5104,SEC Outdoor Track & Field Championships,2019-05-09,Hep,M
72,"Vaikla, Hanna-Mai",SO-2,South Alabama,5100,Sun Belt Outdoor Track and Field Championships,2019-05-10,Hep,M
73,"Busch, Michaela",JR-3,Western Illinois,5085,Summit League T&F Outdoor Championships,2019-05-08,Hep,M
74,"Smith, Juliette",JR-3,UL-Lafayette,5072,Sun Belt Outdoor Track and Field Championships,2019-05-10,Hep,M
75,"Coquillaud-Salomon, Mathilde",FR-1,South Carolina,5066,SEC Outdoor Track & Field Championships,2019-05-09,Hep,M
76,"Kirby, Megan",SO-2,Abilene Christian,5063,Southland Conference Outdoor Track and Field Championship,2019-05-03,Hep,M
77,"Del Hoyo, Emilia",SR-4,Sacramento St.,5062,Big Sky Outdoor Track & Field Championships,2019-05-08,Hep,M
77,"Tate, Aria",SO-2,Colorado St.,5062,Mountain West Outdoor Track & Field Championship,2019-05-08,Hep,M
79,"Denzer, Macy",JR-3,North Dakota State,5059,Summit League T&F Outdoor Championships,2019-05-08,Hep,M
80,"Xydona, Niki",JR-3,Grand Canyon,5054,WAC Outdoor Track and Field Championships,2019-05-09,Hep,M
81,"Russell, Zinedine",JR-3,Rice,5051,Conference USA Outdoor Championships,2019-05-09,Hep,M
82,"Videler, Isa",SO-2,UCLA,5043,2019 Pac-12 Track & Field Championships,2019-05-04,Hep,M
83,"Jones, Allie",FR-1,Stanford,5041,Bryan Clay Invitational,2019-04-17,Hep,M
83,"Creedon, Jessica",SO-2,Boston College,5041,ACC Championships,2019-05-09,Hep,M
85,"Smith, Kaitlin",SO-2,Houston Baptist,5040,Southland Conference Outdoor Track and Field Championship,2019-05-03,Hep,M
86,"Lennon, Caitlin",JR-3,Stephen F. Austin,5039,Southland Conference Outdoor Track and Field Championship,2019-05-03,Hep,M
87,"Torres, Gabby",SR-4,UTSA,5036,Conference USA Outdoor Championships,2019-05-09,Hep,M
88,"Hirschi, Alyssa",SR-4,Utah State,5033,Mountain West Outdoor Track & Field Championship,2019-05-08,Hep,M
89,"O'Handley, Kristen",SO-2,Portland State,5029,Big Sky Outdoor Track & Field Championships,2019-05-08,Hep,M
90,"Schauble, Lindsey",SR-4,Washington St.,5028,2019 Pac-12 Track & Field Championships,2019-05-04,Hep,M
90,"Newton-Smith, Camryn",FR-1,Arkansas State,5028,Sun Belt Outdoor Track and Field Championships,2019-05-10,Hep,M
92,"Ziola, Jansen",FR-1,Montana,5027,Big Sky Outdoor Track & Field Championships,2019-05-08,Hep,M
93,"Main, Aubrey",SR-4,Murray State,5012,OVC Championship,2019-05-09,Hep,M
94,"Lust , Amber",SR-4,Wofford,5005,2019 Southern Conference Outdoor Track & Field Championships,2019-04-27,Hep,M
95,"Straus, Katie",JR-3,Cincinnati,4996,Tennessee Relays,2019-04-11,Hep,M
