,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Lendore, Deon",JR-3,Texas A&M,44.36,SEC Outdoor Championship,2014-05-15,400,M
2,"Berry, Mike",SR-4,Oregon,45.05,Pac-12 Outdoor Track and Field Championships,2014-05-17,400,M
3,"Norwood, Vernon",JR-3,LSU,45.17,SEC Outdoor Championship,2014-05-15,400,M
4,"Hall, Arman",SO-2,Florida,45.19,Florida Relays,2014-04-03,400,M
5,"Spratling, Brycen",SR-4,Pittsburgh,45.22,Virginia Challenge,2014-05-09,400,M
6,"Glass, Najee",SO-2,Florida,45.40,SEC Outdoor Championship,2014-05-15,400,M
7,"Graham, Jr, Hugh",JR-3,Florida,45.45,LSU Invitational,2014-05-03,400,M
8,"Bailey, Elvyonn",SR-4,Western Kentucky,45.52,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,400,M
9,"Giesting, Christopher",JR-3,Notre Dame,45.53,Virginia Challenge,2014-05-09,400,M
10,"Feeney, Patrick",SR-4,Notre Dame,45.56,Stanford Invitational,2014-04-04,400,M
10,"Harris, James",SR-4,Florida State,45.56,Georgia Tech Invitational,2014-05-16,400,M
12,"Taplin, Bralon",JR-3,Texas A&M,45.66,SEC Outdoor Championship,2014-05-15,400,M
12,"Dukes, Dedric",JR-3,Florida,45.66,UF Tom Jones Memorial,2014-04-19,400,M
14,"Bilderback, Zack",SO-2,Texas,45.73,Michael Johnson/Dr. Pepper Classic,2014-04-19,400,M
15,"Solomon, Steven",SO-2,Stanford,45.76@,TTU Red Raider Open,2014-05-03,400,M
15,"Collins, Clinton",SR-4,North Texas,45.76,Conference USA Outdoor Track & Field Championships,2014-05-15,400,M
17,"Roudette, Carlyle",SR-4,Texas A&M,45.77,35th Sun Angel Track Classic,2014-04-11,400,M
18,"Richards III, Joseph",SO-2,Texas Tech,45.91@,Big 12 Outdoor Track and Field Championships,2014-05-16,400,M
18,"Tugumisirize, Emmanuel",SR-4,Mid. Tenn. State,45.91,Tennessee Relays,2014-04-10,400,M
18,"Pamilton, Stephon",SR-4,Illinois,45.91,Big Ten Outdoor Track & Field Championships,2014-05-16,400,M
21,"Zahn, DJ",JR-3,Illinois,45.92,Big Ten Outdoor Track & Field Championships,2014-05-16,400,M
22,"Ways, Ceo",FR-1,North Carolina,45.93,Florida Relays,2014-04-03,400,M
23,"Nolan, Errol",SR-4,Houston,46.00,The American Outdoor Track & Field Championships,2014-05-02,400,M
24,"Cherry, Michael",FR-1,Florida State,46.01,Georgia Tech Invitational,2014-05-16,400,M
25,"Brown, Tyler",FR-1,Eastern Michigan,46.02,Mt. SAC Relays,2014-04-17,400,M
26,"Hazzard, Payton",JR-3,Virginia,46.12,Virginia Challenge,2014-05-09,400,M
26,"Robinson, Byron",FR-1,Penn State,46.12,35th Sun Angel Track Classic,2014-04-11,400,M
28,"Rush, Cody",SO-2,Nebraska,46.18,Big Ten Outdoor Track & Field Championships,2014-05-16,400,M
29,"Cleveland, Keith",SR-4,Arizona State,46.27,2014 Double Dual Meet UA/ASU/NAU,2014-05-03,400,M
30,"Brown-Stewart, Cass",SR-4,Stephen F. Austin,46.30,Southland Conference Track & Field Championship,2014-05-09,400,M
31,"Jones, Rodney",JR-3,Sam Houston St.,46.31,Southland Conference Track & Field Championship,2014-05-09,400,M
31,"Russell, Alonzo",SR-4,Florida State,46.31,FSU Twilight,2014-05-09,400,M
33,"Bruton, Lamar",FR-1,Ohio State,46.32,Big Ten Outdoor Track & Field Championships,2014-05-16,400,M
34,"Daniel, Rosen",SO-2,Coppin State,46.38,2014 ECAC-IC4A Outdoor Championships,2014-05-16,400,M
34,"Heriot, Blake",SR-4,Baylor,46.38,Michael Johnson/Dr. Pepper Classic,2014-04-19,400,M
36,"Landburg, Jordan",SR-4,Troy,46.39,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,400,M
37,"Baker, Ronnie",SO-2,TCU,46.40@,Big 12 Outdoor Track and Field Championships,2014-05-16,400,M
37,"Bush, Darrell",SO-2,LSU,46.40,LSU Battle on the Bayou,2014-04-05,400,M
39,"Klavins, Braxton",JR-3,SIU-Edwardsville,46.43,2014 OVC Outdoor T&F Championships,2014-05-02,400,M
40,"Grayson, Cyril",SO-2,LSU,46.45,SEC Outdoor Championship,2014-05-15,400,M
40,"Parish, Miles",FR-1,Arizona,46.45,Pac-12 Outdoor Track and Field Championships,2014-05-17,400,M
40,"Downing, Quincy",JR-3,LSU,46.45,SEC Outdoor Championship,2014-05-15,400,M
43,"Braddy, Neil",SR-4,Arkansas,46.47,Arkansas Spring Invitational,2014-04-04,400,M
44,"Hutchison, Je'von",SR-4,Hampton,46.51,2014 ECAC-IC4A Outdoor Championships,2014-05-16,400,M
45,"Jeter, Jarad",SO-2,Charleston Southern,46.54,Florida Relays,2014-04-03,400,M
46,"Uruburu, Nick",FR-1,Florida,46.57,SEC Outdoor Championship,2014-05-15,400,M
47,"Dunlap, Miles",JR-3,Kent State,46.59,Mid-American Outdoor Track & Field Championships,2014-05-15,400,M
48,"Okezie, Chidi",JR-3,Hampton,46.61,MEAC Outdoor Track & Field Championships,2014-05-01,400,M
48,"Hall, Ricco",SO-2,Nebraska,46.61,Nebraska Quad,2014-04-12,400,M
50,"Glastetter, Kevin",JR-3,Loyola (Ill.),46.62,Mt. SAC Relays,2014-04-17,400,M
51,"Gipson, Levi",SO-2,Nebraska,46.63,Musco Invitational,2014-05-03,400,M
52,"Rohani, Alexander",FR-1,USC,46.68,Pac-12 Outdoor Track and Field Championships,2014-05-17,400,M
53,"Hopkins, Tom",SR-4,Princeton,46.69,Princeton Quad Meet,2014-04-12,400,M
54,"Murray, Micah",SR-4,Pittsburgh,46.70,2014 ECAC-IC4A Outdoor Championships,2014-05-16,400,M
55,"Sealby, Jacob",JR-3,Washington St.,46.72,Pac-12 Outdoor Track and Field Championships,2014-05-17,400,M
56,"Ayesu-Attah, Ben",JR-3,Idaho,46.73@,Western Athletic Conference Outdoor Championships,2014-05-14,400,M
57,"Irvin, Christopher",FR-1,Texas,46.74@,Big 12 Outdoor Track and Field Championships,2014-05-16,400,M
58,"Janise, Eric",FR-1,Arkansas,46.75,Arkansas Twilight,2014-05-02,400,M
59,"Johnson, Anthony",SO-2,Texas State,46.77,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,400,M
59,"Perez-Rogers, Michael",SO-2,Long Beach St.,46.77,2014 Big West Challenge,2014-04-11,400,M
61,"Bynum, Anthony",SO-2,Charlotte,46.78,Charlotte 49er Classic,2014-03-20,400,M
62,"Onakoya, Abiola",SR-4,UTEP,46.80,Conference USA Outdoor Track & Field Championships,2014-05-15,400,M
62,"Rodriguez, Carlos",SR-4,Kansas State,46.80,Ward Haylett Invitational,2014-05-03,400,M
64,"Garland, Angelo",FR-1,Texas A&M-CC,46.82,Southland Conference Track & Field Championship,2014-05-09,400,M
64,"McBride, Brandon",SO-2,Miss State,46.82,Alabama vs. Mississippi Border Clash,2014-04-11,400,M
66,"Donyinah, Kwame",FR-1,North Carolina,46.84,ACC Outdoor Track & Field Championships,2014-04-17,400,M
67,"Gray, Brent",FR-1,Akron,46.87,Mid-American Outdoor Track & Field Championships,2014-05-15,400,M
68,"Chambers, Marcus",FR-1,Oregon,46.88,Oregon Relays,2014-04-17,400,M
69,"Hortelano-Roig, Bruno",SR-4,Cornell,46.89,Spring Invite,2014-04-12,400,M
70,"Hargrove, Jahquil",SR-4,Miami (Ohio),46.90,Mid-American Outdoor Track & Field Championships,2014-05-15,400,M
70,"Chatmon, Aaron",SR-4,Maryland-Eastern Shore,46.90,MEAC Outdoor Track & Field Championships,2014-05-01,400,M
70,"Stewart, Davonte",JR-3,USC,46.90,UCLA vs USC,2014-05-04,400,M
70,"Hawkins, Hampton",SR-4,Stephen F. Austin,46.90,J Fred Duckett-Rice Twilight,2014-04-26,400,M
74,"McCuin, Kenneth",JR-3,Kansas,46.91,35th Sun Angel Track Classic,2014-04-11,400,M
74,"Taylor, Josh",JR-3,Stephen F. Austin,46.91,J Fred Duckett-Rice Twilight,2014-04-26,400,M
76,"Lambourne, Cole",SO-2,Utah State,46.92@,Mountain West Outdoor Track & Field Championships,2014-05-14,400,M
77,"Melto, Mac",SO-2,DePaul,46.94,35th Sun Angel Track Classic,2014-04-11,400,M
78,"Yardley, Tyrell",SO-2,BYU,46.95@,2014 BYU Robison Invitational,2014-04-23,400,M
78,"Sorensen, Jesse",JR-3,Idaho State,46.95,Idaho-Utah Border Clash,2014-05-02,400,M
78,"Gilbert, Darnell",SR-4,Cincinnati,46.95,All-Ohio Track & Field Champs,2014-04-12,400,M
81,"Frazier, Julian",SR-4,Tulsa,46.98,Arkansas Spring Invitational,2014-04-04,400,M
82,"Kendrick, Andrew",SR-4,Purdue,46.99,Border Battle,2014-04-12,400,M
83,"Braxton, Jalil",FR-1,Kennesaw State,47.00,Atlantic Sun Outdoor Track and Field Championships,2014-05-16,400,M
