,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Dukes, Dedric",JR-3,Florida,19.97,Florida Relays,2014-04-03,-0.6,200,M
2,"Hardy, Jr., Prezel",SR-4,Texas A&M,20.14,LSU Alumni Gold,2014-04-19,3.2,200,M
2,"Ernest, Aaron",JR-3,LSU,20.14,LSU Invitational,2014-05-03,1.7,200,M
4,"Bailey, Elvyonn",SR-4,Western Kentucky,20.15,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.4,200,M
5,"Nkanata, Carvin",SR-4,Pittsburgh,20.17,Tennessee Relays,2014-04-10,2.0,200,M
6,"Brown, Aaron",SR-4,USC,20.19,Florida Relays,2014-04-03,-0.6,200,M
7,"Bromell, Trayvon",FR-1,Baylor,20.23,TCU College Invitational,2014-03-20,3.3,200,M
8,"Jenkins, Devin",SO-2,Southern,20.32,LSU Alumni Gold,2014-04-19,3.2,200,M
9,"Hart, Shavez",JR-3,Texas A&M,20.35,SEC Outdoor Championship,2014-05-15,-0.5,200,M
10,"Hall, Arman",SO-2,Florida,20.40,LSU Invitational,2014-05-03,1.7,200,M
11,"Rodney, Brendon",JR-3,LIU Brooklyn,20.41,Northeast Conference Championship,2014-05-03,1.3,200,M
12,"Hadnot, Trey",SR-4,Louisiana Tech,20.43,Bobcat Classic,2014-04-25,2.9,200,M
13,"Heriot, Blake",SR-4,Baylor,20.45,TCU College Invitational,2014-03-20,3.3,200,M
14,"Mackey, Trevor",JR-3,Texas Tech,20.47,ACU Wes Kittley Invitational,2014-04-12,3.6,200,M
14,"Walker, Justin",SR-4,Northwestern St.,20.47,Southland Conference Track & Field Championship,2014-05-09,1.6,200,M
14,"Vaughn, Clayton",JR-3,Texas-Arlington,20.47,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.4,200,M
17,"Batson, Diondre",SR-4,Alabama,20.49,Crimson Tide Invitational,2014-04-05,-0.4,200,M
18,"Watts, Sam",SO-2,TCU,20.50,TCU College Invitational,2014-03-20,3.3,200,M
19,"Ways, Ceo",FR-1,North Carolina,20.53,ACC Outdoor Track & Field Championships,2014-04-17,0.5,200,M
20,"Smith, Johnathan",SR-4,Georgia,20.54,Georgia Tech Yellow Jacket Invitational,2014-03-28,2.5,200,M
21,"Smith, Teray",FR-1,Auburn,20.57,University of Tennessee Challenge,2014-05-03,1.0,200,M
21,"Gordon, Wayne",SO-2,Kent State,20.57,Tennessee Relays,2014-04-10,2.0,200,M
23,"Sears, Ventavius",FR-1,Western Kentucky,20.58,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.4,200,M
24,"Dasor, Emmanuel",FR-1,Western Kentucky,20.60,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.4,200,M
25,"Echols- Luper, Cameron",FR-1,TCU,20.61,TCU College Invitational,2014-03-20,3.5,200,M
26,"Robinson, Bryce",SO-2,Tulsa,20.62,Arkansas Twilight,2014-05-02,-0.5,200,M
27,"Givans, Senoj-Jay",FR-1,Texas,20.63,Longhorn Invitational,2014-05-03,3.0,200,M
