,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
1,Florida,3:01.00,"Fasasi, Holloway, Sawyers, Vedel",Florida Relays,2018-03-29,4x400,M
2,Texas A&M,3:01.17,"Rose, Deadmon, Izu, Dixon",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
3,Houston,3:01.82,"Lattin, Burke, Burrell, Montgomery",Penn Relays,2018-04-26,4x400,M
4,LSU,3:01.98,"Thompson, Flournoy, Howell, Mosby",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
5,Texas A&M (B),3:02.19,"Kerley, Johnson, Izu, Dixon",Michael Johnson Invitational,2018-04-21,4x400,M
6,Texas A&M (C),3:02.43,"Kerley, Deadmon, Dixon, Izu",Rafer Johnson & Jackie Joyner-Kersee Invitational,2018-04-14,4x400,M
7,Texas A&M (D),3:02.74,"Deadmon, Johnson, Izu, Dixon",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
8,Texas Tech,3:02.82,"Oduduru, Jones, Hooper, Crisp",Michael Johnson Invitational,2018-04-21,4x400,M
9,Arkansas,3:03.36,"Stephen, Mowatt, Ejiakuekwu, Igbokwe",National Relay Championships,2018-04-27,4x400,M
10,Baylor,3:03.44,"Baldridge, Fields III, Dickson, London",National Relay Championships,2018-04-27,4x400,M
11,Auburn,3:03.52,"Coakley, Bloomfield, Tenkiang, Allen",Penn Relays,2018-04-26,4x400,M
12,TCU,3:03.74,"Flowers, Ogwo, Andrews, Mokaleng",National Relay Championships,2018-04-27,4x400,M
13,TCU (B),3:03.79,"Flowers, Mokaleng, Ogwo, McClanahan",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
14,Iowa,3:04.38,"Hofacker, Woodard, Frye, Harris",Florida Relays,2018-03-29,4x400,M
15,Arkansas (B),3:04.45,"Mowatt, Ejiakuekwu, Woodhall, Igbokwe",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
16,TCU (C),3:04.54,"Andrews, Flowers, Mokaleng, McClanahan",Roadrunner Invitational,2018-03-22,4x400,M
16,Texas A&M (E),3:04.54,"Deadmon, Rose, Zamzow, Johnson",Roadrunner Invitational,2018-03-22,4x400,M
18,Miss State,3:04.61,"Castillo, Waters, Tatham, James",Penn Relays,2018-04-26,4x400,M
19,Rutgers,3:04.67,"Griffith, Madeus, Brown, Burgess",Penn Relays,2018-04-26,4x400,M
20,N. Carolina A&T,3:04.75,"Hamilton, Stewart, Harding, Dickson",MEAC Outdoor Track & Field Championships,2018-05-03,4x400,M
20,Tennessee,3:04.75,"Williams, Harris, Elion, Strother",SEC Outdoor Track and Field Championships,2018-05-11,4x400,M
22,Iowa (B),3:05.05,"Frye, Hofacker, Thompson, Harris",2018 Drake Relays presented by Hy-Vee,2018-04-25,4x400,M
23,Clemson,3:05.11,"Lamb, Tolbert, Lewis, Green",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x400,M
24,Penn State,3:05.13,"Miner, Smith, Reiser, Harris",Penn Relays,2018-04-26,4x400,M
25,Florida (B),3:05.22,"Vedel, Sawyers, Poole, Johnson",FSU Relays,2018-03-23,4x400,M
26,Texas Tech (B),3:05.28,"Grimes, Crisp, Mathis, Jones",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x400,M
27,Texas A&M (F),3:05.32,"Rose, Tucker, Dixon, Johnson",LSU Invitational,2018-04-28,4x400,M
