,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
5,"Nugent, Leah",SR-4,Kentucky,56.46,UF Tom Jones Memorial,2015-04-24,400H,W
6,"Hailey, Nnenya",SO-2,Arizona,56.53,Pac-12 Track & Field Championships,2015-05-15,400H,W
7,"Watson, Sage",SO-2,Florida State,56.68,ACC Outdoor Track & Field Championships,2015-05-14,400H,W
8,"McKnight, Sparkle",SR-4,Arkansas,56.70,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,W
9,"Black, Symone",FR-1,Purdue,56.76,Big Ten Outdoor Track & Field Championships,2015-05-15,400H,W
10,"Franklin, Alexis",JR-3,Ohio State,56.78,Big Ten Outdoor Track & Field Championships,2015-05-15,400H,W
11,"Miller, Jade",SO-2,Harvard,56.87,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,W
12,"Chase, Chanice",JR-3,LSU,57.01,SEC Championships,2015-05-14,400H,W
13,"Harper, Liz",SO-2,Washington St.,57.31,Pac-12 Track & Field Championships,2015-05-15,400H,W
14,"Thompson, Evann",JR-3,Pittsburgh,57.33,ACC Outdoor Track & Field Championships,2015-05-14,400H,W
15,"Glades, Jamika",SO-2,Miami,57.51,Miami Hurricane Alumni Invitational,2015-04-10,400H,W
16,"Elliott, Samantha",SR-4,Clemson,57.54,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,W
17,"Washington, Faith",SO-2,Vanderbilt,57.64,Virginia Challenge,2015-04-17,400H,W
18,"Franklin, Autumne",JR-3,Harvard,57.69,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,W
19,"Marrero, Alethia",SO-2,Indiana State,57.71,Pacesetter Sports Invitational,2015-05-02,400H,W
20,"Esposito, Jennifer",SO-2,Elon,57.75,Duke Twilight,2015-05-06,400H,W
21,"Woodruff, Gianna",SR-4,Washington,57.85,Pac-12 Track & Field Championships,2015-05-15,400H,W
22,"Gelibert, Jessica",JR-3,Coastal Carolina,57.87,2015 Penn Relays,2015-04-23,400H,W
22,"Jones, Ariel",FR-1,Texas,57.87,Big 12 Outdoor Track & Field Championships,2015-05-15,400H,W
24,"Radoslav, Taysia",FR-1,Cornell,57.89,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,W
25,"Gonzalez, Melissa",JR-3,Texas,57.94,Big 12 Outdoor Track & Field Championships,2015-05-15,400H,W
26,"Balkwill, Kelsey",JR-3,Miami,57.96,LSU Invitational,2015-05-02,400H,W
27,"Simone, Anna",SR-4,Duquesne,57.98,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,W
28,"Gordon, Daeshon",FR-1,LSU,58.03,SEC Championships,2015-05-14,400H,W
29,"Squire, Paige",JR-3,Montana State,58.16,Big Sky Conference Outdoor Track & Field Championships,2015-05-13,400H,W
30,"Yarde, Tanaya",JR-3,Coppin State,58.18,MEAC Outdoor T&F Championships,2015-04-30,400H,W
31,"Johnson, Kyra",JR-3,Fresno State,58.22,Mountain West Outdoor Track & Field Championships,2015-05-13,400H,W
32,"Sanford, Sarah",FR-1,Samford,58.25,Southern Conference Outdoor Championship 2015,2015-04-25,400H,W
33,"Holder, Montayla",JR-3,Iowa,58.29,Florida Relays,2015-04-02,400H,W
33,"Archer, Ocian",SR-4,Miss State,58.29,Jace LaCoste Invitational,2015-05-01,400H,W
35,"Floyd, Cori",SR-4,North Carolina,58.31,ACC Outdoor Track & Field Championships,2015-05-14,400H,W
36,"Brown, Sashel",SO-2,Auburn,58.34,SEC Championships,2015-05-14,400H,W
37,"McNeil, Ste'yce",JR-3,Miss State,58.38,Jace LaCoste Invitational,2015-05-01,400H,W
38,"Michell, Sami",SO-2,Michigan,58.46,Big Ten Outdoor Track & Field Championships,2015-05-15,400H,W
38,"Payne, Kymber",FR-1,LSU,58.46,LSU Invitational,2015-05-02,400H,W
40,"Love, Alesha",JR-3,Winthrop,58.48,Big South Championships,2015-05-14,400H,W
41,"Claxton, Grace",JR-3,Albany,58.51,2015 America East Outdoor Championships,2015-05-02,400H,W
41,"Meinders, Susan",SO-2,Northern Colorado,58.51@,Tom Benich Invitational,2015-04-04,400H,W
43,"Amaku, Ruth",JR-3,Sam Houston St.,58.52,Southland Conference Championship,2015-05-08,400H,W
44,"Bookman, Deonca",FR-1,Prairie View,58.54,Bobcat Invitational,2015-03-26,400H,W
45,"Jupiter, Ka'Lynn",SO-2,LSU,58.55,SEC Championships,2015-05-14,400H,W
45,"Barber, Kaila",JR-3,Notre Dame,58.55,Ohio State - Jesse Owens Classic,2015-05-01,400H,W
45,"Walker, Shanique",SR-4,Jacksonville,58.55,UCF Twilight,2015-04-30,400H,W
48,"Worthington, Hayli",SR-4,Idaho State,58.60,Big Sky Conference Outdoor Track & Field Championships,2015-05-13,400H,W
49,"Jean-Claude, Sandy",SR-4,UCF,58.64,UCF Twilight,2015-04-30,400H,W
50,"Kitching, Melissa",JR-3,North Dakota State,58.65,2015 Beach Invitational,2015-04-17,400H,W
51,"Kirby, Erin",SR-4,Wyoming,58.66@,Cowpoke Open,2015-05-01,400H,W
52,"Birek, Michaela",SR-4,Western Carolina,58.72,Southern Conference Outdoor Championship 2015,2015-04-25,400H,W
53,"Cartwright , Devinn",SR-4,UCF,58.74,Mt. SAC Relays,2015-04-16,400H,W
54,"Allen, Erin",SR-4,Washington St.,58.76,Pac-12 Track & Field Championships,2015-05-15,400H,W
55,"Greenidge, Sade Mariah",SR-4,Houston,58.77,The American Outdoor Track & Field Championships,2015-05-14,400H,W
56,"Pugh, Daje",SO-2,Kentucky,58.80,SEC Championships,2015-05-14,400H,W
57,"Carpenter, Skyler",SO-2,Vanderbilt,58.84,2015 UT Challenge,2015-05-02,400H,W
58,"Brooks-Johnson, Alissa",SO-2,Washington St.,58.85,Pac-12 Track & Field Championships,2015-05-15,400H,W
59,"Farquhar, Taylor",JR-3,Kent State,58.91,Mid-American Outdoor Track & Field Championships,2015-05-14,400H,W
60,"Sinclair, Brittany",SR-4,Bowling Green,58.97,Virginia Challenge,2015-04-17,400H,W
61,"White, Stephanie",SR-4,Stephen F. Austin,59.00,Southland Conference Championship,2015-05-08,400H,W
62,"Davis, Christina",SR-4,Coastal Carolina,59.01,Big South Championships,2015-05-14,400H,W
63,"Gamble, Tia'",JR-3,Kansas State,59.06,Big 12 Outdoor Track & Field Championships,2015-05-15,400H,W
64,"Fogle, Paulette",SR-4,UMBC,59.13,2015 America East Outdoor Championships,2015-05-02,400H,W
65,"Milbrath, Morgan",SO-2,North Dakota State,59.14,Lyle Hokanson Classic,2015-05-01,400H,W
65,"Richardson, Bryiana",SO-2,LSU,59.14,LSU Invitational,2015-05-02,400H,W
67,"Packham, Kaylee",SO-2,BYU,59.16@,2015 BYU Cougar Invitational,2015-05-13,400H,W
68,"Redick, Emma",FR-1,UC Davis,59.17,Brutus Hamilton Challenge,2015-04-25,400H,W
68,"Meneau, Lisa",SO-2,Maryland,59.17,Kehoe Twilight Meet,2015-05-01,400H,W
70,"Levy, Toria",SO-2,Boston U.,59.20,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,W
71,"Siefring, Jaclyn",FR-1,Akron,59.22,Longhorn Invitational,2015-05-02,400H,W
72,"Larch-Miller, Taylor",SO-2,Wichita State,59.23,John Jacobs Invitational,2015-04-17,400H,W
73,"Heard, Tiffany",SR-4,Texas Southern,59.29,64th Annual TSU Relays (College),2015-03-20,400H,W
74,"London, Christine",SO-2,Virginia Tech,59.30,ACC Outdoor Track & Field Championships,2015-05-14,400H,W
75,"Struble, Morgan",JR-3,Arizona,59.31,2015 Drake Relays presented by Hy-Vee,2015-04-22,400H,W
76,"Moses, Racquel",JR-3,Mississippi,59.33,2015 Drake Relays presented by Hy-Vee,2015-04-22,400H,W
77,"Keller, Kourtney",SO-2,Hampton,59.35,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,W
78,"Babolayi, Oarabile",JR-3,Missouri State,59.37,2015 MVC Outdoor Track and Field Championships,2015-05-15,400H,W
78,"Heinze, Ashley",SR-4,North Dakota State,59.37,Lyle Hokanson Classic,2015-05-01,400H,W
80,"Ismail, Laila",FR-1,Pittsburgh,59.39,ACC Outdoor Track & Field Championships,2015-05-14,400H,W
81,"Modesett, Jackie",SO-2,Harvard,59.41,Ivy League Outdoor Track & Field Championships,2015-05-09,400H,W
81,"Willis, Sydni",FR-1,Texas State,59.41,Sun Belt Outdoor Track and Field Championships,2015-05-08,400H,W
83,"Swinton, Brianna",SO-2,Arkansas,59.43,SEC Championships,2015-05-14,400H,W
84,"Doughty, Bridget",SR-4,Central Michigan,59.49,Toledo Invitational,2015-05-07,400H,W
85,"Gonzalez, Alyssa",JR-3,Iowa State,59.54,Musco Invitational,2015-05-02,400H,W
85,"Shields, Angela",SR-4,BYU,59.54,Occidental Invitational (College/University),2015-05-09,400H,W
87,"Blumm, Stephanie",JR-3,Sacramento St.,59.55,2015 Causeway Classic Dual,2015-05-01,400H,W
87,"Barroso, Deandra",SR-4,Texas-Pan American,59.55@,2015 WAC Outdoor Track & Field Championships,2015-05-13,400H,W
