,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
79,"Gribbin, Mollie",SO-2,Nebraska,6.07m,"19' 11""",Nebraska Invitational,2014-05-10,0.1,LJ,W
79,"Barwise, Allison",SR-4,Boston U.,6.07m,"19' 11""",George Davis Invitational T&F Meet,2014-04-12,1.7,LJ,W
79,"Harrell, Brittany",JR-3,Florida,6.07m,"19' 11""",2014 Clyde Littlefield Texas Relays,2014-03-26,-3.1,LJ,W
79,"Cray, Ernestine",SR-4,UTSA,6.07m,"19' 11""",Conference USA Outdoor Track & Field Championships,2014-05-15,0.0,LJ,W
79,"Stacey, Ashley",SR-4,Michigan State,6.07m,"19' 11""",Raleigh Relays (College/University),2014-03-28,1.2,LJ,W
79,"Jones, Donjhae",SO-2,Georgia Tech,6.07m,"19' 11""",Georgia Invitational,2014-05-10,1.6,LJ,W
85,"Schuh, Carlye",SR-4,Marquette,6.06m,"19' 10.75""",Mt. SAC Relays,2014-04-17,2.7,LJ,W
85,"Thomas, Shanieka",SR-4,San Diego St.,6.06m,"19' 10.75""",2014 Cal-Nevada Track & Field Championships,2014-04-04,0.5,LJ,W
85,"Nesbit, Stormy",SR-4,West Virginia,6.06m,"19' 10.75""",Big 12 Outdoor Track and Field Championships,2014-05-16,-2.7,LJ,W
88,"Butts, Tynita",SR-4,East Carolina,6.05m,"19' 10.25""",Conference USA Outdoor Track & Field Championships,2014-05-15,-1.4,LJ,W
88,"Goodman, Antoinette",SR-4,North Dakota St.,6.05m,"19' 10.25""",Summit League Outdoor Track & Field Championships,2014-05-15,1.5,LJ,W
88,"Furbert, Kerri",SO-2,Missouri,6.05m,"19' 10.25""",Missouri Relays,2014-04-11,3.2,LJ,W
91,"Wharton, Krystal",JR-3,UNLV,6.04m,"19' 9.75""",adidas/Steve Scott Invit. (college),2014-05-02,0.4,LJ,W
91,"Johnson, Tristine",SR-4,North Carolina,6.04m,"19' 9.75""",ACC Outdoor Track & Field Championships,2014-04-17,-0.5,LJ,W
91,"Crawford, Christina",JR-3,Ball State,6.04m,"19' 9.75""",Redhawk Invitational,2014-04-26,0.1,LJ,W
94,"Busbee, Erin",SR-4,Michigan,6.03m,"19' 9.5""",Payton Jordan Cardinal Invitational,2014-05-04,-1.1,LJ,W
94,"Madu, Jennifer",SO-2,Texas A&M,6.03m,"19' 9.5""",SEC Outdoor Championship,2014-05-15,1.6,LJ,W
94,"Jackson, Gionna",SO-2,Texas Tech,6.03m,"19' 9.5""",TTU Red Raider Open,2014-05-03,0.7,LJ,W
94,"Idris, Amira",JR-3,Delaware,6.03m,"19' 9.5""",CAA Track and Field Championships,2014-05-02,1.2,LJ,W
98,"Marler, Aasha",JR-3,New Mexico,6.02m,"19' 9""",Tailwind Open,2014-05-02,-0.6,LJ,W
98,"Chapman, Quintunya",JR-3,Georgia,6.02m,"19' 9""",SEC Outdoor Championship,2014-05-15,3.9,LJ,W
98,"Delophont, Dior",SO-2,Kent State,6.02m,"19' 9""",Mid-American Outdoor Track & Field Championships,2014-05-15,0.0,LJ,W
1,"Burks, Quanesha",SO-2,Alabama,6.84m,"22' 5.25""",SEC Championships,2015-05-14,1.9,LJ,W
2,"Friar, Nataliyah",SO-2,LSU,6.67m,"21' 10.75""",SEC Championships,2015-05-14,2.5,LJ,W
3,"Orji, Keturah",FR-1,Georgia,6.63m,"21' 9""",Georgia Invitational,2015-05-09,1.0,LJ,W
4,"Conley, Sydney",JR-3,Kansas,6.57m,"21' 6.75""",Rock Chalk Classic,2015-05-02,3.5,LJ,W
5,"Porter, Chanice",JR-3,Georgia,6.53m,"21' 5.25""",SEC Championships,2015-05-14,2.7,LJ,W
6,"Saunders, Sha'Keela",SO-2,Kentucky,6.52m,"21' 4.75""",SEC Championships,2015-05-14,1.7,LJ,W
7,"Hackworth, Kenyattia",SR-4,Kentucky,6.48m,"21' 3.25""",SEC Championships,2015-05-14,2.6,LJ,W
8,"Williams, Kendell",SO-2,Georgia,6.46m,"21' 2.5""",Georgia Invitational,2015-05-09,0.1,LJ,W
9,"Jones, Akela",JR-3,Kansas State,6.43m,"21' 1.25""",Big 12 Outdoor Track & Field Championships,2015-05-15,0.8,LJ,W
10,"Faulknor, Alexis",JR-3,USC,6.42m,"21' 0.75""",Pac-12 Track & Field Championships,2015-05-15,3.7,LJ,W
11,"Prandini, Jenna",JR-3,Oregon,6.41m,"21' 0.5""",Pepsi Team Invitational,2015-04-11,-1.6,LJ,W
12,"Freeman, Der'Renae",JR-3,Florida State,6.40m,"21' 0""",Longhorn Invitational,2015-05-02,2.0,LJ,W
13,"Bougard, Erica",JR-3,Miss State,6.39m,"20' 11.75""",SEC Championships,2015-05-14,2.6,LJ,W
14,"Perry, Alexis",JR-3,North Carolina St.,6.36m,"20' 10.5""",Duke Twilight,2015-05-06,-0.1,LJ,W
15,"Rahn, Xenia",SR-4,North Carolina,6.35m,"20' 10""",Georgia Bulldog Decathlon/Heptathlon,2015-04-08,0.8,LJ,W
16,"Walker, Courtney",SR-4,Jacksonville,6.34m,"20' 9.75""",UCF Twilight,2015-04-30,2.8,LJ,W
17,"Simms, Baileh",SO-2,Portland State,6.33m,"20' 9.25""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,2.1,LJ,W
18,"Maslowski, Teddi",JR-3,Duke,6.31m,"20' 8.5""",Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,0.4,LJ,W
18,"Todd, Jasmine",SO-2,Oregon,6.31m,"20' 8.5""",Pac-12 Track & Field Championships,2015-05-15,1.0,LJ,W
20,"Bullock, Dominique",FR-1,Auburn,6.30m,"20' 8""",Tiger Track Classic 2015,2015-04-03,2.5,LJ,W
20,"Czuth, Reka",FR-1,Nebraska,6.30m,"20' 8""",Big Ten Outdoor Track & Field Championships,2015-05-15,1.1,LJ,W
22,"Armstrong, Keishorea",SO-2,Binghamton,6.29m,"20' 7.75""",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,0.0,LJ,W
22,"Bowens, Sarah",JR-3,Connecticut,6.29m,"20' 7.75""",Larry Ellis (College),2015-04-17,-2.4,LJ,W
22,"Maduka, Jessie",FR-1,UCLA,6.29m,"20' 7.75""",Pac-12 Track & Field Championships,2015-05-15,-0.3,LJ,W
22,"Jones, Chancis",SO-2,Austin Peay,6.29m,"20' 7.75""",Ohio Valley Conference Championships,2015-05-15,3.0,LJ,W
26,"Gochenour, Alex",JR-3,Arkansas,6.27m,"20' 7""",2015 Clyde Littlefield Texas Relays,2015-03-25,3.6,LJ,W
26,"Vodova, Katerina",SR-4,Tulane,6.27m,"20' 7""",Longhorn Invitational,2015-05-02,2.0,LJ,W
28,"Madu, Jennifer",JR-3,Texas A&M,6.26m,"20' 6.5""",TCU Horned Frog Invite,2015-05-02,4.0,LJ,W
28,"McQueen, Darrielle",FR-1,Florida,6.26m,"20' 6.5""",SEC Championships,2015-05-14,2.9,LJ,W
28,"Fluellen, Phillicia",JR-3,FIU,6.26m,"20' 6.5""",UCF Twilight,2015-04-30,2.0,LJ,W
28,"Chapman, Quintunya",SR-4,Georgia,6.26m,"20' 6.5""",Georgia Bulldog Decathlon/Heptathlon,2015-04-08,0.2,LJ,W
28,"Imagbe, Stacy",SR-4,UL-Lafayette,6.26m,"20' 6.5""",McNeese Cowboy Relays,2015-03-14,1.7,LJ,W
33,"McCoy, Jazmin",SO-2,Nebraska,6.25m,"20' 6.25""",Big Ten Outdoor Track & Field Championships,2015-05-15,1.3,LJ,W
33,"Brooks, Taliyah",FR-1,Arkansas,6.25m,"20' 6.25""",Stanford Invitational,2015-04-03,3.2,LJ,W
33,"Wash, Bre'Yana",SO-2,Louisville,6.25m,"20' 6.25""",Louisville Twilight,2015-05-08,1.4,LJ,W
36,"Pledger, Le'Tristan",JR-3,Texas Tech,6.24m,"20' 5.75""",Texas Tech Red Raider Open,2015-04-30,1.8,LJ,W
37,"Allen, Alisha",JR-3,Northern Colorado,6.23m,"20' 5.25""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,2.4,LJ,W
38,"Murphy, Alexis",JR-3,South Carolina,6.22m,"20' 5""",SEC Championships,2015-05-14,2.6,LJ,W
38,"Littleton, Danielle",SR-4,UC Riverside,6.22m,"20' 5""",Mt. SAC Relays,2015-04-16,2.1,LJ,W
40,"Luque, Jhoanmy",FR-1,Iowa State,6.19m,"20' 3.75""",LSU Alumni Gold,2015-04-18,2.6,LJ,W
40,"Vollmer, Lindsay",SR-4,Kansas,6.19m,"20' 3.75""",John McDonnell Invitational,2015-04-10,0.1,LJ,W
42,"Craddock, Charla",SR-4,Louisiana Tech,6.18m,"20' 3.5""",TCU Horned Frog Invite,2015-05-02,3.3,LJ,W
42,"Ries, Chyna",FR-1,Texas,6.18m,"20' 3.5""",2015 Clyde Littlefield Texas Relays,2015-03-25,2.7,LJ,W
44,"McDonald, Fabia",SR-4,Mississippi,6.16m,"20' 2.5""",Virginia Challenge,2015-04-17,1.9,LJ,W
44,"Dameus, Clairwin",JR-3,Tennessee St.,6.16m,"20' 2.5""",Ohio Valley Conference Championships,2015-05-15,1.3,LJ,W
44,"LaFond, Thea",SR-4,Maryland,6.16m,"20' 2.5""",Big Ten Outdoor Track & Field Championships,2015-05-15,1.8,LJ,W
47,"Gibson, Dannielle",SO-2,Penn State,6.15m,"20' 2.25""",Big Ten Outdoor Track & Field Championships,2015-05-15,1.3,LJ,W
47,"Thomas, Jahisha",FR-1,Iowa,6.15m,"20' 2.25""",Musco Invitational,2015-05-02,2.7,LJ,W
47,"Owusu-Sampah, Ebony",SO-2,James Madison,6.15m,"20' 2.25""",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,1.8,LJ,W
47,"Francis, Janel",JR-3,Richmond,6.15m,"20' 2.25""",Atlantic 10 Championships,2015-05-02,2.8,LJ,W
51,"Adams, Mia",JR-3,Louisiana Tech,6.14m,"20' 1.75""",2015 Clyde Littlefield Texas Relays,2015-03-25,2.9,LJ,W
51,"Richards, Madisen",FR-1,USC,6.14m,"20' 1.75""",Florida Relays,2015-04-02,-0.3,LJ,W
51,"Broomfield, Robiann",JR-3,Missouri State,6.14m,"20' 1.75""",2015 MVC Outdoor Track and Field Championships,2015-05-15,1.3,LJ,W
51,"Brazzel, Tamika",JR-3,Tulane,6.14m,"20' 1.75""",Longhorn Invitational,2015-05-02,2.5,LJ,W
55,"Larch-Miller, Nikki",JR-3,Wichita State,6.13m,"20' 1.5""",2015 MVC Outdoor Track and Field Championships,2015-05-15,2.3,LJ,W
55,"Johnson, Simone",JR-3,McNeese State,6.13m,"20' 1.5""",Southland Conference Championship,2015-05-08,0.9,LJ,W
55,"Conway, Ashley",SR-4,Murray State,6.13m,"20' 1.5""",ASU Red Wolf Open,2015-04-24,1.6,LJ,W
55,"Hammond, India",JR-3,Mid. Tenn. State,6.13m,"20' 1.5""",Tiger Track Classic 2015,2015-04-03,1.3,LJ,W
55,"Jackson, Gionna",JR-3,Texas Tech,6.13m,"20' 1.5""",Big 12 Outdoor Track & Field Championships,2015-05-15,2.0,LJ,W
55,"King, Kennedy",SO-2,James Madison,6.13m,"20' 1.5""",CAA Outdoor Track and Field Championships,2015-05-01,0.5,LJ,W
61,"White, Kierra",SR-4,Mississippi,6.12m,"20' 1""",Tiger Track Classic 2015,2015-04-03,2.3,LJ,W
61,"Mitchell, Tia",SR-4,UL-Lafayette,6.12m,"20' 1""",2015 Clyde Littlefield Texas Relays,2015-03-25,2.3,LJ,W
61,"Torres, Abrianna",JR-3,Colorado,6.12m,"20' 1""",Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,2.4,LJ,W
