,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
30,"Williams, Tierra",SR-4,Nebraska,6.34m,"20' 9.75""",2017 Nebraska Invitational,2017-05-06,1.1,LJ,W
30,"Dadzie, Elizabeth",SR-4,Mid. Tenn. State,6.34m,"20' 9.75""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,0.0,LJ,W
30,"Collins, Angelica",JR-3,Clemson,6.34m,"20' 9.75""",LSU Alumni Gold,2017-04-22,2.2,LJ,W
30,"Jackson, Rose",SR-4,North Dakota State,6.34m,"20' 9.75""",The Summit League Outdoor Track & Field Championships,2017-05-11,3.2,LJ,W
34,"Gibbons, Alexis",FR-1,Louisville,6.32m,"20' 9""",2017 Louisville Invitational,2017-04-14,2.7,LJ,W
34,"Mbah, Kellsa",JR-3,Cincinnati,6.32m,"20' 9""",The American Outdoor Track & Field Championships,2017-05-12,1.2,LJ,W
34,"Armstrong, Keishorea",JR-3,Binghamton,6.32m,"20' 9""",IC4A/ECAC Outdoor Track & Field Championships,2017-05-12,1.2,LJ,W
34,"Thomas, Jahisha",JR-3,Iowa,6.32m,"20' 9""",Big Ten Outdoor Championships,2017-05-12,1.9,LJ,W
38,"Jones, Margaux",SO-2,USC,6.31m,"20' 8.5""",Beach Invitational,2017-04-14,0.0,LJ,W
38,"Akobundu, Madeleine",FR-1,N. Carolina A&T,6.31m,"20' 8.5""",UF Tom Jones Memorial,2017-04-28,1.6,LJ,W
38,"Hughes, Amber",SR-4,Tennessee St.,6.31m,"20' 8.5""",OVC Outdoor Track & Field Championship,2017-05-11,0.0,LJ,W
41,"Nelson, Ariane",SR-4,Indiana,6.30m,"20' 8""",Longhorn Invitational,2017-04-28,2.5,LJ,W
41,"Petrokaite, Jogaile",JR-3,Florida State,6.30m,"20' 8""",Stanford Cardinal Classic,2017-04-21,2.4,LJ,W
43,"Brooks, Shemiah",SR-4,Arkansas State,6.29m,"20' 7.75""",Memphis Invitational 2017,2017-04-28,1.5,LJ,W
43,"Oliver, Briona",JR-3,TCU,6.29m,"20' 7.75""",2017 Horned Frog Invitational,2017-04-15,0.0,LJ,W
43,"Williams, Thai",SO-2,Lamar,6.29m,"20' 7.75""",Texas State Bobcat Invitational,2017-03-30,3.8,LJ,W
46,"Hani, Abby",SR-4,Texas State,6.28m,"20' 7.25""",Texas State Bobcat Classic,2017-04-28,2.8,LJ,W
46,"Bryan, Danique",SO-2,West Virginia,6.28m,"20' 7.25""",Bison Outdoor Classic,2017-04-14,0.0,LJ,W
46,"Lott, Leah",SR-4,Miss State,6.28m,"20' 7.25""",SEC Relays,2017-04-28,2.0,LJ,W
49,"Thomas, Gabrielle",SO-2,Harvard,6.27m,"20' 7""",Stanford Cardinal Classic,2017-04-21,1.3,LJ,W
49,"Hinton, Kaylee",SO-2,Texas Tech,6.27m,"20' 7""",2017 Horned Frog Invitational,2017-04-15,1.9,LJ,W
49,"Fleming, Tayler",JR-3,UC Riverside,6.27m,"20' 7""",Highlander Challenge,2017-04-22,2.2,LJ,W
52,"Wash, Bre'Yana",SR-4,Louisville,6.26m,"20' 6.5""",2017 Louisville Invitational,2017-04-14,1.6,LJ,W
52,"Foster, Rhesa",FR-1,Oregon,6.26m,"20' 6.5""",Pac-12 Championships,2017-05-13,1.1,LJ,W
54,"Van der Merwe, Zanri",SR-4,Kansas State,6.25m,"20' 6.25""",KSU Ward Haylett Invite,2017-05-06,2.6,LJ,W
54,"Bullock, Dominique",JR-3,Auburn,6.25m,"20' 6.25""",SEC Outdoor Track & Field Championships,2017-05-11,1.6,LJ,W
54,"Gayles, Daryth",JR-3,Stanford,6.25m,"20' 6.25""",Longhorn Invitational,2017-04-28,2.7,LJ,W
54,"Johnson, Daniella",SR-4,Akron,6.25m,"20' 6.25""",Mid-American Outdoor Track & Field Championships,2017-05-11,1.5,LJ,W
54,"Herman, Kelsey",SO-2,Arkansas,6.25m,"20' 6.25""",John McDonnell Invitational,2017-04-21,1.4,LJ,W
59,"Phillips, Danielle",JR-3,LSU,6.24m,"20' 5.75""",SEC Relays,2017-04-28,2.8,LJ,W
60,"Hutchinson, Cheyenne",SR-4,East Carolina,6.22m,"20' 5""",The American Outdoor Track & Field Championships,2017-05-12,1.9,LJ,W
60,"Allen, Sabina",JR-3,Campbell,6.22m,"20' 5""",Big South Outdoor Track & Field Championships,2017-05-10,0.0,LJ,W
62,"Holmberg, Madeline",SO-2,Penn State,6.20m,"20' 4.25""",Penn Relays,2017-04-27,-0.3,LJ,W
62,"McClain, Amanda",SO-2,Illinois State,6.20m,"20' 4.25""",Illinois State Redbird Invitational,2017-04-08,2.7,LJ,W
62,"Okorie, Ariel",FR-1,Kansas State,6.20m,"20' 4.25""",KSU Ward Haylett Invite,2017-05-06,1.8,LJ,W
65,"Alli, Zuliat",FR-1,Texas Tech,6.19m,"20' 3.75""",Texas Tech Red Raider Shoot-Out,2017-04-28,2.4,LJ,W
66,"Czuth, Reka",JR-3,Nebraska,6.17m,"20' 3""",John Jacobs Invitational,2017-04-21,2.9,LJ,W
66,"Meade, Rechelle",FR-1,Idaho,6.17m,"20' 3""",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,3.2,LJ,W
66,"Barrow, Lisa-Anne",SO-2,San Diego St.,6.17m,"20' 3""",Mountain West Outdoor Track & Field Championships,2017-05-10,3.4,LJ,W
66,"Carey, Cayla",JR-3,Kent State,6.17m,"20' 3""",Mid-American Outdoor Track & Field Championships,2017-05-11,1.2,LJ,W
70,"Wright, Emily",FR-1,TCU,6.16m,"20' 2.5""",2017 Horned Frog Invitational,2017-04-15,2.6,LJ,W
71,"Fajemisin, Simi",FR-1,Harvard,6.15m,"20' 2.25""",Stanford Cardinal Classic,2017-04-21,0.4,LJ,W
71,"Kerrison, Stefani",SO-2,Miami,6.15m,"20' 2.25""",UF Tom Jones Memorial,2017-04-28,0.5,LJ,W
71,"ECKELS, Breanna",FR-1,North Texas,6.15m,"20' 2.25""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1.6,LJ,W
71,"Stumbaugh, Payton",JR-3,Arkansas,6.15m,"20' 2.25""",Arkansas Twilight,2017-05-05,3.2,LJ,W
71,"Maduka, Jessie",JR-3,UCLA,6.15m,"20' 2.25""",USC vs. UCLA,2017-04-29,1.5,LJ,W
71,"Hield, Kadeisha",SR-4,Nevada,6.15m,"20' 2.25""",Mountain West Outdoor Track & Field Championships,2017-05-10,3.0,LJ,W
71,"Cook, Chaquinn",SO-2,Oregon,6.15m,"20' 2.25""",Florida Relays,2017-03-30,1.9,LJ,W
78,"Richardson, Kayla",JR-3,Maryland,6.14m,"20' 1.75""",Virginia Challenge,2017-04-21,1.1,LJ,W
78,"Lewis, Raynesha",FR-1,Nebraska,6.14m,"20' 1.75""",Big Ten Outdoor Championships,2017-05-12,0.7,LJ,W
78,"Burke, Briana",JR-3,Arkansas-Pine Bluff,6.14m,"20' 1.75""",Memphis Invitational 2017,2017-04-28,1.9,LJ,W
78,"Pitts, Kaylnn",SR-4,Austin Peay,6.14m,"20' 1.75""",OVC Outdoor Track & Field Championship,2017-05-11,0.0,LJ,W
78,"Usgaard, Tori",SR-4,UC Santa Barbara,6.14m,"20' 1.75""",Cal Poly-UCSB Dual Meet,2017-04-29,4.0,LJ,W
83,"Jones, Chancis",JR-3,Austin Peay,6.13m,"20' 1.5""",OVC Outdoor Track & Field Championship,2017-05-11,0.0,LJ,W
83,"Wingeleth, Ann",FR-1,Utah,6.13m,"20' 1.5""",Utah/Weber State Spring Classic,2017-04-07,1.0,LJ,W
83,"Richards, Madisen",JR-3,USC,6.13m,"20' 1.5""",USC vs. UCLA,2017-04-29,2.1,LJ,W
83,"Abire, Mercy",FR-1,Oral Roberts,6.13m,"20' 1.5""",John Jacobs Invitational,2017-04-21,2.2,LJ,W
83,"Bryan, Chenell",SR-4,Western Carolina,6.13m,"20' 1.5""",Southern Conference Outdoor Championships 2017,2017-05-11,3.4,LJ,W
83,"Atkins, Kyra",SO-2,East Tenn. St.,6.13m,"20' 1.5""",Southern Conference Outdoor Championships 2017,2017-05-11,3.2,LJ,W
89,"Cooks, Riley",SR-4,Long Beach St.,6.12m,"20' 1""",2017 Big West Multi Championships,2017-05-05,2.0,LJ,W
89,"Love, Chassity",SO-2,UT-Arlington,6.12m,"20' 1""",Texas Invitational,2017-04-14,2.6,LJ,W
89,"Gray, Jordan",SO-2,Kennesaw State,6.12m,"20' 1""",ASUN Outdoor Track & Field Championships,2017-05-12,2.1,LJ,W
89,"Gooden, Jazmine",FR-1,Western Carolina,6.12m,"20' 1""",Southern Conference Outdoor Championships 2017,2017-05-11,2.8,LJ,W
89,"Williams, Nadia",FR-1,Central Michigan,6.12m,"20' 1""",Mid-American Outdoor Track & Field Championships,2017-05-11,0.0,LJ,W
89,"Taintor, Amy",JR-3,Miami,6.12m,"20' 1""",Miami Hurricane Invitational,2017-03-17,2.2,LJ,W
89,"Conley, Janel",SR-4,Rhode Island,6.12m,"20' 1""",Atlantic 10 Outdoor Track & Field Championships,2017-05-06,3.5,LJ,W
96,"Amsterdam, Iana",SR-4,Clemson,6.10m,"20' 0.25""",Penn Relays,2017-04-27,2.0,LJ,W
96,"DeLoach, Taylor",FR-1,Ohio State,6.10m,"20' 0.25""",2017 Jesse Owens University Classic,2017-04-21,1.7,LJ,W
96,"Boardingham, Naiah",FR-1,Cal St. Fullerton,6.10m,"20' 0.25""",Fresno State Invitational,2017-04-29,0.6,LJ,W
96,"Mcdonald, Janiel",SR-4,Louisiana Tech,6.10m,"20' 0.25""",Skechers Performance Carl Kight Invitational,2017-04-06,1.8,LJ,W
96,"Saernvaang, Thilda",FR-1,UT-Arlington,6.10m,"20' 0.25""",Baylor Invitational,2017-04-08,2.7,LJ,W
1,"Burks, Quanesha",JR-3,Alabama,6.77m,"22' 2.5""",SEC Championships,2016-05-12,-0.4,LJ,W
2,"Jones, Akela",SR-4,Kansas State,6.75m,"22' 1.75""",Big 12 Outdoor Track & Field Championships,2016-05-13,1.8,LJ,W
3,"Saunders, Sha'Keela",JR-3,Kentucky,6.66m,"21' 10.25""",LSU Invitational,2016-04-30,3.4,LJ,W
4,"Sears, Je'Nia",SR-4,Fresno State,6.63m,"21' 9""",Bulldog Invitational,2016-04-23,1.8,LJ,W
5,"Porter, Chanice",SR-4,Georgia,6.60m,"21' 8""",SEC Championships,2016-05-12,0.1,LJ,W
6,"Perry, Alexis",SR-4,North Carolina St.,6.57m,"21' 6.75""",Virginia Challenge,2016-04-22,-1.8,LJ,W
7,"Orji, Keturah",SO-2,Georgia,6.55m,"21' 6""",Georgia Invitational,2016-04-30,0.6,LJ,W
8,"Freeman, Der'Renae",SR-4,Florida State,6.54m,"21' 5.5""",ACC Championships,2016-05-13,-0.3,LJ,W
8,"Farquharson, Gabrielle",SR-4,Rutgers,6.54m,"21' 5.5""",Seminole Invitational,2016-04-15,0.0,LJ,W
10,"Price, Kylie",SR-4,UCLA,6.52m,"21' 4.75""",Jim Bush Collegiate Invitational,2016-03-22,2.8,LJ,W
10,"Petrokaite, Jogaile",SO-2,Florida State,6.52m,"21' 4.75""",ACC Championships,2016-05-13,2.2,LJ,W
12,"Carter , Destiny",JR-3,Kentucky,6.51m,"21' 4.25""",Virginia Challenge,2016-04-22,1.3,LJ,W
13,"Williams, Tierra",JR-3,Nebraska,6.50m,"21' 4""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,2.2,LJ,W
14,"Bullock, Dominique",SO-2,Auburn,6.48m,"21' 3.25""",War Eagle Invitational,2016-04-22,1.7,LJ,W
15,"Matthews, Bria",FR-1,Georgia Tech,6.47m,"21' 2.75""",ACC Championships,2016-05-13,0.6,LJ,W
15,"Jones, Margaux",FR-1,USC,6.47m,"21' 2.75""",Mt. SAC Relays,2016-04-14,3.4,LJ,W
17,"Carson, Savannah",SO-2,Purdue,6.44m,"21' 1.5""",LSU Battle on the Bayou,2016-04-09,1.4,LJ,W
18,"Fleming, Tayler",SO-2,UC Riverside,6.39m,"20' 11.75""",2016 Big West Multi-Championship,2016-05-06,1.8,LJ,W
18,"Woods, Cidaea'",SO-2,Tennessee,6.39m,"20' 11.75""",SEC Championships,2016-05-12,2.6,LJ,W
18,"Brooks, Taliyah",SO-2,Arkansas,6.39m,"20' 11.75""",Arkansas Twilight,2016-05-06,-2.0,LJ,W
21,"Dameus, Clairwin",SR-4,Tennessee St.,6.38m,"20' 11.25""",Ohio Valley Conference Championship,2016-05-13,1.8,LJ,W
22,"Gales, Ayana",JR-3,UNLV,6.37m,"20' 10.75""",Mountain West Championships,2016-05-11,3.8,LJ,W
23,"Williams, Kendell",JR-3,Georgia,6.36m,"20' 10.5""",Georgia Invitational,2016-04-30,2.0,LJ,W
24,"McQueen, Darrielle",SO-2,Florida,6.35m,"20' 10""",Power Conference Cardinal & Gold,2016-03-25,0.8,LJ,W
24,"Phillips, Stormm",JR-3,Jacksonville,6.35m,"20' 10""",UF Tom Jones Memorial,2016-04-22,3.2,LJ,W
26,"Jackson, Gionna",SR-4,Texas Tech,6.34m,"20' 9.75""",Texas Tech Masked Rider Open,2016-05-06,2.3,LJ,W
27,"Friar, Nataliyah",JR-3,LSU,6.32m,"20' 9""",LSU Alumni Gold,2016-04-23,2.3,LJ,W
28,"David, Yanis",FR-1,Florida,6.31m,"20' 8.5""",SEC Championships,2016-05-12,-0.8,LJ,W
29,"Wash, Bre'Yana",JR-3,Louisville,6.30m,"20' 8""",USF Bulls Invitational,2016-03-17,3.0,LJ,W
29,"Czuth, Reka",SO-2,Nebraska,6.30m,"20' 8""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,3.1,LJ,W
31,"Bougard, Erica",SR-4,Miss State,6.28m,"20' 7.25""",LSU Alumni Gold,2016-04-23,1.9,LJ,W
32,"Todd, Jasmine",JR-3,Oregon,6.27m,"20' 7""",Pac-12 Outdoor Track & Field Championships,2016-05-14,1.3,LJ,W
32,"Adams, Mia",SR-4,Louisiana Tech,6.27m,"20' 7""",Jim Mize Invitational,2016-03-18,3.9,LJ,W
34,"Simms, Baileh",JR-3,Oklahoma,6.26m,"20' 6.5""",LSU Battle on the Bayou,2016-04-09,2.8,LJ,W
35,"Luque, Jhoanmy",SO-2,Iowa State,6.25m,"20' 6.25""",LSU Alumni Gold,2016-04-23,1.2,LJ,W
36,"Mbah, Kellsa",SO-2,Cincinnati,6.24m,"20' 5.75""",Lenny Lyles-Clark Wood Invitational,2016-04-21,1.3,LJ,W
37,"Siefring, Jaclyn",SO-2,Akron,6.23m,"20' 5.25""",Akron - Cambell/Wright Open,2016-05-06,2.7,LJ,W
38,"Barron, Mia",FR-1,Virginia,6.22m,"20' 5""",Virginia Challenge,2016-04-22,1.3,LJ,W
39,"Dadzie, Elizabeth",JR-3,Mid. Tenn. State,6.21m,"20' 4.5""",Bulldog Decathlon-Heptathlon,2016-04-06,1.3,LJ,W
39,"Johnson, Daniella",JR-3,Akron,6.21m,"20' 4.5""",Mid-American Conference Championship,2016-05-12,-0.4,LJ,W
41,"Maduka, Jessie",SO-2,UCLA,6.20m,"20' 4.25""",Bruin Legends of T&F Invitational,2016-04-02,3.0,LJ,W
42,"Gayles, Daryth",SO-2,Stanford,6.19m,"20' 3.75""",Payton Jordan Invitational,2016-05-01,3.0,LJ,W
42,"Faulknor, Alexis",SR-4,USC,6.19m,"20' 3.75""",UCLA vs. USC Dual Meet,2016-05-01,-1.0,LJ,W
42,"Marler, Aasha",SR-4,New Mexico,6.19m,"20' 3.75""",Don Kirby Tailwind Open,2016-04-02,1.6,LJ,W
42,"Ellenwood, Georgia",JR-3,Wisconsin,6.19m,"20' 3.75""",2016 Triton Invitational,2016-04-22,1.9,LJ,W
42,"Herman, Kelsey",FR-1,Arkansas,6.19m,"20' 3.75""",Arkansas Spring Invitational,2016-03-25,2.0,LJ,W
42,"Amusan, Tobi",FR-1,UTEP,6.19m,"20' 3.75""",Brutus Hamilton Challenge,2016-04-23,2.5,LJ,W
48,"Allen, Sabina",SO-2,Campbell,6.18m,"20' 3.5""",Campbell University Invitational,2016-04-15,0.2,LJ,W
49,"Abrahamsson, Rebecka",SO-2,Cincinnati,6.17m,"20' 3""",Tiger Track Classic,2016-04-08,3.4,LJ,W
49,"Tibbs, Keyasia",JR-3,Arizona State,6.17m,"20' 3""",2016 Duel in the Desert,2016-04-30,2.0,LJ,W
49,"O'Neal, Jorden",FR-1,UC Riverside,6.17m,"20' 3""",UC Riverside Spring Break Invitational,2016-03-24,1.8,LJ,W
49,"Brown, Adriunna",JR-3,UL-Monroe,6.17m,"20' 3""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,2.7,LJ,W
49,"Jones, Donjhae",SR-4,Georgia Tech,6.17m,"20' 3""",Florida Relays,2016-03-31,0.0,LJ,W
49,"Sadeiko, Grete",JR-3,Florida State,6.17m,"20' 3""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,2.4,LJ,W
55,"McClain, Amanda",FR-1,Illinois State,6.16m,"20' 2.5""",Virginia Challenge,2016-04-22,1.1,LJ,W
55,"Bowens, Sarah",SR-4,Connecticut,6.16m,"20' 2.5""",The American Outdoor Track & Field Championships,2016-05-12,-0.4,LJ,W
55,"Allen, Alisha",SR-4,Northern Colorado,6.16m,"20' 2.5""",CSM Nature's Bakery Invite,2016-04-23,3.8,LJ,W
58,"Evans, Samantha",JR-3,Montana,6.15m,"20' 2.25""",Big Sky Outdoor Track & Field Championships,2016-05-11,2.4,LJ,W
58,"Wright, Sydney",SR-4,Memphis,6.15m,"20' 2.25""",Memphis Tiger Invitational,2016-04-29,0.0,LJ,W
58,"Girardeau, Darlene",JR-3,Appalachian State,6.15m,"20' 2.25""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,1.4,LJ,W
61,"Phillips, Danielle",SO-2,LSU,6.14m,"20' 1.75""",Miami Hurricane Twilight Invitational,2016-03-25,1.0,LJ,W
61,"Latham, Viershanie",JR-3,Texas Tech,6.14m,"20' 1.75""",Michael Johnson Classic,2016-04-23,1.7,LJ,W
61,"McCoy, Jazmin",JR-3,Nebraska,6.14m,"20' 1.75""",2016 Nebraska Invitational,2016-05-07,0.3,LJ,W
61,"Hammond, India",SR-4,Mid. Tenn. State,6.14m,"20' 1.75""",War Eagle Invitational,2016-04-22,3.5,LJ,W
61,"Flannigan, Makaila",JR-3,TCU,6.14m,"20' 1.75""",Jim Click Shootout,2016-04-09,1.4,LJ,W
66,"Nesmith, Amani",JR-3,Texas Tech,6.13m,"20' 1.5""",Michael Johnson Classic,2016-04-23,1.6,LJ,W
66,"Abdullah-Muhammad, Qetuwrah",SO-2,Mid. Tenn. State,6.13m,"20' 1.5""",2016 Govs Invitational,2016-04-15,2.5,LJ,W
66,"Hunter, Yamani",FR-1,Purdue,6.13m,"20' 1.5""",Rankin/Poehlein Invitational,2016-05-06,1.5,LJ,W
66,"Ebwea-Bile, Marie-Josee",FR-1,Kentucky,6.13m,"20' 1.5""",Virginia Challenge,2016-04-22,0.0,LJ,W
66,"Bowe, Samantha",SR-4,New Mexico,6.13m,"20' 1.5""",Mountain West Championships,2016-05-11,2.6,LJ,W
66,"Stumbaugh, Payton",SO-2,Arkansas,6.13m,"20' 1.5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,1.7,LJ,W
66,"Hughes, Amber",JR-3,Tennessee St.,6.13m,"20' 1.5""",Ohio Valley Conference Championship,2016-05-13,1.4,LJ,W
73,"Heck, Kari",SR-4,Nebraska,6.11m,"20' 0.5""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,2.2,LJ,W
73,"Collins, Kenya",JR-3,Georgia Tech,6.11m,"20' 0.5""",Georgia Tech Yellow Jacket Invitational,2016-03-25,1.0,LJ,W
75,"Erickson, Roseanne",SR-4,Kent State,6.10m,"20' 0.25""",Georgia Tech Yellow Jacket Invitational,2016-03-25,0.8,LJ,W
75,"Dent, Lacey",SR-4,Alabama,6.10m,"20' 0.25""",LSU Invitational,2016-04-30,1.9,LJ,W
75,"Pearce, Mikayla",JR-3,Buffalo,6.10m,"20' 0.25""",University at Buffalo Open,2016-04-30,-3.3,LJ,W
75,"Nelson, Ariane",JR-3,Indiana,6.10m,"20' 0.25""",2016 Billy Hayes Invitational,2016-05-06,1.8,LJ,W
75,"Land, Mimi",SR-4,Clemson,6.10m,"20' 0.25""",ACC Championships,2016-05-13,0.9,LJ,W
75,"Dicks, Natasha",JR-3,South Carolina,6.10m,"20' 0.25""",SEC Championships,2016-05-12,2.8,LJ,W
75,"Fotopoulou , Filippa",SO-2,Alabama,6.10m,"20' 0.25""",SEC Championships,2016-05-12,1.4,LJ,W
75,"Gibson, Dannielle",JR-3,Penn State,6.10m,"20' 0.25""",Pac-12 vs Big 10 Invitational,2016-03-25,0.2,LJ,W
83,"Stewart, Shanice",SR-4,Texas Tech,6.07m,"19' 11""",TCU Invitational,2016-03-17,-1.9,LJ,W
83,"Thomas, Jahisha",SO-2,Iowa,6.07m,"19' 11""",Jim Click Shootout,2016-04-09,2.5,LJ,W
85,"Anumba, Faith",SR-4,UCLA,6.06m,"19' 10.75""",UCLA vs. USC Dual Meet,2016-05-01,0.0,LJ,W
85,"Hicks, Traci",SR-4,Arizona,6.06m,"19' 10.75""",2016 Duel in the Desert,2016-04-30,2.0,LJ,W
85,"Dreimane, Dace",SO-2,Eastern Michigan,6.06m,"19' 10.75""",Mid-American Conference Championship,2016-05-12,2.7,LJ,W
88,"Hankenson, Holly",FR-1,Louisville,6.05m,"19' 10.25""",Rankin/Poehlein Invitational,2016-05-06,0.1,LJ,W
89,"Black, Jazzelena",SR-4,South Dakota St.,6.04m,"19' 9.75""",2016 Drake Relays presented by Hy-Vee,2016-04-27,2.2,LJ,W
89,"Simpson, Latesha",SR-4,Coastal Carolina,6.04m,"19' 9.75""",Big South Outdoor Track & Field Championships,2016-05-10,2.6,LJ,W
89,"Iuel, Amalie",JR-3,USC,6.04m,"19' 9.75""",Sam Adams Combined Events,2016-04-01,0.0,LJ,W
89,"Li, Catherine",SR-4,UC Davis,6.04m,"19' 9.75""",Big West Outdoor Track & Field Championships,2016-05-13,2.1,LJ,W
93,"Gochenour, Alex",SR-4,Arkansas,6.03m,"19' 9.5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,1.9,LJ,W
93,"Hinton, Kaylee",FR-1,Texas Tech,6.03m,"19' 9.5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,3.3,LJ,W
93,"Schuhmeier, Phoenisha",JR-3,UC Riverside,6.03m,"19' 9.5""",UC Riverside Spring Break Invitational,2016-03-24,1.1,LJ,W
96,"Van der Merwe, Zanri",JR-3,Kansas State,6.02m,"19' 9""",2016 Ward Haylett Invitational,2016-05-07,-0.3,LJ,W
96,"Brim, Lynnsey",JR-3,Missouri,6.02m,"19' 9""",Tom Botts Invitational,2016-04-15,1.6,LJ,W
96,"Williams, Kiara",FR-1,Alabama,6.02m,"19' 9""",Florida Relays,2016-03-31,0.0,LJ,W
96,"Nolan, Jade",FR-1,Bowling Green,6.02m,"19' 9""",Bowling Green State Univ. Dual,2016-04-01,2.4,LJ,W
100,"Marten, Isabella",SO-2,California,6.01m,"19' 8.75""",Brutus Hamilton Challenge,2016-04-23,2.7,LJ,W
1,"Whisby, Aliyah",SO-2,Georgia,6.76m,"22' 2.25""",Torrin Lawrence Memorial,2019-04-26,0.6,LJ,W
2,"David, Yanis",SR-4,Florida,6.65m,"21' 10""",SEC Outdoor Track & Field Championships,2019-05-09,1.3,LJ,W
3,"Alexander, Sarea",SR-4,Incarnate Word,6.60m,"21' 8""",UIW Invitational,2019-04-12,0.1,LJ,W
3,"Pryce, Taishia",JR-3,Kansas State,6.60m,"21' 8""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,2.4,LJ,W
5,"Williams, Nadia",JR-3,Central Michigan,6.54m,"21' 5.5""",Mid-American Conference Outdoor Track & Field Championships,2019-05-09,1.0,LJ,W
6,"Williams, Kiara",SR-4,Alabama,6.53m,"21' 5.25""",SEC Outdoor Track & Field Championships,2019-05-09,0.6,LJ,W
6,"Gittens, Tyra",SO-2,Texas A&M,6.53m,"21' 5.25""",SEC Outdoor Track & Field Championships,2019-05-09,1.2,LJ,W
8,"Steels, Jasmyn",JR-3,Northwestern St.,6.52m,"21' 4.75""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,2.1,LJ,W
9,"Sow, Rougui",SR-4,Florida State,6.48m,"21' 3.25""",ACC Championships,2019-05-09,0.3,LJ,W
10,"Davis, Jerayah",SR-4,Wyoming,6.46m,"21' 2.5""",Beach Invitational,2019-04-19,0.0,LJ,W
10,"Perry, Janelle",SR-4,Central Michigan,6.46m,"21' 2.5""",Virginia Challenge,2019-04-19,2.2,LJ,W
12,"Petrokaite, Jogaile",SR-4,Florida State,6.44m,"21' 1.5""",ACC Championships,2019-05-09,0.5,LJ,W
12,"Barreira, Jessica",SR-4,Arizona State,6.44m,"21' 1.5""",2019 Desert Heat Classic,2019-04-27,1.5,LJ,W
12,"Walker, Ivy",JR-3,Texas Tech,6.44m,"21' 1.5""",Corky/Crofoot Shootout,2019-04-26,3.6,LJ,W
15,"Penn, Kala",JR-3,Florida,6.43m,"21' 1.25""",FSU Relays (College),2019-03-22,2.1,LJ,W
15,"Cheetham-West, Idatonye",JR-3,UT-Rio Grande Valley,6.43m,"21' 1.25""",WAC Outdoor Track and Field Championships,2019-05-09,0.0,LJ,W
15,"Spurgeon, Carsyn",JR-3,Tulsa,6.43m,"21' 1.25""",Drake Relays presented by Hy-Vee,2019-04-24,2.8,LJ,W
18,"Edwards, G'Auna",SO-2,Arkansas,6.42m,"21' 0.75""",The Reveille Meet,2019-04-06,1.3,LJ,W
18,"Acquah, Deborah",SO-2,Texas A&M,6.42m,"21' 0.75""",SEC Outdoor Track & Field Championships,2019-05-09,1.0,LJ,W
20,"Longmire, Destiny",JR-3,TCU,6.39m,"20' 11.75""",Jim Click Shootout,2019-04-06,0.5,LJ,W
20,"Sutton, Alonie",FR-1,Tennessee,6.39m,"20' 11.75""",SEC Outdoor Track & Field Championships,2019-05-09,1.6,LJ,W
20,"Gibbons, Alexis",JR-3,Louisville,6.39m,"20' 11.75""",37th Annual Victor Lopez Classic,2019-03-21,-0.2,LJ,W
23,"Abire, Mercy",JR-3,LSU,6.37m,"20' 10.75""",LSU Battle on the Bayou,2019-04-06,3.2,LJ,W
24,"Fokam, Michelle",JR-3,Rice,6.35m,"20' 10""",Houston Alumni Invitational,2019-04-06,3.1,LJ,W
24,"Foster, Rhesa",JR-3,Oregon,6.35m,"20' 10""",Mt. SAC Relays,2019-04-18,1.3,LJ,W
24,"DeLoach, Taylor",JR-3,Ohio State,6.35m,"20' 10""",Jesse Owens Classic - The Ohio State University,2019-04-26,0.2,LJ,W
27,"Woods, Taylor",SO-2,Connecticut,6.34m,"20' 9.75""",UCONN Northeast Challenge,2019-04-13,-1.1,LJ,W
27,"Pate, Janel",SR-4,North Carolina St.,6.34m,"20' 9.75""",ACC Championships,2019-05-09,0.1,LJ,W
27,"Hunt, Jaeda",FR-1,Georgia State,6.34m,"20' 9.75""",Torrin Lawrence Memorial,2019-04-26,1.2,LJ,W
30,"Thomas, Essence",SO-2,Oklahoma,6.32m,"20' 9""",Big 12 Outdoor Track and Field Championships,2019-05-10,0.6,LJ,W
30,"Smith, Zhane",SO-2,Kentucky,6.32m,"20' 9""",Tennessee Relays,2019-04-11,2.0,LJ,W
32,"Cole, Chelsey",SO-2,Texas Tech,6.30m,"20' 8""",Corky/Crofoot Shootout,2019-04-26,3.3,LJ,W
32,"Bright, Chantoba",FR-1,UTEP,6.30m,"20' 8""",UTEP Springtime,2019-03-15,3.1,LJ,W
