,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
86,"Buckwalter, Bryn",SR-4,Eastern Illinois,15.22m,"49' 11.25""",OVC Outdoor Track & Field Championship,2017-05-11,SP,W
87,"Crockett, Tamia",FR-1,Tennessee,15.21m,"49' 11""",Tennessee Relays,2017-04-06,SP,W
88,"Retzlaff, Bailey",FR-1,North Dakota State,15.19m,"49' 10""",NDSU Tune Up,2017-05-05,SP,W
89,"Dunn, Alyssa",SR-4,North Carolina St.,15.17m,"49' 9.25""",ACC Outdoor Track & Field Championships,2017-05-12,SP,W
89,"Stauffer, Emily",FR-1,Missouri,15.17m,"49' 9.25""",Crimson Tide Invitational,2017-04-07,SP,W
91,"Ebert, Victoria",JR-3,Charlotte,15.14m,"49' 8.25""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,SP,W
91,"Rossi, Jennifer",JR-3,Dayton,15.14m,"49' 8.25""",Illinois Twilight,2017-04-22,SP,W
91,"Machovec, Anna",JR-3,Georgia,15.14m,"49' 8.25""",Torrin Lawrence Memorial,2017-05-06,SP,W
94,"Umu, Tiarah",SR-4,Cal St. Northridge,15.11m,"49' 7""",2017 Big West Track & Field Championships,2017-05-12,SP,W
94,"Offiaeli, Kendra",FR-1,Brown,15.11m,"49' 7""",2017 Ocean State Invitational,2017-04-15,SP,W
94,"Bennett, Courtney",JR-3,Jacksonville St.,15.11m,"49' 7""",OVC Outdoor Track & Field Championship,2017-05-11,SP,W
97,"Hopkins, Kayla",JR-3,Fresno State,15.10m,"49' 6.5""",Mountain West Outdoor Track & Field Championships,2017-05-10,SP,W
98,"Tausaga, Laulauga",FR-1,Iowa,15.09m,"49' 6.25""",Jim Click Shootout,2017-04-08,SP,W
98,"Warren-Jacques, N'Dia",SO-2,UTSA,15.09m,"49' 6.25""",Roadrunner Invitational,2017-03-23,SP,W
98,"Hazlewood, Micaela",JR-3,Purdue,15.09m,"49' 6.25""",Rankin/Poehlein Invitational,2017-04-21,SP,W
1,"Saunders, Raven",SO-2,Mississippi,18.75m,"61' 6.25""",Alabama Relays,2016-03-17,SP,W
2,"Card, Kelsey",SR-4,Wisconsin,18.56m,"60' 10.75""",Wisconsin Twilight,2016-05-06,SP,W
3,"Farmer, Erin",JR-3,Arkansas State,17.80m,"58' 4.75""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,SP,W
4,"Ealey, Chase",SR-4,Oklahoma State,17.71m,"58' 1.25""",Arkansas Spring Invitational,2016-03-25,SP,W
5,"Owers, Torie",JR-3,UCLA,17.50m,"57' 5""",UCLA vs. Texas A&M Dual Meet,2016-04-16,SP,W
6,"Winters, Dani",SR-4,Kansas State,17.39m,"57' 0.75""",Big 12 Outdoor Track & Field Championships,2016-05-13,SP,W
7,"Muzaric, Valentina",SR-4,Auburn,17.37m,"57' 0""",Georgia Tech Yellow Jacket Invitational,2016-03-25,SP,W
8,"Jemison, Breana",JR-3,UC Riverside,17.36m,"56' 11.5""",Big West Outdoor Track & Field Championships,2016-05-13,SP,W
9,"Woodard, Jessica",SO-2,Oklahoma,17.30m,"56' 9.25""",Big 12 Outdoor Track & Field Championships,2016-05-13,SP,W
10,"Mann, Brittany",JR-3,Oregon,17.24m,"56' 6.75""",Oregon Twilight,2016-05-06,SP,W
11,"Hillman, Christina",SR-4,Iowa State,17.22m,"56' 6""",Big 12 Outdoor Track & Field Championships,2016-05-13,SP,W
12,"Smith, Megan",SR-4,TCU,17.21m,"56' 5.75""",TCU Invitational,2016-03-17,SP,W
13,"Wertman, Cassie",JR-3,Tennessee,17.17m,"56' 4""",SEC Championships,2016-05-12,SP,W
14,"Okwelogu, Nikki",JR-3,Harvard,17.16m,"56' 3.75""",Penn Relays,2016-04-28,SP,W
15,"Hicks, Cion",JR-3,Baylor,17.09m,"56' 1""",Big 12 Outdoor Track & Field Championships,2016-05-13,SP,W
16,"Cameron, Lloydricia",SO-2,Florida,17.06m,"55' 11.75""",Florida Relays,2016-03-31,SP,W
17,"Sapa, Tanya",JR-3,USC,16.96m,"55' 7.75""",UCLA vs. USC Dual Meet,2016-05-01,SP,W
17,"Fatherly, Rachel",SR-4,Penn State,16.96m,"55' 7.75""",Pac-12 vs Big 10 Invitational,2016-03-25,SP,W
19,"Dincoff, Rachel",SR-4,Auburn,16.95m,"55' 7.5""",Georgia Invitational,2016-04-30,SP,W
20,"Henderson, Emmonnie",JR-3,Louisville,16.93m,"55' 6.5""",2016 Louisville Invitational,2016-04-15,SP,W
21,"Bohan, Christine",JR-3,Virginia,16.87m,"55' 4.25""",Virginia Quad Meet,2016-04-08,SP,W
22,"Onyekwere, Chioma",SR-4,Maryland,16.85m,"55' 3.5""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,SP,W
23,"Nlemchi, Tochi",JR-3,SMU,16.76m,"55' 0""",The American Outdoor Track & Field Championships,2016-05-12,SP,W
24,"Scarvelis, Stamatia",FR-1,UCLA,16.75m,"54' 11.5""",Rafer Johnson-Jackie Joyner Kersee Invitational,2016-04-09,SP,W
25,"Ewen, Maggie",SO-2,Arizona State,16.71m,"54' 10""",2016 Duel in the Desert,2016-04-30,SP,W
26,"Uke, Claire",SR-4,Rice,16.69m,"54' 9.25""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,SP,W
27,"Kelly, Talore",SR-4,Texas State,16.63m,"54' 6.75""",Ricardo Romo Invitational,2016-03-24,SP,W
28,"Aikhionbare, Itohan",SR-4,Oregon,16.57m,"54' 4.5""",Oregon Relays,2016-04-15,SP,W
29,"Porlier-Langlois, Alex",SR-4,Hawaii,16.53m,"54' 2.75""",Big West Outdoor Track & Field Championships,2016-05-13,SP,W
30,"Robinson, Alyssa",JR-3,Penn State,16.51m,"54' 2""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,SP,W
31,"Pasiowitz, Courtney",JR-3,North Dakota State,16.47m,"54' 0.5""",NDSU Tune Up,2016-05-06,SP,W
32,"Whittaker, Alysiah",JR-3,Georgia State,16.35m,"53' 7.75""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,SP,W
33,"Scott, Alexus",SR-4,Southern Illinois,16.33m,"53' 7""",SIUe vs SIUC,2016-04-29,SP,W
34,"Teel, Haley",SO-2,Alabama,16.32m,"53' 6.5""",SEC Championships,2016-05-12,SP,W
35,"Monroe, Amber",SR-4,James Madison,16.25m,"53' 3.75""",Dr. Harry Jopson Track and Field Invite,2016-04-28,SP,W
35,"Giger, Lena",SO-2,Stanford,16.25m,"53' 3.75""",Michael Johnson Classic,2016-04-23,SP,W
37,"Pete, Aaliyah",JR-3,Colorado St.,16.22m,"53' 2.75""",Mountain West Championships,2016-05-11,SP,W
38,"Wells, LaPorscha",JR-3,Georgia State,16.20m,"53' 1.75""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,SP,W
39,"Waldner, Danielle",JR-3,South Dakota,16.19m,"53' 1.5""",Summit League Outdoor T&F Championships,2016-05-12,SP,W
40,"Price, DeAnna",SR-4,Southern Illinois,16.18m,"53' 1""",SIUe vs SIUC,2016-04-29,SP,W
41,"Novy, Tera",SR-4,USC,16.15m,"53' 0""",UCLA vs. USC Dual Meet,2016-05-01,SP,W
42,"Tupper, Toni",FR-1,Nebraska,16.14m,"52' 11.5""",Kansas Relays,2016-04-20,SP,W
43,"Dennis, Micah",JR-3,Arkansas,16.09m,"52' 9.5""",LSU Invitational,2016-04-30,SP,W
44,"Hanks, Kristine",JR-3,Sam Houston St.,16.08m,"52' 9.25""",Carolyn & Ron Yokubaitis Invitational,2016-04-23,SP,W
45,"Allgood, Avione",JR-3,Oklahoma,16.06m,"52' 8.25""",Big 12 Outdoor Track & Field Championships,2016-05-13,SP,W
45,"Daniels, Katelyn",SO-2,Michigan State,16.06m,"52' 8.25""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,SP,W
47,"Roach , Sireta",SR-4,Arkansas-Pine Bluff,16.05m,"52' 8""",UCA Open,2016-04-15,SP,W
