,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
29,"Bultman, Nathan",SR-4,USC,66.30m,"217' 6""",USC vs UCLA,2019-04-27,HT,M
31,"Campbell, Bayley",FR-1,Oklahoma,66.27m,"217' 5""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HT,M
32,"Glynn, Austin",FR-1,Wisconsin,66.26m,"217' 5""",Beach Invitational,2019-04-19,HT,M
33,"Carter, Avery",SR-4,Missouri,66.14m,"217' 0""",Mizzou Spring Open,2019-04-06,HT,M
34,"Russell, Owen",SR-4,Brown,66.05m,"216' 8""",Ivy League Outdoor Track & Field Championships,2019-05-04,HT,M
35,"Veselinovic, Stevan",SR-4,Charlotte,65.95m,"216' 4""",Conference USA Outdoor Championships,2019-05-09,HT,M
36,"Koncos, Karol",JR-3,UTEP,65.59m,"215' 2""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HT,M
37,"Targgart, Logan",JR-3,Central Michigan,65.43m,"214' 8""",Virginia Challenge,2019-04-19,HT,M
38,"Blomquist, Logan",JR-3,SE Missouri,65.06m,"213' 5""",OVC Championship,2019-05-09,HT,M
39,"Fleming, Grayson",SR-4,Arizona,65.02m,"213' 4""",2019 Pac-12 Track & Field Championships,2019-05-04,HT,M
40,"Hudson, Nicholas",SR-4,Long Beach St.,64.87m,"212' 10""",Beach Invitational,2019-04-19,HT,M
41,"Tirado, Brandon",SR-4,Florida State,64.80m,"212' 7""",Mt. SAC Relays,2019-04-18,HT,M
42,"Brown, Amani",SR-4,Washington St.,64.78m,"212' 6""",Cougar Invite,2019-04-27,HT,M
43,"Grodeska, Luke",SO-2,Penn State,64.73m,"212' 4""",Bison Outdoor Classic,2019-04-13,HT,M
44,"Foutz, Jacob",SR-4,BYU,64.28m,"210' 11""",Pacific Coast Intercollegiate,2019-04-18,HT,M
45,"Plater, Manning",SO-2,Michigan,63.98m,"209' 11""",Big Ten Championships,2019-05-10,HT,M
46,"Lydum, Max",JR-3,Oregon,63.92m,"209' 8""",2019 Pac-12 Track & Field Championships,2019-05-04,HT,M
47,"Jeans, Edward",SO-2,Oklahoma,63.87m,"209' 6""",Roadrunner Invitational,2019-03-21,HT,M
48,"Wedig, Tucker",JR-3,Wisconsin,63.72m,"209' 1""",Beach Invitational,2019-04-19,HT,M
49,"McGuigan, Fellan",SR-4,TCU,63.63m,"208' 9""",Jim Click Shootout,2019-04-06,HT,M
49,"Fenchel, Ethan",SR-4,South Dakota,63.63m,"208' 9""",South Dakota Challenge,2019-04-06,HT,M
51,"Wilson, Jacob",FR-1,UCLA,63.22m,"207' 5""",2019 Pac-12 Track & Field Championships,2019-05-04,HT,M
52,"Brennan, Sean",SR-4,Navy,63.20m,"207' 4""",Virginia Challenge,2019-04-19,HT,M
53,"Lenford Jr., Charles",JR-3,Kentucky,63.15m,"207' 2""",SEC Outdoor Track & Field Championships,2019-05-09,HT,M
54,"Dyer, Nate",SR-4,Southern Illinois,63.05m,"206' 10""",Kentucky Track & Field Invitational,2019-04-20,HT,M
55,"Kramer, Nick",SO-2,Michigan State,63.04m,"206' 10""",Big Ten Championships,2019-05-10,HT,M
56,"Unland, Kirk",SO-2,Wyoming,62.77m,"205' 11""",Mountain West Outdoor Track & Field Championship,2019-05-08,HT,M
57,"Slate , Jacob",SO-2,North Dakota State,62.75m,"205' 10""",Pacific Coast Intercollegiate,2019-04-18,HT,M
58,"Hernandez, Joshua",JR-3,Sam Houston St.,62.64m,"205' 6""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HT,M
59,"Kamtsiklis, Emmanouil",FR-1,UMBC,62.50m,"205' 1""",2019 America East Outdoor Championships,2019-05-04,HT,M
60,"Hurley, Ricky",JR-3,Southern Illinois,62.43m,"204' 10""",MVC Championship,2019-05-10,HT,M
61,"Meece, Sam",SO-2,Cincinnati,62.30m,"204' 5""",The American Outdoor Track & Field Championships,2019-05-10,HT,M
61,"Chronister, Corbin",SO-2,CSU Bakersfield,62.30m,"204' 5""",2019 Cal Poly Shareslo.com Invitational,2019-03-22,HT,M
61,"Pihlkar, Jack",SO-2,Columbia,62.30m,"204' 5""",IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,HT,M
64,"Rogers, Isaiah",JR-3,Virginia Tech,62.26m,"204' 3""",ACC Championships,2019-05-09,HT,M
65,"Joycey, James",FR-1,Nebraska,61.99m,"203' 4""",Corky/Crofoot Shootout,2019-04-26,HT,M
66,"Gvero , Vojislav",FR-1,New Orleans,61.75m,"202' 7""",McNeese State Cowboy Relays,2019-03-09,HT,M
67,"Martens, Cory",JR-3,Wichita State,61.41m,"201' 6""",Wichita State Herm Wilson Invitational,2019-03-21,HT,M
68,"Jensen, Trevor",SR-4,Idaho State,61.32m,"201' 2""",2019 BYU Robison Invitational,2019-04-25,HT,M
69,"Kessler, Mitchell",JR-3,Louisville,61.28m,"201' 0""",Louisville Invitational,2019-04-12,HT,M
70,"Rapp, Aleks",SR-4,Tulsa,61.24m,"200' 11""",The American Outdoor Track & Field Championships,2019-05-10,HT,M
71,"Zagurski, Stephen",SR-4,SE Missouri,61.21m,"200' 10""",2019 Drury Hotels Joey Haines Invite,2019-03-29,HT,M
