,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
66,"Barnes, Omar",JR-3,Texas-Arlington,15.26m,"50' 0.75""",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,1.0,TJ,M
66,"Campbell, Anthony",SO-2,Charlotte,15.26m,"50' 0.75""",Florida Relays,2014-04-03,1.9,TJ,M
66,"Friday, John-Patrick",SO-2,Miami,15.26m,"50' 0.75""",Miami Invitational,2014-03-29,1.8,TJ,M
69,"Howard, Laquan",SR-4,Bethune-Cookman,15.25m,"50' 0.5""",MEAC Outdoor Track & Field Championships,2014-05-01,-0.4,TJ,M
70,"Tele, Jimi",SO-2,George Mason,15.24m,"50' 0""",Atlantic 10 Championships,2014-05-03,0.1,TJ,M
71,"Poster, Kevin",SO-2,Iowa State,15.23m,"49' 11.75""",2014 Baldy Castillo Invitational,2014-03-21,0.7,TJ,M
71,"Ohiembor, Michael",FR-1,Akron,15.23m,"49' 11.75""",Mid-American Outdoor Track & Field Championships,2014-05-15,0.0,TJ,M
73,"Ward, Laderrick",JR-3,SIU-Edwardsville,15.22m,"49' 11.25""",2014 OVC Outdoor T&F Championships,2014-05-02,1.0,TJ,M
73,"Okot, Vincent",SO-2,Mid. Tenn. State,15.22m,"49' 11.25""",Tennessee Relays,2014-04-10,3.3,TJ,M
75,"Fisher, Kenneth",FR-1,Bethune-Cookman,15.21m,"49' 11""",Shamrock Invitational 2014,2014-03-20,1.7,TJ,M
75,"Charley, Myles",SO-2,Troy,15.21m,"49' 11""",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,3.4,TJ,M
75,"Price, Austin",JR-3,Buffalo,15.21m,"49' 11""",Florida Relays,2014-04-03,1.7,TJ,M
75,"Bordley, Allen",SO-2,East Carolina,15.21m,"49' 11""",Conference USA Outdoor Track & Field Championships,2014-05-15,2.4,TJ,M
79,"Jones, Avion",SO-2,East Carolina,15.19m,"49' 10""",Bill Carson Invitational,2014-04-11,2.6,TJ,M
79,"Johnson, Devandrew",JR-3,Nebraska,15.19m,"49' 10""",Kansas Relays,2014-04-16,2.0,TJ,M
79,"Twitty, Jailyn",SO-2,Kent State,15.19m,"49' 10""",Mid-American Outdoor Track & Field Championships,2014-05-15,0.0,TJ,M
82,"Strehlow, Ricky",FR-1,Cal Poly,15.17m,"49' 9.25""",Cal Poly/Shareslo.com Invitational,2014-03-29,3.9,TJ,M
82,"Pitt, Jonathan",FR-1,LSU,15.17m,"49' 9.25""",LSU Invitational,2014-05-03,0.1,TJ,M
82,"Walton, Cameron",JR-3,UNC-Wilmington,15.17m,"49' 9.25""",CAA Track and Field Championships,2014-05-02,-0.2,TJ,M
85,"Pickett, Gabriel",SR-4,Temple,15.16m,"49' 9""",The American Outdoor Track & Field Championships,2014-05-02,1.1,TJ,M
86,"Nwankwo, Michael",JR-3,Cincinnati,15.15m,"49' 8.5""",The American Outdoor Track & Field Championships,2014-05-02,1.0,TJ,M
86,"Chatman, Aerial",SR-4,UNC-Wilmington,15.15m,"49' 8.5""",Shamrock Invitational 2014,2014-03-20,1.7,TJ,M
