,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
8,"Guerrant, Nick",JR-3,Michigan State,7717,Big Ten Championships,2019-05-10,Dec,W
9,"Moore, Gabe",SR-4,Arkansas,7661,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Dec,W
10,"Nytes, Trent",SR-4,Wisconsin,7618,Bryan Clay Invitational,2019-04-17,Dec,W
11,"Booth, Aaron",JR-3,Kansas State,7602,Big 12 Outdoor Track and Field Championships,2019-05-10,Dec,W
12,"Lint, Jack",SR-4,Michigan,7596,Jim Click Shootout,2019-04-06,Dec,W
13,"Card-Childers, Charlie",SR-4,Rice,7529,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Dec,W
14,"Rogers, Denim",SO-2,Houston Baptist,7504,Bryan Clay Invitational,2019-04-17,Dec,W
15,"Ose, Benjamin",SR-4,Dartmouth,7498,Spec Towns Invitational,2019-04-05,Dec,W
16,"Martin, Isaiah",FR-1,Purdue,7451,Jim Click Shootout,2019-04-06,Dec,W
17,"Nelson, Tyler",SR-4,UC Santa Barbara,7420,2019 Big West Multi Championships,2019-05-03,Dec,W
18,"Johnson, Ben",SR-4,Wichita State,7413,The American Outdoor Track & Field Championships,2019-05-10,Dec,W
19,"Swaby, Noah",FR-1,Penn State,7411,Big Ten Championships,2019-05-10,Dec,W
20,"Day, Herman",SR-4,Long Beach St.,7410,UC-Riverside Spring Track Classic,2019-03-21,Dec,W
21,"Williams, Paris",JR-3,Kennesaw State,7405,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Dec,W
22,"Haasbroek, Gary",FR-1,UTSA,7395,Conference USA Outdoor Championships,2019-05-09,Dec,W
23,"Fassina, Simone",JR-3,Kansas State,7390,Big 12 Outdoor Track and Field Championships,2019-05-10,Dec,W
24,"Powell, Hunter",SR-4,Colorado St.,7386,Mountain West Outdoor Track & Field Championship,2019-05-08,Dec,W
25,"Walder, Wade",JR-3,Butler,7355,Bryan Clay Invitational,2019-04-17,Dec,W
26,"Matthews, Brian",JR-3,BYU,7335,2019 BYU Cougar Invitational,2019-05-09,Dec,W
27,"Broadhead, John",SR-4,Long Beach St.,7293,2019 Big West Multi Championships,2019-05-03,Dec,W
28,"Podraza, Zach",SO-2,Nebraska,7287,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Dec,W
29,"Kravec, Nick",SR-4,Colorado St.,7272,Mountain West Outdoor Track & Field Championship,2019-05-08,Dec,W
30,"Dunninger, Camillo",SO-2,New Mexico,7269,Mountain West Outdoor Track & Field Championship,2019-05-08,Dec,W
31,"McMorris, Hakim",FR-1,California,7259,2019 Pac-12 Track & Field Championships,2019-05-04,Dec,W
32,"Clancy, Kyle",SR-4,UC Davis,7252,2019 Big West Multi Championships,2019-05-03,Dec,W
33,"Foote, Drake",SR-4,UC Davis,7251,2019 Big West Multi Championships,2019-05-03,Dec,W
34,"Littlejohn, Rodney",JR-3,Incarnate Word,7248,Southland Conference Outdoor Track and Field Championship,2019-05-03,Dec,W
35,"Tilga, Karel",FR-1,Georgia,7236,SEC Outdoor Track & Field Championships,2019-05-09,Dec,W
36,"Torney, Jordan",SO-2,Connecticut,7231,The American Outdoor Track & Field Championships,2019-05-10,Dec,W
37,"Collerton, Ben",JR-3,Texas State,7218,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Dec,W
38,"Boon, Scott",FR-1,Houston Baptist,7217,Southland Conference Outdoor Track and Field Championship,2019-05-03,Dec,W
39,"Stone, Chris",JR-3,Auburn,7212,SEC Outdoor Track & Field Championships,2019-05-09,Dec,W
40,"Ukkelberg, Tony",SO-2,North Dakota State,7155,Summit League T&F Outdoor Championships,2019-05-08,Dec,W
41,"Thurber-Blaser, Brendan",SO-2,Montana,7154,Big Sky Outdoor Track & Field Championships,2019-05-08,Dec,W
42,"Keys, Joseph",SO-2,Marquette,7138,Bryan Clay Invitational,2019-04-17,Dec,W
43,"Thompson-Siporen, Wyatt",JR-3,Montana State,7132,Big Sky Outdoor Track & Field Championships,2019-05-08,Dec,W
44,"Haack, Peyton",FR-1,Iowa,7129,Bryan Clay Invitational,2019-04-17,Dec,W
45,"Pica, Sam",SO-2,UC Santa Barbara,7093,Bryan Clay Invitational,2019-04-17,Dec,W
46,"Farmer, Josh",FR-1,Colorado,7089,2019 Pac-12 Track & Field Championships,2019-05-04,Dec,W
47,"Berthenet, Damien",JR-3,Cincinnati,7084,The American Outdoor Track & Field Championships,2019-05-10,Dec,W
48,"Enerson, Ryan",SR-4,North Dakota State,7078,Summit League T&F Outdoor Championships,2019-05-08,Dec,W
49,"Lee, Evan",JR-3,Penn,7060,Ivy League Outdoor Track & Field Championships,2019-05-04,Dec,W
50,"Eggers, William",SR-4,Marquette,7019,Bryan Clay Invitational,2019-04-17,Dec,W
51,"Seay, Jared",SR-4,Nebraska,7010,Big Ten Championships,2019-05-10,Dec,W
52,"Barton, Ben",FR-1,BYU,7002,2019 BYU Robison Invitational,2019-04-25,Dec,W
53,"Demory, Jaelyn",SO-2,Virginia Tech,6982,ACC Championships,2019-05-09,Dec,W
54,"Van Klaveren, Lucas",FR-1,UT-Arlington,6981,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Dec,W
55,"Hampton, Hayden",JR-3,Arkansas State,6976,Sun Belt Outdoor Track and Field Championships,2019-05-10,Dec,W
56,"Collins, Jonathan",SR-4,UMass Amherst,6945,Virginia Challenge,2019-04-19,Dec,W
57,"Lorbeck, Zachary",JR-3,Wisconsin,6928,Big Ten Championships,2019-05-10,Dec,W
58,"Stewart, Ben",SR-4,Navy,6906,Patriot League Outdoor Track & Field Championships,2019-05-03,Dec,W
59,"Kennedy, Parker",SO-2,Washington,6872,2019 Pac-12 Track & Field Championships,2019-05-04,Dec,W
60,"Romero , Pablo",JR-3,High Point,6856,Tennessee Relays,2019-04-11,Dec,W
61,"Adden, Bjoern",JR-3,Texas A&M-CC,6854,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Dec,W
62,"Collins, Graham",FR-1,South Alabama,6836,Samford Alabama Track Challenge 2019,2019-04-11,Dec,W
63,"Stiawalt, Chandler",FR-1,Wichita State,6829,The American Outdoor Track & Field Championships,2019-05-10,Dec,W
