,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
87,"Romero Gonzales, Pablo",FR-1,High Point,6756,Big South Outdoor Track & Field Championships,2017-05-10,Dec,W
88,"Hampton, Hayden",FR-1,Arkansas State,6745,Sun Belt Outdoor Track and Field Championships,2017-05-12,Dec,W
89,"Lafaye, Reece",JR-3,Weber State,6741,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,Dec,W
90,"Beyer, Franz",JR-3,UL-Lafayette,6735,Sun Belt Outdoor Track and Field Championships,2017-05-12,Dec,W
91,"Acevedo, Alec",SR-4,Sacramento St.,6734,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,Dec,W
92,"Cudequest, Taylor",SR-4,Cal St. Northridge,6733,2017 Big West Multi Championships,2017-05-05,Dec,W
93,"Torrance, Colton",JR-3,Rice,6714,Shirley Crowe Combined Events,2017-03-14,Dec,W
94,"Berstler, Calvin",JR-3,Air Force,6709,Mountain West Outdoor Track & Field Championships,2017-05-10,Dec,W
95,"Shattuck, Dion",JR-3,Arizona,6699,Jim Click Shootout,2017-04-08,Dec,W
96,"Henshaw, Liam",SO-2,Arizona State,6675,Jim Click Shootout,2017-04-08,Dec,W
97,"Thurber-Blaser, Brendan",FR-1,Montana,6660,Montana Open,2017-04-27,Dec,W
98,"Rickman, Jacob",JR-3,Cal Poly,6655,2017 Big West Multi Championships,2017-05-05,Dec,W
98,"Kasupski, Caleb",FR-1,Connecticut,6655,The American Outdoor Track & Field Championships,2017-05-12,Dec,W
100,"Rhoads, Wyatt",SO-2,Iowa State,6638,Big 12 Outdoor Track & Field Championships,2017-05-12,Dec,W
1,"Victor, Lindon",JR-3,Texas A&M,8446,SEC Championships,2016-05-12,Dec,W
2,"Uibo, Maicel",SR-4,Georgia,8315,SEC Championships,2016-05-12,Dec,W
3,"Williams, Devon",JR-3,Georgia,8116,SEC Championships,2016-05-12,Dec,W
4,"Saluri, Karl",SO-2,Georgia,8108,Bulldog Decathlon-Heptathlon,2016-04-06,Dec,W
5,"Ziemek, Zach",SR-4,Wisconsin,8047,Bulldog Decathlon-Heptathlon,2016-04-06,Dec,W
6,"Tonnesen, Pau",SR-4,Arizona,7993,Jim Click Shootout,2016-04-09,Dec,W
7,"Williams, Harrison",SO-2,Stanford,7842,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Dec,W
8,"Nyamadi, Atsu",SR-4,Mid. Tenn. State,7800,Bulldog Decathlon-Heptathlon,2016-04-06,Dec,W
9,"Wieland, Luca",JR-3,Minnesota,7784,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
10,"Duckworth, Tim",SO-2,Kentucky,7709,SEC Championships,2016-05-12,Dec,W
11,"Bastien, Steven",JR-3,Michigan,7636,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
12,"Walton, Cody",SO-2,Nebraska,7620,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
13,"Simmons, Solomon",SR-4,Eastern Michigan,7604,Mid-American Conference Championship,2016-05-12,Dec,W
14,"Short, Ibn",JR-3,Kentucky,7588,SEC Championships,2016-05-12,Dec,W
15,"McCune, Alex",SR-4,Akron,7520,Mid-American Conference Championship,2016-05-12,Dec,W
16,"Whitaker, Ser",SR-4,Missouri,7488,SEC Championships,2016-05-12,Dec,W
17,"Sanderson, Taylor",SR-4,Iowa State,7471,Jim Click Shootout,2016-04-09,Dec,W
18,"Modin, Mitch",JR-3,Oregon,7468,Oregon Relays,2016-04-15,Dec,W
19,"Culp, Brad",JR-3,Arkansas,7438,Arkansas Spring Invitational,2016-03-25,Dec,W
20,"Walker, Jackson",JR-3,BYU,7403,2016 BYU Robison Invitational,2016-04-21,Dec,W
21,"Delgado, Joe",SO-2,Oregon,7402,Oregon Relays,2016-04-15,Dec,W
22,"Hanssler, Luis",SR-4,Memphis,7369,The American Outdoor Track & Field Championships,2016-05-12,Dec,W
23,"Jacobus, Derek",JR-3,Arkansas,7356,SEC Championships,2016-05-12,Dec,W
24,"Dodig, Dino",JR-3,Washington St.,7339,Pac-12 Combined Events Championships,2016-05-07,Dec,W
25,"Mortensen, Brandon",SR-4,Wisconsin,7335,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
26,"Christodoulou, Andreas",FR-1,Miami,7334,ACC Championships,2016-05-13,Dec,W
27,"Dougherty, William",SO-2,Iowa,7311,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
28,"Veith, Hunter",SO-2,Wichita State,7300,Wichita State KT Woodman Classic,2016-04-13,Dec,W
29,"Austell, Lane",SR-4,Arkansas,7298,Arkansas Spring Invitational,2016-03-25,Dec,W
30,"Bornstein, Zack",SO-2,UCLA,7289,Pac-12 Combined Events Championships,2016-05-07,Dec,W
31,"Abdullah, Bilal",SR-4,Kennesaw State,7286,ASUN Outdoor Track & Field Championships,2016-05-13,Dec,W
32,"Adams, Tyler",SO-2,Sam Houston St.,7259,Southland Conference Outdoor Track & Field Championships,2016-05-06,Dec,W
33,"Day, Herman",SO-2,Long Beach St.,7249,UC Riverside Spring Break Invitational,2016-03-24,Dec,W
34,"Nytes, Trent",SO-2,Wisconsin,7224,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
35,"Nelson, Tyler",SO-2,UC Santa Barbara,7220,2016 Big West Multi-Championship,2016-05-06,Dec,W
36,"Asselin, Alexandre",JR-3,South Carolina,7219,SEC Championships,2016-05-12,Dec,W
37,"Shearer, Parker",SR-4,Auburn,7198,SEC Championships,2016-05-12,Dec,W
38,"Gordon, Josh",SO-2,Washington,7192,Pac-12 Combined Events Championships,2016-05-07,Dec,W
39,"Riley, Adrian",SO-2,UTSA,7190,Ricardo Romo Invitational,2016-03-24,Dec,W
40,"Jamerson, Austin",JR-3,Cornell,7161,Ivy League Outdoor Track & Field Championships,2016-05-07,Dec,W
41,"Martin, Daniel",SR-4,Texas A&M,7154,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Dec,W
42,"Bennett, Devin",SR-4,Cal Poly,7153,2016 Big West Multi-Championship,2016-05-06,Dec,W
43,"Cogdill, Josh",JR-3,Colorado St.,7149,Mountain West Championships,2016-05-11,Dec,W
44,"Fenske, Guy",JR-3,Nebraska,7143,Kansas Relays,2016-04-20,Dec,W
45,"Thompson, Reese",FR-1,Texas,7136,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Dec,W
46,"Cieslinski, Quentin",SR-4,Akron,7109,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Dec,W
47,"Lam, Daniel",SO-2,New Mexico,7097,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Dec,W
48,"Foss, Charlie",SR-4,Wisconsin,7085,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
49,"Deterding, Adam",JR-3,Kansas State,7072,John McDonnell Invitational,2016-04-22,Dec,W
50,"Lavorgna, Christian",SR-4,Virginia,7064,ACC Championships,2016-05-13,Dec,W
51,"Key, Hunter",JR-3,Stephen F. Austin,7061,Southland Conference Outdoor Track & Field Championships,2016-05-06,Dec,W
51,"Horn, Kristopher",JR-3,UMass Amherst,7061,Atlantic 10 Championships,2016-05-07,Dec,W
53,"Wagner, Cale",FR-1,Nebraska,7057,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
54,"Scranton, Teddy",JR-3,Cal Poly,7038,2016 Big West Multi-Championship,2016-05-06,Dec,W
55,"Fox, Eric",SO-2,Louisville,7032,Lenny Lyles-Clark Wood Invitational,2016-04-21,Dec,W
56,"Jones, Tyler",SR-4,Kent State,7027,Mid-American Conference Championship,2016-05-12,Dec,W
57,"Brendel, Tyler",FR-1,California,7022,Sacramento State Hornet Invitational,2016-03-18,Dec,W
58,"Krall, Alex",SR-4,Wake Forest,7013,ACC Championships,2016-05-13,Dec,W
59,"Seals, John",SO-2,George Mason,7008,Atlantic 10 Championships,2016-05-07,Dec,W
60,"Collins, Cameron",SO-2,Virginia,7004,Virginia Challenge,2016-04-22,Dec,W
61,"Kravec, Nick",SO-2,Colorado St.,7003,Mountain West Championships,2016-05-11,Dec,W
62,"Knowles, Trevor",SO-2,Lehigh,7001,Patriot League Outdoor Track & Field Championships,2016-05-06,Dec,W
63,"Larson, Brock",SR-4,North Dakota State,6998,Summit League Outdoor T&F Championships,2016-05-12,Dec,W
64,"Robinson, Nico",JR-3,Dartmouth,6997,Ivy League Outdoor Track & Field Championships,2016-05-07,Dec,W
65,"Smith, Sawyer",JR-3,Wisconsin,6969,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
66,"Fick, Garrison",SR-4,Houston Baptist,6962,Southland Conference Outdoor Track & Field Championships,2016-05-06,Dec,W
67,"Oliver, Isaiah",FR-1,Colorado,6952,Pac-12 Outdoor Track & Field Championships,2016-05-14,Dec,W
68,"Jensen, Cole",SO-2,Washington,6945,Pac-12 Combined Events Championships,2016-05-07,Dec,W
69,"Sullivan, Kyle",SR-4,Wyoming,6943,Mountain West Championships,2016-05-11,Dec,W
70,"Swanberg, Brent",SR-4,Notre Dame,6909,ACC Championships,2016-05-13,Dec,W
71,"Adair, Ivy",JR-3,Cal Poly,6882,2016 Big West Multi-Championship,2016-05-06,Dec,W
72,"Ghizzone, Andrew",SO-2,Colorado,6876,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Dec,W
73,"Pacheco, Chase",SO-2,Indiana,6859,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
74,"Sanders, Chris",SR-4,Rice,6844,2016 Skechers Carl Kight Invitational,2016-04-08,Dec,W
75,"Beyer, Franz",SO-2,UL-Lafayette,6830,Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
76,"Kemp, Blake",SR-4,Oregon,6813,Oregon Relays,2016-04-15,Dec,W
77,"Samuels, Michael",JR-3,Texas Tech,6812,Big 12 Outdoor Track & Field Championships,2016-05-13,Dec,W
78,"Price, Hunter",SO-2,Colorado St.,6810,Mountain West Championships,2016-05-11,Dec,W
79,"Wilson, JaQuarius",JR-3,Miss State,6809,SEC Championships,2016-05-12,Dec,W
80,"Williams, Darion",JR-3,UC Santa Barbara,6799,2016 Big West Multi-Championship,2016-05-06,Dec,W
81,"Garrison, Matthew",SO-2,Purdue,6795,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
82,"Clancy, Kyle",FR-1,UC Davis,6779,2016 Big West Multi-Championship,2016-05-06,Dec,W
83,"Clafton, Beau",SO-2,New Mexico,6769,Mountain West Championships,2016-05-11,Dec,W
84,"Deal, Tim",FR-1,Purdue,6767,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Dec,W
85,"Thompson-Siporen, Wyatt",FR-1,UC Santa Barbara,6754,2016 Big West Multi-Championship,2016-05-06,Dec,W
85,"Ose, Benjamin",FR-1,Dartmouth,6754,Ivy League Outdoor Track & Field Championships,2016-05-07,Dec,W
87,"Miceli, Joe",JR-3,Binghamton,6734,2016 America East Outdoor Track & Field Championships,2016-05-07,Dec,W
88,"Fofana, Nick",SO-2,Northeastern,6733,NEICAAA Outdoor Track & Field Championships,2016-05-13,Dec,W
89,"Meyer, Patrick",JR-3,Connecticut,6728,The American Outdoor Track & Field Championships,2016-05-12,Dec,W
90,"Hawkins, Chaz",JR-3,Duke,6718,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Dec,W
91,"Looser, Ryan",SO-2,Kent State,6660,Mid-American Conference Championship,2016-05-12,Dec,W
92,"Rickman, Jacob",SO-2,Cal Poly,6653,Westmont Collegiate Classic with Jim Klein Multi-Events,2016-03-17,Dec,W
93,"Gabor, Christopher",SO-2,Mount St. Mary's,6648,IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,Dec,W
94,"Powell, Hunter",SO-2,Baylor,6636,Big 12 Outdoor Track & Field Championships,2016-05-13,Dec,W
95,"Johnson, Ben",FR-1,Wichita State,6629,2016 MVC Outdoor Track and Field Championships,2016-05-13,Dec,W
96,"Berstler, Calvin",SO-2,Air Force,6617,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Dec,W
97,"Johnson, Daniel",SR-4,New Hampshire,6615,IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,Dec,W
98,"Enerson, Ryan",FR-1,North Dakota State,6611,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Dec,W
99,"Taylor, Zach",JR-3,Miss State,6600,South Alabama Invitational,2016-04-14,Dec,W
100,"Jette, Max",SO-2,Sacramento St.,6589,Sacramento State Hornet Invitational,2016-03-18,Dec,W
1,"Uibo, Maicel",JR-3,Georgia,8326,SEC Championships,2015-05-14,Dec,W
2,"Scantling, Garrett",SR-4,Georgia,8232,Georgia Bulldog Decathlon/Heptathlon,2015-04-08,Dec,W
3,"Ijah, Solomon",JR-3,Eastern Michigan,7862,Mid-American Outdoor Track & Field Championships,2015-05-14,Dec,W
4,"Keys, Dakotah",SR-4,Oregon,7833,Oregon Relays,2015-04-16,Dec,W
5,"Tonnesen, Pau",JR-3,Arizona,7823,Pac-12 Combined Events Championships,2015-05-09,Dec,W
6,"Williams, Harrison",FR-1,Stanford,7679,Pac-12 Combined Events Championships,2015-05-09,Dec,W
7,"Nilsson, Marcus",SR-4,UCLA,7663,Pac-12 Combined Events Championships,2015-05-09,Dec,W
8,"Wieland, Luca",SO-2,Minnesota,7635,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
9,"Filip, Scott",SO-2,Rice,7632,Conference USA Outdoor Track & Field Championships,2015-05-14,Dec,W
10,"Modin, Mitch",SO-2,Oregon,7578,Oregon Relays,2015-04-16,Dec,W
11,"Scott, K'vonte",SR-4,Charlotte,7549,Conference USA Outdoor Track & Field Championships,2015-05-14,Dec,W
12,"Morgan, Mike",JR-3,Buffalo,7538,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Dec,W
13,"Nyamadi, Atsu",JR-3,Mid. Tenn. State,7532,Georgia Bulldog Decathlon/Heptathlon,2015-04-08,Dec,W
14,"Wasik, Steele",FR-1,UCLA,7521,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Dec,W
15,"Taylor, Zach",SO-2,Miss State,7466,SEC Championships,2015-05-14,Dec,W
16,"Dodig, Dino",SO-2,Washington St.,7416,Pac-12 Combined Events Championships,2015-05-09,Dec,W
17,"Mulder, Joshua",JR-3,Kennesaw State,7402,Virginia Challenge,2015-04-17,Dec,W
18,"Leemet, Markus",SO-2,South Carolina,7372,SEC Championships,2015-05-14,Dec,W
19,"Hock, Johannes",JR-3,Texas,7367,Big 12 Outdoor Track & Field Championships,2015-05-15,Dec,W
20,"Sanderson, Taylor",JR-3,Iowa State,7360,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Dec,W
21,"Ehrhardt, Tim",SO-2,Michigan State,7349,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
22,"Franks, Nathanael",SR-4,Arkansas,7343,SEC Championships,2015-05-14,Dec,W
23,"Williams, Devon",SO-2,Georgia,7341,Georgia Bulldog Decathlon/Heptathlon,2015-04-08,Dec,W
24,"Delgado, Joe",FR-1,Oregon,7337,Pac-12 Combined Events Championships,2015-05-09,Dec,W
25,"Soerens, Stephen",SR-4,Princeton,7319,Ivy League Outdoor Track & Field Championships,2015-05-09,Dec,W
26,"Mahler, Wolf",SO-2,Texas,7305,Big 12 Outdoor Track & Field Championships,2015-05-15,Dec,W
27,"Grieder, Isaac",SR-4,UL-Monroe,7301,Sun Belt Outdoor Track and Field Championships,2015-05-08,Dec,W
28,"Cogdill, Josh",SO-2,Colorado St.,7294,Mountain West Outdoor Track & Field Championships,2015-05-13,Dec,W
29,"Johnson, Tanner",FR-1,Duke,7281,ACC Outdoor Track & Field Championships,2015-05-14,Dec,W
30,"Rock, Ian",SR-4,Duke,7260,ACC Outdoor Track & Field Championships,2015-05-14,Dec,W
31,"Walton, Cody",FR-1,Nebraska,7232,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
32,"Ivie, Harrison",JR-3,Arizona,7198,2015 Jim Click Combined Events,2015-04-09,Dec,W
33,"Walker, Jackson",SO-2,BYU,7192,2015 BYU Robison Invitational,2015-04-22,Dec,W
34,"Cheval, Thomas",SO-2,Oklahoma,7187,Big 12 Outdoor Track & Field Championships,2015-05-15,Dec,W
35,"McIntire, Tevan",SR-4,Liberty,7182,Big South Championships,2015-05-14,Dec,W
36,"Lint, Jack",FR-1,Virginia,7179,ACC Outdoor Track & Field Championships,2015-05-14,Dec,W
37,"Davis, Zach",SO-2,Liberty,7171,Big South Championships,2015-05-14,Dec,W
38,"Hanssler, Luis",JR-3,Memphis,7158,The American Outdoor Track & Field Championships,2015-05-14,Dec,W
39,"Duckworth, Tim",FR-1,Kentucky,7156,SEC Championships,2015-05-14,Dec,W
40,"Hammon, Corey",SR-4,Illinois,7153,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
41,"Green, Justin",SR-4,Colorado St.,7151,Mountain West Outdoor Track & Field Championships,2015-05-13,Dec,W
42,"Keller, Stephen",JR-3,Indiana,7149,2015 Clyde Littlefield Texas Relays,2015-03-25,Dec,W
43,"Abdullah, Bilal",JR-3,Kennesaw State,7145,Atlantic Sun Outdoor Track & Field Championships,2015-05-15,Dec,W
44,"Fenske, Guy",SO-2,Nebraska,7142,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
45,"Oliver, William",SR-4,Arkansas State,7126,Sun Belt Outdoor Track and Field Championships,2015-05-08,Dec,W
46,"Henderson, Logan",SR-4,Idaho State,7116,Northridge Invitational,2015-03-20,Dec,W
47,"Donnellon, Nathan",JR-3,Kentucky,7112,SEC Championships,2015-05-14,Dec,W
48,"Martin, Daniel",JR-3,Texas A&M,7101,Shirley Crowe Combined Events,2015-03-17,Dec,W
49,"Anderson, Dylan",JR-3,Indiana,7099,2015 Clyde Littlefield Texas Relays,2015-03-25,Dec,W
50,"Haley, Paul",JR-3,North Carolina,7098,ACC Outdoor Track & Field Championships,2015-05-14,Dec,W
51,"Eckert, Jack",SR-4,Iowa,7094,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Dec,W
52,"Shearer, Parker",JR-3,Auburn,7091,SEC Championships,2015-05-14,Dec,W
53,"Riley, Adrian",FR-1,UTSA,7074,Conference USA Outdoor Track & Field Championships,2015-05-14,Dec,W
54,"McPherson, Michael",SR-4,Utah Valley,7070,2015 Clyde Littlefield Texas Relays,2015-03-25,Dec,W
54,"Jamerson, Austin",SO-2,Cornell,7070,Ivy League Outdoor Track & Field Championships,2015-05-09,Dec,W
54,"Rohner, Robert",JR-3,Duke,7070,ACC Outdoor Track & Field Championships,2015-05-14,Dec,W
57,"Selvig, Levi",SR-4,Eastern Michigan,7066,Mid-American Outdoor Track & Field Championships,2015-05-14,Dec,W
58,"Rhodes, Cody",SR-4,Stephen F. Austin,7061,Southland Conference Championship,2015-05-08,Dec,W
59,"Schiemann, Christian",SO-2,Texas-Arlington,7058,Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,Dec,W
60,"Foss, Charlie",JR-3,Wisconsin,7047,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
61,"Mangusson, Kaarel",SR-4,Kennesaw State,7045,Virginia Challenge,2015-04-17,Dec,W
62,"Cieslinski, Quentin",SO-2,Akron,7034,Mid-American Outdoor Track & Field Championships,2015-05-14,Dec,W
63,"Phillips, William",SR-4,Idaho State,7030,Northridge Invitational,2015-03-20,Dec,W
64,"Crompton, Coren",JR-3,Auburn,7021,SEC Championships,2015-05-14,Dec,W
65,"Rhodes, Peter",SR-4,Brown,7008,Ivy League Outdoor Track & Field Championships,2015-05-09,Dec,W
66,"Wilson, JaQuarius",SO-2,Miss State,7000,SEC Championships,2015-05-14,Dec,W
67,"Deterding, Adam",SO-2,Kansas State,6995,Big 12 Outdoor Track & Field Championships,2015-05-15,Dec,W
68,"Bornstein, Zack",FR-1,UCLA,6991,Pac-12 Combined Events Championships,2015-05-09,Dec,W
69,"Smith, Sawyer",FR-1,Wisconsin,6990,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
70,"Mortensen, Brandon",SO-2,Wisconsin,6977,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
71,"DiMambro, Mike",JR-3,Rhode Island,6972,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,Dec,W
72,"Hollo, Tuure",JR-3,Memphis,6964,The American Outdoor Track & Field Championships,2015-05-14,Dec,W
73,"Sullivan, Kyle",JR-3,Wyoming,6949,Mountain West Outdoor Track & Field Championships,2015-05-13,Dec,W
74,"Pfeiffer, Nick",SR-4,Washington,6943,Pac-12 Combined Events Championships,2015-05-09,Dec,W
75,"Jacobus, Derek",FR-1,Northern Iowa,6921,2015 MVC Outdoor Track and Field Championships,2015-05-15,Dec,W
76,"Matthews, Jayvon",FR-1,Northern Iowa,6913,2015 MVC Outdoor Track and Field Championships,2015-05-15,Dec,W
77,"Gallaher, Luke",JR-3,Pittsburgh,6884,ACC Outdoor Track & Field Championships,2015-05-14,Dec,W
78,"Austell, Lane",SR-4,Arkansas,6866,Razorback Combined,2015-04-15,Dec,W
79,"Swanberg, Brent",JR-3,Notre Dame,6864,ACC Outdoor Track & Field Championships,2015-05-14,Dec,W
80,"Dougherty, William",FR-1,Iowa,6862,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
81,"Jones, Rusty",SO-2,Utah Valley,6861,2015 Clyde Littlefield Texas Relays,2015-03-25,Dec,W
82,"Lavorgna, Christian",JR-3,Virginia,6854,Virginia Challenge,2015-04-17,Dec,W
83,"Woods, Luke",JR-3,Abilene Christian,6851,Southland Conference Championship,2015-05-08,Dec,W
84,"Lam, Daniel",FR-1,New Mexico,6844,Mountain West Outdoor Track & Field Championships,2015-05-13,Dec,W
84,"Williams, Darion",SO-2,UC Santa Barbara,6844,2015 Big West Championships,2015-05-15,Dec,W
86,"Acevedo, Alec",JR-3,Sacramento St.,6833,Big Sky Conference Outdoor Track & Field Championships,2015-05-13,Dec,W
87,"Kemp, Blake",JR-3,Oregon,6807,Oregon Relays,2015-04-16,Dec,W
88,"Holcomb, Ben",SO-2,Minnesota,6796,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
89,"Pangborn, John",JR-3,Rhode Island,6792,Atlantic 10 Championships,2015-05-02,Dec,W
90,"Roberson, Jay",SO-2,Sam Houston St.,6781,2015 Clyde Littlefield Texas Relays,2015-03-25,Dec,W
91,"Crum, Jamie",SO-2,Minnesota,6780,2015 Drake Relays presented by Hy-Vee,2015-04-22,Dec,W
92,"Walsh, Sean",SR-4,Connecticut,6778,The American Outdoor Track & Field Championships,2015-05-14,Dec,W
93,"Nelson, Tyler",FR-1,Texas Tech,6773,Big 12 Outdoor Track & Field Championships,2015-05-15,Dec,W
94,"Wehmiller, Brett",JR-3,Indiana State,6772,2015 MVC Outdoor Track and Field Championships,2015-05-15,Dec,W
95,"Meyer, Patrick",SO-2,Connecticut,6770,The American Outdoor Track & Field Championships,2015-05-14,Dec,W
96,"Scranton, Teddy",SO-2,Cal Poly,6768,2015 Big West Championships,2015-05-15,Dec,W
97,"Price, Hunter",SO-2,Colorado St.,6767,Kansas Relays,2015-04-15,Dec,W
98,"Wayda, George",JR-3,Illinois,6738,Big Ten Outdoor Track & Field Championships,2015-05-15,Dec,W
99,"Culp, Brad",SO-2,Arkansas,6731,Razorback Combined,2015-04-15,Dec,W
100,"Stoudt, Angus",SO-2,North Dakota State,6723,UCR Spring Classic Invitational,2015-03-26,Dec,W
1,"Duckworth, Tim",SR-4,Kentucky,8145,Spec Towns Invitational,2018-04-06,Dec,W
2,"Veith, Hunter",SR-4,Wichita State,8046,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Dec,W
3,"Ehrhardt, Tim",SR-4,Michigan State,8044,Virginia Challenge,2018-04-20,Dec,W
4,"Erm, Johannes",FR-1,Georgia,8020,Spec Towns Invitational,2018-04-06,Dec,W
5,"Saluri, Karl",SR-4,Georgia,7934,SEC Outdoor Track and Field Championships,2018-05-11,Dec,W
6,"Williams, Harrison",JR-3,Stanford,7925,Pac-12 Combined Events Championships,2018-05-05,Dec,W
7,"Moore, Gabe",JR-3,Arkansas,7901,SEC Outdoor Track and Field Championships,2018-05-11,Dec,W
8,"Filip, Scott",SR-4,Rice,7876,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Dec,W
9,"Lawson, TJ",SO-2,Kent State,7724,Tennessee Relays,2018-04-12,Dec,W
10,"Hite, Nathan",JR-3,Texas A&M,7723,SEC Outdoor Track and Field Championships,2018-05-11,Dec,W
11,"Mechler, Nathaniel",SO-2,Houston,7722,Bryan Clay Invitational,2018-04-19,Dec,W
12,"Nytes, Trent",JR-3,Wisconsin,7683,Bryan Clay Invitational,2018-04-19,Dec,W
13,"Dougherty, William",SR-4,Iowa,7673,Bryan Clay Invitational,2018-04-19,Dec,W
14,"Delgado, Joe",SR-4,Louisville,7655,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Dec,W
15,"Wasik, Steele",JR-3,Texas,7588,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Dec,W
16,"Riley, Adrian",SR-4,UTSA,7576,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,Dec,W
17,"Guerrant, Nick",SO-2,Michigan State,7569,Big Ten Championships,2018-05-11,Dec,W
18,"Jacobus, Derek",SR-4,Arkansas,7555,SEC Outdoor Track and Field Championships,2018-05-11,Dec,W
19,"Ballengee, Markus",SO-2,Liberty,7537,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Dec,W
20,"Liitmae, Rauno",SR-4,Missouri,7524,SEC Outdoor Track and Field Championships,2018-05-11,Dec,W
21,"Booth, Aaron",SO-2,Kansas State,7508,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Dec,W
22,"Smith, Sawyer",SR-4,Wisconsin,7496,Big Ten Championships,2018-05-11,Dec,W
23,"Ose, Benjamin",JR-3,Dartmouth,7491,Ivy League Outdoor Track & Field Championships,2018-05-05,Dec,W
24,"Nielsen, Kevin",SR-4,BYU,7475,2018 BYU Robison Invitational,2018-04-26,Dec,W
25,"Frid, Teddy",JR-3,Minnesota,7402,Big Ten Championships,2018-05-11,Dec,W
26,"Card-Childers, Charlie",JR-3,Rice,7369,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,Dec,W
27,"Leemet, Markus",SR-4,South Carolina,7351,Spec Towns Invitational,2018-04-06,Dec,W
28,"Lorbeck, Zachary",SO-2,Wisconsin,7341,Big Ten Championships,2018-05-11,Dec,W
29,"Bloom, Alex",SR-4,Cincinnati,7318,The American Outdoor Track & Field Championships,2018-05-11,Dec,W
30,"Robinson, Donte",JR-3,Portland State,7307,Big Sky Outdoor Track & Field Championships,2018-05-08,Dec,W
31,"Wagner, Cale",SO-2,Nebraska,7292,Spec Towns Invitational,2018-04-06,Dec,W
32,"Fox, Eric",SR-4,Louisville,7273,ACC Outdoor Championships,2018-05-10,Dec,W
33,"Johnson, Ben",JR-3,Wichita State,7272,The American Outdoor Track & Field Championships,2018-05-11,Dec,W
34,"Christodoulou, Andreas",SO-2,Miami,7271,ACC Outdoor Championships,2018-05-10,Dec,W
35,"Williams, Paris",SO-2,Kennesaw State,7236,ASUN Outdoor Track & Field Championships,2018-05-11,Dec,W
36,"Stone, Chris",SO-2,Auburn,7229,Home Depot Clyde Littlefield Texas Relays,2018-03-28,Dec,W
37,"Berstler, Calvin",SR-4,Air Force,7203,Mountain West Outdoor Track & Field Championships,2018-05-09,Dec,W
38,"Colello, Ben",SR-4,Dartmouth,7198,Ivy League Outdoor Track & Field Championships,2018-05-05,Dec,W
