,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
63,"Munoz, Kendall",SO-2,Texas A&M,47.26m,"155' 1""",Bobcat Classic,2014-04-25,JT,W
65,"Karin, Abbey",SR-4,Virginia,47.25m,"155' 0""",Virginia-Cal-Michigan,2014-04-05,JT,W
66,"Welch, Doren",SO-2,LSU,47.19m,"154' 10""",Penn Relays,2014-04-24,JT,W
67,"Baker, Jenna",SR-4,SE Louisiana,47.09m,"154' 6""",Jaguar Opener,2014-03-07,JT,W
68,"Pfeiffer, Bethany",SR-4,SE Missouri,47.01m,"154' 3""",Tennessee Relays,2014-04-10,JT,W
69,"Kotula, Rachael",SR-4,Robert Morris,46.85m,"153' 8""",Wake Forest Open,2014-03-21,JT,W
70,"Ealey, Chase",SO-2,Oklahoma State,46.80m,"153' 6""",Big 12 Outdoor Track and Field Championships,2014-05-16,JT,W
71,"Ouellette, Nika",SR-4,Vermont,46.55m,"152' 9""",America East Outdoor Track & Field Championships,2014-05-03,JT,W
72,"Kowalewski, Ashley",SR-4,Oklahoma,46.50m,"152' 7""",2014 Baldy Castillo Invitational,2014-03-21,JT,W
73,"Jones, Noelle",SR-4,South Alabama,46.42m,"152' 3""",Battle of I-65,2014-03-14,JT,W
74,"Johnston, Katie",SO-2,William and Mary,46.37m,"152' 1""",CAA Track and Field Championships,2014-05-02,JT,W
75,"Weinzheimer, Kianna",SO-2,Kansas,46.17m,"151' 6""",Big 12 Outdoor Track and Field Championships,2014-05-16,JT,W
75,"Lowe, Mi'Ca",FR-1,UL-Monroe,46.17m,"151' 6""",2014 Lion Invitational,2014-04-17,JT,W
77,"Williams, Meagan",FR-1,Wichita State,46.05m,"151' 1""",2014 MVC Outdoor Track & Field Championships,2014-05-16,JT,W
78,"Wargo, Jenna",JR-3,Louisville,46.04m,"151' 0""",The American Outdoor Track & Field Championships,2014-05-02,JT,W
78,"Rake, Melissa",SO-2,UC Santa Barbara,46.04m,"151' 0""",Big West Outdoor Track and Field Championship,2014-05-16,JT,W
80,"Tobis, Verena",SO-2,East Tenn. St.,45.99m,"150' 11""",War Eagle 2014,2014-04-18,JT,W
81,"Estes, Mia",FR-1,Utah State,45.94m,"150' 9""",Wildcat Outdoor Open,2014-04-12,JT,W
82,"Wells, Stephanie",SO-2,Montana,45.86m,"150' 5""",Big Sky Conference Outdoor Track & Field Championships,2014-05-14,JT,W
82,"Eggert, Jayd",SO-2,North Dakota,45.86m,"150' 5""",Shamrock Invitational 2014,2014-03-20,JT,W
84,"Bradley, Krystyn",SO-2,Texas A&M,45.83m,"150' 4""",SEC Outdoor Championship,2014-05-15,JT,W
85,"Bergstrom, Holleigh",SR-4,Brown,45.80m,"150' 3""",Ivy League Outdoor Track & Field Championships,2014-05-10,JT,W
86,"Barnes, Nia",JR-3,Alabama,45.67m,"149' 10""",Alabama Relays,2014-03-20,JT,W
