,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Knight, Justyn",JR-3,Syracuse,13:17.51,Payton Jordan Invitational,2017-05-05,5000,M
2,"Cheserek, Edward",SR-4,Oregon,13:24.72,Payton Jordan Invitational,2017-05-05,5000,M
3,"Tate, Mike",JR-3,Southern Utah,13:34.28,Payton Jordan Invitational,2017-05-05,5000,M
4,"Abbey, Jefferson",SR-4,Colorado St.,13:37.23,Stanford Invitational,2017-03-31,5000,M
5,"Scott, Marc",SR-4,Tulsa,13:37.45,Mt. SAC Relays,2017-04-13,5000,M
6,"Fisher, Grant",SO-2,Stanford,13:37.77,Stanford Cardinal Classic,2017-04-21,5000,M
7,"Bruce, Jack",JR-3,Arkansas,13:38.15,Mt. SAC Relays,2017-04-13,5000,M
8,"Gilbert, Colby",JR-3,Washington,13:38.68,Mt. SAC Relays,2017-04-13,5000,M
9,"Choge, Jacob",FR-1,Mid. Tenn. State,13:39.90,War Eagle Invititaional,2017-04-21,5000,M
10,"George, Alex",SO-2,Arkansas,13:40.66,Stanford Invitational,2017-03-31,5000,M
11,"Maggard, Dillon",JR-3,Utah State,13:41.17,Mt. SAC Relays,2017-04-13,5000,M
12,"Klecker, Joe",SO-2,Colorado,13:42.64,Stanford Cardinal Classic,2017-04-21,5000,M
13,"Abdi, Hassan",JR-3,Oklahoma State,13:43.27,Stanford Cardinal Classic,2017-04-21,5000,M
14,"Wynne, Henry",SR-4,Virginia,13:43.53,Raleigh Relays,2017-03-24,5000,M
15,"Dressel, John",SO-2,Colorado,13:44.56,Stanford Cardinal Classic,2017-04-21,5000,M
16,"Brandt, Robert",FR-1,California,13:45.45,Stanford Cardinal Classic,2017-04-21,5000,M
17,"Perrin, Zach",JR-3,Colorado,13:46.09,Stanford Cardinal Classic,2017-04-21,5000,M
18,"De La Torre, Daniel",JR-3,UCLA,13:46.14,Mt. SAC Relays,2017-04-13,5000,M
19,"Baxter, Matthew",SR-4,Northern Arizona,13:46.24,Stanford Cardinal Classic,2017-04-21,5000,M
20,"Fischer, Grant",JR-3,Colorado St.,13:46.80,Mt. SAC Relays,2017-04-13,5000,M
21,"Erb, MJ",SR-4,Ole Miss,13:47.64,SEC Outdoor Track & Field Championships,2017-05-11,5000,M
22,"Kemboi, Amon",FR-1,Campbell,13:47.77,Mt. SAC Relays,2017-04-13,5000,M
23,"Fischer, Reed",SR-4,Drake,13:48.32,2017 Drake Relays presented by Hy-Vee,2017-04-26,5000,M
24,"Davis, Jonathan",FR-1,Illinois,13:49.55,Mt. SAC Relays,2017-04-13,5000,M
25,"Miller, Chartt",JR-3,Iona,13:49.60,Virginia Challenge,2017-04-21,5000,M
26,"Schrobilgen, Malachy",SR-4,Wisconsin,13:49.68,2017 Drake Relays presented by Hy-Vee,2017-04-26,5000,M
27,"Stroede, Bryce",JR-3,Oakland,13:49.90,Virginia Challenge,2017-04-21,5000,M
28,"Young, Clayton",SO-2,BYU,13:50.00,Payton Jordan Invitational,2017-05-05,5000,M
29,"Knevelbaard, Kasey",SO-2,Southern Utah,13:50.08,Bryan Clay Invite,2017-04-13,5000,M
30,"Terer, Amon",SR-4,Campbell,13:50.25,Payton Jordan Invitational,2017-05-05,5000,M
31,"Mock, Jerrell",JR-3,Colorado St.,13:52.06,Mt. SAC Relays,2017-04-13,5000,M
32,"Linkletter, Rory",SO-2,BYU,13:52.59,Payton Jordan Invitational,2017-05-05,5000,M
33,"Griffith, Cameron",SO-2,Arkansas,13:52.65,Bryan Clay Invite,2017-04-13,5000,M
34,"Rockhold, Cole",SO-2,Colorado St.,13:52.73,Stanford Invitational,2017-03-31,5000,M
35,"Thomson, Jacob",JR-3,Kentucky,13:53.04,Penn Relays,2017-04-27,5000,M
36,"Reichow, Joel",SR-4,South Dakota St.,13:53.05,2017 Drake Relays presented by Hy-Vee,2017-04-26,5000,M
37,"Chelanga, Alfred",JR-3,Alabama,13:53.07,War Eagle Invititaional,2017-04-21,5000,M
38,"Herriott, Zach",SR-4,Virginia,13:53.47,Virginia Challenge,2017-04-21,5000,M
39,"Beamish, Geordie",FR-1,Northern Arizona,13:53.59,Stanford Invitational,2017-03-31,5000,M
40,"Ali, Obsa",SO-2,Minnesota,13:53.80,Stanford Cardinal Classic,2017-04-21,5000,M
41,"Seufer, Peter",SO-2,Virginia Tech,13:53.92,Virginia Challenge,2017-04-21,5000,M
42,"Luna, Luis",SR-4,Eastern Kentucky,13:54.19,Virginia Challenge,2017-04-21,5000,M
43,"McGowan, Timothy",JR-3,Penn State,13:54.20,Virginia Challenge,2017-04-21,5000,M
44,"Long, Zach",SO-2,Tennessee,13:54.49,SEC Outdoor Track & Field Championships,2017-05-11,5000,M
45,"Parsons, George",SR-4,North Carolina St.,13:54.62,ACC Outdoor Track & Field Championships,2017-05-12,5000,M
46,"Reiser, Jesse",SO-2,Illinois,13:54.66,2017 Drake Relays presented by Hy-Vee,2017-04-26,5000,M
47,"Bilvado, Jacob",SO-2,Air Force,13:54.68,Stanford Invitational,2017-03-31,5000,M
48,"Fink, Willy",SR-4,Eastern Michigan,13:54.85,Penn Relays,2017-04-27,5000,M
