,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
65,"Fajoyomi, Viktor",SR-4,USC,7.52m,"24' 8.25""",PAC-12 Outdoor Track and Field Championships,2014-05-10,1.4,LJ,M
65,"Pitt, Thomas",SO-2,Penn,7.52m,"24' 8.25""",Ivy League Outdoor Track & Field Championships,2014-05-10,2.7,LJ,M
67,"Kearney, Blue",JR-3,Air Force,7.51m,"24' 7.75""",2014 Jim Click Shootout,2014-04-12,1.7,LJ,M
67,"Maxwell, Elbert",JR-3,Villanova,7.51m,"24' 7.75""",Miami Hurricane Alumni Invitational,2014-04-12,0.7,LJ,M
69,"Bailey, Ramone",JR-3,TCU,7.50m,"24' 7.25""",Rafer / JJK Collegiate Invitational,2014-04-12,0.8,LJ,M
70,"Roggatz, Yannick",SO-2,New Mexico,7.49m,"24' 7""",2014 Jim Click Shootout,2014-04-12,0.0,LJ,M
71,"Calhoun, Jamario",SO-2,Georgia,7.48m,"24' 6.5""",Alabama Relays,2014-03-20,-0.5,LJ,M
71,"Dickerson, Antwan",FR-1,Houston,7.48m,"24' 6.5""",J Fred Duckett-Rice Twilight,2014-04-26,1.9,LJ,M
71,"Johnson, Mark",SR-4,Iowa State,7.48m,"24' 6.5""",Big 12 Outdoor Track and Field Championships,2014-05-16,1.5,LJ,M
74,"Dick, Devin",SR-4,Kansas State,7.47m,"24' 6.25""",2014 Jim Click Shootout,2014-04-12,1.0,LJ,M
75,"O'Connell, Jeff",JR-3,South Dakota,7.46m,"24' 5.75""",Sioux City Relays 2014,2014-04-11,0.8,LJ,M
75,"Bahner, Austin",SR-4,Wichita State,7.46m,"24' 5.75""",2014 MVC Outdoor Track & Field Championships,2014-05-16,3.0,LJ,M
75,"Ziemek, Zach",JR-3,Wisconsin,7.46m,"24' 5.75""",Georgia Bulldog Decathlon/Heptathlon,2014-04-10,0.5,LJ,M
78,"Breaux, Devon",SO-2,Tulane,7.45m,"24' 5.5""",Conference USA Outdoor Track & Field Championships,2014-05-15,-2.2,LJ,M
78,"Keys, Dakotah",JR-3,Oregon,7.45m,"24' 5.5""",Oregon Relays,2014-04-17,1.7,LJ,M
78,"McPherson, Michael",JR-3,Utah Valley,7.45m,"24' 5.5""",Western Athletic Conference Outdoor Championships,2014-05-14,-0.4,LJ,M
81,"Kerr , Jared",FR-1,Maryland-Eastern Shore,7.44m,"24' 5""",Coppin State Don Webster Invitational,2014-04-11,-1.6,LJ,M
81,"Ross, Nick",SR-4,Arizona,7.44m,"24' 5""",2014 Double Dual Meet UA/ASU/NAU,2014-05-03,1.1,LJ,M
83,"Wiedel, Seth",JR-3,Nebraska,7.43m,"24' 4.5""",Kansas Relays,2014-04-16,3.7,LJ,M
83,"Otuonye, Ifeanyichukwu",SO-2,Kansas State,7.43m,"24' 4.5""",2014 Jim Click Shootout,2014-04-12,0.0,LJ,M
83,"Perry, Michael",SR-4,UCLA,7.43m,"24' 4.5""",Pac-12 Outdoor Track and Field Championships,2014-05-17,2.4,LJ,M
83,"Gross, Justin",JR-3,Rice,7.43m,"24' 4.5""",Conference USA Outdoor Track & Field Championships,2014-05-15,-0.1,LJ,M
83,"White, Jaleen",SR-4,Memphis,7.43m,"24' 4.5""",Georgia Tech Invitational,2014-05-16,1.8,LJ,M
88,"Miranda, Kaylin",SR-4,Northeastern,7.42m,"24' 4.25""",Raleigh Relays (College/University),2014-03-28,-0.1,LJ,M
88,"White, Charles",SR-4,Sam Houston St.,7.42m,"24' 4.25""",Longhorn Invitational,2014-05-03,1.6,LJ,M
88,"Darty, Trey",SO-2,Stephen F. Austin,7.42m,"24' 4.25""",SFA Skecher's Carl Kight Invitational,2014-04-04,0.2,LJ,M
88,"Jones, Edward",SR-4,Citadel,7.42m,"24' 4.25""",Tennessee Relays,2014-04-10,2.4,LJ,M
92,"Fellows, Alec",SO-2,Oregon,7.41m,"24' 3.75""",Pac-12 Outdoor Track and Field Championships,2014-05-17,3.0,LJ,M
92,"Spallinger, Sam",SR-4,Miami (Ohio),7.41m,"24' 3.75""",Redhawk Invitational,2014-04-26,0.9,LJ,M
92,"McClain, Hayden",FR-1,Oklahoma,7.41m,"24' 3.75""",2014 Baldy Castillo Invitational,2014-03-21,0.5,LJ,M
95,"Bastien, Steven",SO-2,Samford,7.40m,"24' 3.5""",Georgia Invitational,2014-05-10,1.8,LJ,M
95,"Gulley, Desmond",FR-1,Arkansas-Little Rock,7.40m,"24' 3.5""",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,2.6,LJ,M
95,"Green, Shane",SO-2,Coppin State,7.40m,"24' 3.5""",Coppin State Don Webster Invitational,2014-04-11,0.4,LJ,M
95,"Baptiste, Daryl",SR-4,Akron,7.40m,"24' 3.5""",All-Ohio Track & Field Champs,2014-04-12,0.0,LJ,M
95,"Colvin, Matthew",SO-2,Howard,7.40m,"24' 3.5""",MSU Legacy Track & Field Meet,2014-04-18,1.8,LJ,M
95,"Cowling, Caleb",FR-1,Kansas,7.40m,"24' 3.5""",2014 ESU Spring Open,2014-03-29,1.3,LJ,M
1,"Dendy, Marquis",SR-4,Florida,8.19m,"26' 10.5""",SEC Championships,2015-05-14,-2.4,LJ,M
2,"Pienaar, Roelf",SO-2,Arkansas State,8.13m,"26' 8.25""",ASU Red Wolf Open,2015-04-24,3.1,LJ,M
3,"Asekun, Olabanji",SR-4,Texas A&M,8.04m,"26' 4.5""",2015 Clyde Littlefield Texas Relays,2015-03-25,4.0,LJ,M
4,"Lawson, Jarrion",JR-3,Arkansas,8.00m,"26' 3""",SEC Championships,2015-05-14,-1.8,LJ,M
5,"Otuonye, Ifeanyichukwu",JR-3,Kansas State,7.98m,"26' 2.25""",Rock Chalk Classic,2015-05-02,2.7,LJ,M
6,"Bates, KeAndre",FR-1,Florida,7.97m,"26' 1.75""",SEC Championships,2015-05-14,-3.0,LJ,M
7,"Ramsey, Jalen",SO-2,Florida State,7.96m,"26' 1.5""",ACC Outdoor Track & Field Championships,2015-05-14,0.0,LJ,M
8,"Ward, Laderrick",SR-4,SIU-Edwardsville,7.91m,"25' 11.5""",Ohio Valley Conference Championships,2015-05-15,3.2,LJ,M
9,"Ziegler, Manuel",SR-4,Virginia Tech,7.88m,"25' 10.25""",Virginia Challenge,2015-04-17,2.5,LJ,M
10,"Collie, Latario",JR-3,Texas A&M,7.86m,"25' 9.5""",Stanford Invitational,2015-04-03,2.2,LJ,M
11,"Smith, Blake",SR-4,SE Missouri,7.82m,"25' 8""",Ohio Valley Conference Championships,2015-05-15,1.5,LJ,M
12,"Bailey, Ramone",SR-4,TCU,7.80m,"25' 7.25""",TCU Horned Frog Invite,2015-05-02,2.0,LJ,M
13,"Williams, Emmanuel",JR-3,Northwestern St.,7.79m,"25' 6.75""",LSU Alumni Gold,2015-04-18,1.5,LJ,M
14,"Hamilton, Allan",JR-3,New Mexico,7.78m,"25' 6.25""",Bryan Clay Invitational,2015-04-17,0.0,LJ,M
14,"Calhoun, Jamario",JR-3,Georgia,7.78m,"25' 6.25""",Georgia Invitational,2015-05-09,2.0,LJ,M
16,"McLachlan, James",SR-4,Loyola (Ill.),7.77m,"25' 6""",Mt. SAC Relays,2015-04-16,3.0,LJ,M
17,"Addison, Jonathan",JR-3,North Carolina St.,7.76m,"25' 5.5""",ACC Outdoor Track & Field Championships,2015-05-14,0.8,LJ,M
17,"Alexander, Willie",SO-2,Long Beach St.,7.76m,"25' 5.5""",2015 Big West Championships,2015-05-15,0.0,LJ,M
19,"Moss, Brandon",JR-3,UTEP,7.75m,"25' 5.25""",Conference USA Outdoor Track & Field Championships,2015-05-14,2.3,LJ,M
20,"Jones, Walter",FR-1,California,7.73m,"25' 4.5""",2015 Clyde Littlefield Texas Relays,2015-03-25,3.8,LJ,M
20,"Ferguson, Trevor",SR-4,Oregon,7.73m,"25' 4.5""",Oregon Relays,2015-04-16,3.6,LJ,M
20,"Echols- Luper, Cameron",SO-2,TCU,7.73m,"25' 4.5""",TCU Horned Frog Invite,2015-05-02,1.6,LJ,M
23,"Darrow, Kyle",SO-2,Northeastern,7.72m,"25' 4""",University of Massachusetts Invitational,2015-04-11,3.6,LJ,M
24,"Moore, Nate",FR-1,Oregon,7.71m,"25' 3.5""",Pac-12 Track & Field Championships,2015-05-15,0.3,LJ,M
24,"Jackson, Adoree",FR-1,USC,7.71m,"25' 3.5""",Pac-12 Track & Field Championships,2015-05-15,-0.6,LJ,M
26,"Latimer, Jordan",FR-1,Akron,7.69m,"25' 2.75""",Mid-American Outdoor Track & Field Championships,2015-05-14,0.7,LJ,M
27,"Samuels, Jarrett",JR-3,Louisiana Tech,7.68m,"25' 2.5""",Conference USA Outdoor Track & Field Championships,2015-05-14,3.8,LJ,M
27,"Hernandez, Carlos",SR-4,UTEP,7.68m,"25' 2.5""",Conference USA Outdoor Track & Field Championships,2015-05-14,3.2,LJ,M
29,"Maxwell, Elbert",SR-4,Villanova,7.67m,"25' 2""",BIG EAST Outdoor Track & Field Championships,2015-05-08,0.8,LJ,M
29,"Friday, John-Patrick",JR-3,Miami,7.67m,"25' 2""",Miami Hurricane Invitational,2015-03-20,2.8,LJ,M
31,"Fisher, Kenneth",SO-2,Bethune-Cookman,7.66m,"25' 1.75""",UNF East Region Preview,2015-05-08,1.0,LJ,M
32,"Welch, Ian",SR-4,Duquesne,7.65m,"25' 1.25""",Atlantic 10 Championships,2015-05-02,2.9,LJ,M
32,"Wesley, Corey",JR-3,UL-Monroe,7.65m,"25' 1.25""",Northwestern State Invitational,2015-04-25,2.7,LJ,M
34,"McBride, Bryan",SR-4,Arizona State,7.64m,"25' 0.75""",Pac-12 Track & Field Championships,2015-05-15,0.1,LJ,M
