,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Rohrer, Anna",FR-1,Notre Dame,31:58.99,Stanford Invitational,2017-03-31,10000,W
2,"Taylor, Charlotte",SR-4,San Francisco,32:11.80,Stanford Invitational,2017-03-31,10000,W
3,"Wright, Alice",JR-3,New Mexico,32:29.28,Payton Jordan Invitational,2017-05-05,10000,W
4,"Kempfer, Jamie",SO-2,Missouri,33:09.67,Stanford Invitational,2017-03-31,10000,W
5,"Blaney, Anne-Marie",SR-4,UCF,33:18.81,Stanford Cardinal Classic,2017-04-21,10000,W
6,"Seidel, Molly",SR-4,Notre Dame,33:19.60,Stanford Invitational,2017-03-31,10000,W
7,"Clark, Erin",JR-3,Colorado,33:23.92,Pac-12 Championships,2017-05-13,10000,W
8,"Morley, Makena",FR-1,Colorado,33:29.22,Pac-12 Championships,2017-05-13,10000,W
9,"Knights, Bethan",JR-3,California,33:30.13,Pac-12 Championships,2017-05-13,10000,W
10,"Batt-Doyle, Isobel",JR-3,Washington,33:35.19,Pac-12 Championships,2017-05-13,10000,W
11,"Eder, Veronica",SR-4,Auburn,33:35.73,Stanford Invitational,2017-03-31,10000,W
12,"Rome, Regan",JR-3,William and Mary,33:36.19,2017 Colonial Relays,2017-03-30,10000,W
13,"Kemp, Erika",JR-3,North Carolina St.,33:36.26,Raleigh Relays,2017-03-24,10000,W
14,"Lokedi, Sharon",JR-3,Kansas,33:37.01,Stanford Invitational,2017-03-31,10000,W
15,"McDermitt, Jordann",JR-3,Eastern Michigan,33:37.37,Stanford Invitational,2017-03-31,10000,W
16,"Kelly, Annie",JR-3,Colorado,33:39.35,Pac-12 Championships,2017-05-13,10000,W
17,"Meyer, Eden",JR-3,North Florida,33:43.36,Raleigh Relays,2017-03-24,10000,W
18,"Brauer, Isabelle",SO-2,San Francisco,33:44.11,Stanford Invitational,2017-03-31,10000,W
19,"Sang, Caroline",JR-3,Charlotte,33:44.44,Raleigh Relays,2017-03-24,10000,W
20,"Long, Lindy",SR-4,Air Force,33:44.60,Stanford Invitational,2017-03-31,10000,W
21,"Farello, Anna",SR-4,Portland,33:44.75,Stanford Invitational,2017-03-31,10000,W
22,"Shanahan, Danielle",SR-4,Loyola Marymount,33:45.59,Mt. SAC Relays,2017-04-13,10000,W
23,"Snyder, Alyssa",SO-2,Montana State,33:45.87,Mt. SAC Relays,2017-04-13,10000,W
24,"Pratt, Olivia",SR-4,Butler,33:46.03,Stanford Invitational,2017-03-31,10000,W
25,"Nun, Melanie",JR-3,Colorado,33:46.49,Pac-12 Championships,2017-05-13,10000,W
26,"Braswell, Anna",JR-3,Ole Miss,33:47.22,Stanford Invitational,2017-03-31,10000,W
27,"Tanner, Natalie",SR-4,Columbia,33:48.20,Virginia Challenge,2017-04-21,10000,W
28,"Durgin, Emily",SR-4,Connecticut,33:49.30,Penn Relays,2017-04-27,10000,W
29,"Frisbie, Anne",SO-2,Iowa State,33:49.71,Stanford Invitational,2017-03-31,10000,W
30,"Burda, Bella",SO-2,Villanova,33:50.44,Stanford Invitational,2017-03-31,10000,W
31,"Koech, Winny",SO-2,UTEP,33:51.31,Mt. SAC Relays,2017-04-13,10000,W
32,"Flanagan, Kaylee",SR-4,Washington,33:52.48,Stanford Invitational,2017-03-31,10000,W
33,"Sereno, Gina",SR-4,Michigan,33:53.02,Big Ten Outdoor Championships,2017-05-12,10000,W
34,"Way, Amber",FR-1,Michigan State,33:54.70,Raleigh Relays,2017-03-24,10000,W
35,"Smith, Jaci",SO-2,Air Force,33:54.99,Stanford Invitational,2017-03-31,10000,W
36,"Hunsberger, Jillian",SO-2,Penn State,33:55.55,Big Ten Outdoor Championships,2017-05-12,10000,W
37,"Stoner, Paige",SO-2,Syracuse,33:55.69,Stanford Invitational,2017-03-31,10000,W
38,"Caro, Jocelyn",SR-4,Texas Tech,33:55.81,Big 12 Outdoor Track & Field Championships,2017-05-12,10000,W
39,"Schmaedick, Maggie",SR-4,Oregon,33:56.31,Pac-12 Championships,2017-05-13,10000,W
40,"Allen, Margaret",SO-2,Indiana,33:56.37,Big Ten Outdoor Championships,2017-05-12,10000,W
41,"Korir, Vallery",JR-3,Washington St.,33:58.17,Stanford Invitational,2017-03-31,10000,W
42,"McConnochie, Grace",JR-3,Portland,33:58.48,Mt. SAC Relays,2017-04-13,10000,W
